num,length,response,context_length,name
1,17,3.8973372,0,0
2,18,1.9139735,0,0
3,24,2.598006,0,0
4,22,3.169409,0,0
5,15,3.4750335,0,0
6,9,2.9869916,0,0
7,18,3.2070384,0,0
8,9,4.9624667,0,0
9,22,2.4184504,0,0
10,16,2.8329744,0,0
11,8,4.302202,0,0
12,14,4.6636524,0,0
13,11,5.379028,0,0
14,16,3.7960272,0,0
15,13,4.1825447,0,0
16,8,3.9220395,0,0
1,13,3.5845025,0,1
2,4,3.1134632,0,1
3,15,4.4662213,0,1
4,19,3.6385682,0,1
5,13,4.8267956,0,1
1,18,4.9115114,0,2
2,32,2.5483105,0,2
3,27,1.7274648,0,2
4,19,2.9647362,0,2
5,14,3.6529322,0,2
6,6,6.571563,0,2
7,23,2.368165,0,2
8,28,2.1488693,0,2
9,25,3.8889627,0,2
10,26,3.2155414,0,2
11,23,3.252969,0,2
1,47,1.5776279,0,3
2,46,2.3855157,0,3
3,29,2.7176194,0,3
4,28,2.3465266,0,3
5,20,3.260782,0,3
1,31,4.5105762,0,4
2,6,7.5479026,0,4
3,19,2.9689825,0,4
4,15,3.1615796,0,4
5,11,3.6507325,0,4
6,12,4.528822,0,4
7,20,3.2376215,0,4
8,24,4.122819,0,4
9,34,3.5622766,0,4
10,27,3.7541742,0,4
1,23,4.938276,0,5
2,22,4.430547,0,5
3,16,4.2496233,0,5
4,12,6.077365,0,5
5,11,5.9293647,0,5
6,16,4.7040977,0,5
7,10,4.5817046,0,5
8,10,4.7364817,0,5
9,12,6.7356243,0,5
10,12,4.977779,0,5
11,12,6.419227,0,5
12,14,6.330946,0,5
13,12,4.990962,0,5
14,10,4.696506,0,5
15,20,4.4341903,0,5
16,7,4.746699,0,5
17,7,5.4544935,0,5
1,1,10.896067,0,6
2,20,4.3604817,0,6
3,12,4.4081464,0,6
4,13,3.6175091,0,6
5,1,10.640347,0,6
6,12,4.1173368,0,6
7,1,9.9682455,0,6
8,30,2.42106,0,6
9,45,1.8815732,0,6
10,39,2.807455,0,6
11,30,2.2317095,0,6
12,14,3.5930076,0,6
1,21,4.6250563,0,7
2,20,3.891847,0,7
3,13,5.3347454,0,7
4,24,3.3489652,0,7
5,20,2.955436,0,7
6,14,3.2209303,0,7
7,22,3.340695,0,7
8,19,4.965044,0,7
1,21,3.1861706,0,8
2,8,5.088493,0,8
3,18,3.1537027,0,8
4,16,5.566602,0,8
5,17,5.013954,0,8
6,19,4.653761,0,8
7,15,5.974395,0,8
8,17,5.148317,0,8
9,16,4.3534613,0,8
1,17,4.453299,0,9
2,16,4.006558,0,9
3,8,5.332771,0,9
4,17,3.4987557,0,9
5,8,4.0449576,0,9
6,11,3.4353998,0,9
7,23,2.4850383,0,9
8,12,4.1548643,0,9
9,21,2.585618,0,9
10,18,2.6669195,0,9
11,14,2.4400487,0,9
12,14,4.0318236,0,9
13,17,2.895866,0,9
14,19,2.3481255,0,9
15,11,3.9365118,0,9
16,10,2.60911,0,9
17,18,3.006362,0,9
18,7,3.5938,0,9
1,69,1.2642659,0,11
2,17,2.4646213,0,11
3,26,2.3839316,0,11
1,25,2.312642,0,12
2,24,1.8420236,0,12
3,16,4.4456825,0,12
4,18,3.122861,0,12
5,23,1.9420558,0,12
6,17,3.3047817,0,12
7,18,4.3014064,0,12
8,14,4.712318,0,12
9,19,3.6993136,0,12
10,25,2.186142,0,12
11,19,3.6868696,0,12
12,22,2.7905445,0,12
13,1,10.507529,0,12
1,24,3.3577607,0,14
2,26,3.0963638,0,14
3,20,2.4580355,0,14
4,9,5.5413485,0,14
5,23,3.0939238,0,14
6,28,2.5596113,0,14
7,40,0.9336195,0,14
1,49,2.594049,0,15
2,16,4.8809566,0,15
3,30,3.3797803,0,15
4,15,5.217974,0,15
1,19,4.997977,0,16
2,14,6.104737,0,16
3,15,4.2483277,0,16
4,24,2.653659,0,16
5,15,5.5750527,0,16
6,13,6.138805,0,16
1,11,4.093709,0,18
2,19,2.9647632,0,18
3,14,2.810663,0,18
4,21,3.1239274,0,18
5,10,4.7787232,0,18
6,19,3.7663262,0,18
7,17,4.1448555,0,18
1,18,4.220976,0,19
2,14,4.934452,0,19
3,18,3.8088615,0,19
4,28,3.1171246,0,19
5,10,5.071855,0,19
6,12,3.8755798,0,19
7,8,5.54153,0,19
8,19,3.091969,0,19
9,16,3.9224548,0,19
10,8,5.738252,0,19
11,10,4.0284886,0,19
12,7,4.928847,0,19
13,12,3.7784388,0,19
1,36,2.4365153,0,20
1,19,3.283077,0,21
2,65,1.9913942,0,21
3,20,3.2518682,0,21
4,18,3.3623915,0,21
5,24,2.5568233,0,21
6,10,2.9502974,0,21
7,9,3.3045447,0,21
8,12,3.2856166,0,21
1,17,3.206183,0,22
2,13,5.5795584,0,22
3,6,5.717139,0,22
4,5,7.540986,0,22
5,6,6.3215055,0,22
6,15,5.7725773,0,22
1,16,3.1615832,0,23
2,3,7.2120953,0,23
3,16,5.0250993,0,23
4,12,4.8722,0,23
5,19,4.112486,0,23
6,14,5.7993913,0,23
7,26,3.6623049,0,23
1,16,4.460813,0,24
2,9,3.4621892,0,24
3,14,4.7246037,0,24
4,10,4.8219614,0,24
5,10,5.805215,0,24
1,1,10.896067,0,25
2,18,5.4409423,0,25
3,21,3.2806923,0,25
4,17,3.356998,0,25
5,1,10.611462,0,25
6,17,3.8490875,0,25
7,24,3.2695715,0,25
8,22,4.334392,0,25
1,22,3.6537762,0,26
2,10,5.2424297,0,26
3,21,3.5516481,0,26
4,23,2.6083803,0,26
5,20,3.854216,0,26
6,18,3.726245,0,26
7,15,4.005131,0,26
1,43,1.9747607,0,28
2,44,2.6631234,0,28
3,26,2.9292133,0,28
4,42,2.0676935,0,28
1,23,3.8041122,0,29
2,14,4.056079,0,29
3,13,4.6545663,0,29
4,17,3.5153677,0,29
5,24,3.651915,0,29
6,25,3.2997165,0,29
7,19,4.2410407,0,29
8,17,3.9800038,0,29
9,25,3.8621492,0,29
1,17,5.6604156,0,30
2,10,4.8002763,0,30
3,13,4.725391,0,30
4,17,4.5105767,0,30
5,10,4.0272956,0,30
6,14,3.5294373,0,30
7,11,4.446129,0,30
1,15,5.931602,0,31
2,1,7.003725,0,31
3,18,3.4019885,0,31
4,14,4.776321,0,31
5,25,2.6910732,0,31
6,46,2.1930907,0,31
1,22,4.169482,0,32
2,11,5.154283,0,32
3,20,4.2667384,0,32
4,10,5.060236,0,32
1,14,6.619642,0,33
2,15,3.0040648,0,33
3,1,10.036575,0,33
4,23,4.0209756,0,33
5,1,9.601268,0,33
6,9,7.1059504,0,33
7,13,5.86055,0,33
8,18,4.9883404,0,33
1,16,3.4774268,0,34
2,26,2.1124337,0,34
3,8,4.8470693,0,34
4,11,4.382352,0,34
1,17,4.34529,0,35
2,12,2.9995053,0,35
3,17,3.1540363,0,35
4,19,2.8853376,0,35
5,19,3.2739305,0,35
6,20,3.9636147,0,35
7,19,4.2305837,0,35
8,17,4.752231,0,35
9,17,3.8816721,0,35
10,10,4.5917964,0,35
11,12,4.1916943,0,35
12,12,4.3190503,0,35
13,11,4.17307,0,35
14,19,3.2359822,0,35
1,17,4.232209,0,36
2,15,5.012794,0,36
3,15,4.2593517,0,36
4,17,4.3825655,0,36
5,14,5.9250627,0,36
6,11,6.6918344,0,36
7,16,4.489312,0,36
1,24,3.61611,0,37
2,31,3.4687293,0,37
3,62,2.7161098,0,37
4,48,3.2353938,0,37
1,16,6.435795,0,38
2,14,4.69684,0,38
1,1,10.896067,0,39
2,15,3.5424712,0,39
3,1,11.830917,0,39
4,1,11.179564,0,39
5,1,12.077369,0,39
1,15,5.763843,0,40
2,14,5.378563,0,40
3,18,4.472822,0,40
4,24,4.150668,0,40
5,27,3.5755148,0,40
6,6,2.846058,0,40
1,18,4.9174,0,41
2,8,6.4221883,0,41
3,25,2.0243902,0,41
4,17,4.1582885,0,41
5,20,2.469283,0,41
6,12,4.9930387,0,41
7,23,3.5512853,0,41
8,19,4.3976717,0,41
9,13,3.4737542,0,41
10,32,1.2588184,0,41
1,19,2.5920157,0,43
2,22,2.3686438,0,43
3,21,2.4133787,0,43
4,15,4.0796604,0,43
1,14,4.417161,0,44
2,32,3.609514,0,44
3,12,6.0242558,0,44
4,13,4.712916,0,44
5,12,4.7921305,0,44
6,18,4.080542,0,44
7,12,4.6146603,0,44
8,12,5.0834737,0,44
9,18,3.7924933,0,44
10,10,5.7830977,0,44
11,13,6.802798,0,44
12,13,5.971038,0,44
1,5,5.337484,0,45
2,50,1.9217596,0,45
3,23,1.8904842,0,45
1,17,4.36839,0,46
2,19,2.9097435,0,46
3,21,4.625176,0,46
4,21,4.189999,0,46
5,26,4.1062145,0,46
1,26,4.6514044,0,47
2,10,6.3723,0,47
3,15,4.9313416,0,47
4,14,4.838816,0,47
5,15,6.6258206,0,47
1,1,10.378377,0,48
2,24,4.1343346,0,48
3,24,2.7890487,0,48
4,1,11.105539,0,48
5,34,3.1194448,0,48
6,1,11.436114,0,48
7,17,2.9934678,0,48
8,14,2.8570998,0,48
9,1,12.307109,0,48
10,36,3.198373,0,48
1,2,11.275521,0,49
2,17,4.043456,0,49
3,26,3.1821806,0,49
4,25,2.4049585,0,49
1,1,10.896067,0,50
2,29,2.9969316,0,50
3,23,2.5396385,0,50
4,1,10.640347,0,50
5,7,7.826495,0,50
6,1,9.9682455,0,50
7,21,3.6437764,0,50
8,28,2.880747,0,50
9,31,2.923357,0,50
10,31,2.8803675,0,50
11,22,2.846889,0,50
12,23,4.620828,0,50
13,32,4.0096087,0,50
14,14,2.440092,0,50
1,9,4.8889484,0,51
2,13,5.087167,0,51
3,7,4.176493,0,51
4,28,2.7203326,0,51
5,9,3.3528144,0,51
6,21,3.3744843,0,51
7,19,4.430904,0,51
8,17,3.4300563,0,51
9,25,3.610712,0,51
10,17,2.8464718,0,51
11,17,4.565818,0,51
12,10,5.1822915,0,51
13,28,4.27405,0,51
14,22,3.9508355,0,51
1,15,6.980846,0,52
2,12,5.338327,0,52
3,5,6.4374323,0,52
4,13,4.690345,0,52
5,13,5.8081474,0,52
1,13,6.7426324,0,53
2,11,2.9378486,0,53
3,13,4.938117,0,53
4,14,4.524948,0,53
5,17,3.9256546,0,53
6,21,4.228536,0,53
7,11,4.3949304,0,53
8,19,3.5650988,0,53
1,29,3.9283853,0,54
2,17,4.7136564,0,54
3,18,3.2969768,0,54
4,24,3.5219557,0,54
5,14,4.111459,0,54
6,20,4.2966833,0,54
7,11,5.6371975,0,54
1,25,3.4895658,0,56
2,18,3.8497562,0,56
3,20,3.3432214,0,56
4,1,8.387611,0,56
5,18,4.4470086,0,56
6,21,3.1068423,0,56
7,21,4.3089457,0,56
8,22,4.4334683,0,56
9,21,4.70714,0,56
10,15,4.6221447,0,56
11,18,5.3974385,0,56
12,19,4.2823925,0,56
13,35,3.7566574,0,56
1,18,4.219308,0,59
2,12,4.450107,0,59
3,13,3.7323816,0,59
4,16,4.2407293,0,59
5,14,3.8866189,0,59
6,11,4.301899,0,59
1,18,3.4610603,0,60
2,13,4.3432446,0,60
3,7,5.710082,0,60
4,41,1.8177607,0,60
5,13,3.5717642,0,60
1,19,4.1062613,0,61
2,28,3.87448,0,61
3,19,3.907305,0,61
4,12,5.150574,0,61
5,25,2.6927154,0,61
6,22,4.2271037,0,61
7,12,5.518835,0,61
8,10,5.9398794,0,61
9,22,4.991255,0,61
10,12,4.790393,0,61
11,19,4.3548937,0,61
12,21,3.7084563,0,61
13,20,5.046201,0,61
14,12,4.7056904,0,61
1,18,3.284652,0,62
2,28,2.566546,0,62
3,47,2.2034435,0,62
4,26,2.2633176,0,62
5,23,2.4974198,0,62
6,18,2.2843885,0,62
7,12,3.6290596,0,62
1,25,4.07722,0,63
2,25,3.326159,0,63
3,9,5.6849346,0,63
4,23,3.5474985,0,63
5,17,4.8455253,0,63
6,33,3.6078398,0,63
7,33,3.5207767,0,63
8,30,3.242713,0,63
9,17,4.5311804,0,63
10,10,5.3332343,0,63
11,10,5.207923,0,63
12,20,3.4710348,0,63
13,22,3.4527144,0,63
1,19,5.551068,0,64
2,18,3.7427657,0,64
3,14,3.3090694,0,64
4,14,3.9934893,0,64
5,21,3.459916,0,64
6,15,3.167307,0,64
7,23,2.1683626,0,64
8,12,5.4859257,0,64
9,12,3.90637,0,64
10,13,4.1051664,0,64
11,16,5.096649,0,64
12,18,3.3544595,0,64
13,14,4.50058,0,64
14,13,3.1872864,0,64
15,9,4.4434967,0,64
16,11,4.4192357,0,64
17,10,3.9627485,0,64
18,4,8.634308,0,64
1,18,4.28483,0,65
2,19,3.1997938,0,65
3,15,3.8050387,0,65
4,14,3.2321422,0,65
5,17,3.9749448,0,65
6,19,4.213665,0,65
7,13,4.888286,0,65
8,9,6.5728636,0,65
1,75,2.2241676,0,66
1,7,8.416316,0,67
2,33,2.4557235,0,67
3,17,2.927218,0,67
4,7,7.867559,0,67
5,9,3.63879,0,67
6,19,2.3692026,0,67
7,11,4.359388,0,67
8,12,5.014997,0,67
1,19,2.990257,0,68
2,12,3.384479,0,68
3,18,3.6782453,0,68
4,21,3.7741315,0,68
1,25,3.4045174,0,69
2,39,1.9854764,0,69
