num,length,response,context_length,name
1,16,4.116889,0,0
2,18,1.306972,0,0
3,16,3.8329794,0,0
4,14,3.2645028,0,0
5,20,2.9534795,0,0
6,18,3.9715824,0,0
7,13,4.6099377,0,0
8,20,2.7380319,0,0
9,27,3.5535913,0,0
10,23,2.304326,0,0
11,20,2.6610348,0,0
12,18,4.773596,0,0
13,14,5.16677,0,0
14,16,4.438808,0,0
15,23,2.8278084,0,0
16,24,3.357117,0,0
17,29,2.908304,0,0
18,26,3.4833312,0,0
19,19,3.6264675,0,0
20,20,3.248198,0,0
21,28,3.1323354,0,0
22,22,3.9732952,0,0
23,4,8.567526,0,0
1,13,3.5845025,0,1
2,22,3.4657931,0,1
3,18,3.6500099,0,1
4,24,3.400444,0,1
5,22,3.4106681,0,1
6,26,2.4085824,0,1
7,24,2.6935723,0,1
8,15,2.9231045,0,1
9,19,3.4443896,0,1
10,17,4.4583554,0,1
11,14,4.174573,0,1
12,17,5.346088,0,1
13,28,3.623653,0,1
14,28,3.1433008,0,1
15,22,3.437331,0,1
16,19,4.4251213,0,1
17,23,3.716084,0,1
18,14,4.293653,0,1
19,23,3.8837626,0,1
20,23,2.9341311,0,1
21,16,4.2855105,0,1
1,25,3.908917,0,2
2,22,2.3544066,0,2
3,29,4.2156887,0,2
4,15,3.301761,0,2
5,26,4.0292573,0,2
6,26,3.69901,0,2
7,27,3.986977,0,2
8,22,4.7614837,0,2
9,33,3.2988122,0,2
10,25,4.013632,0,2
11,24,3.3992255,0,2
12,27,3.7527318,0,2
13,32,3.9579983,0,2
14,30,3.2399654,0,2
15,33,4.2657576,0,2
16,33,3.4559643,0,2
17,23,4.2634068,0,2
1,52,1.3488787,0,3
2,17,3.17759,0,3
3,29,1.3499326,0,3
4,39,1.7162203,0,3
5,55,1.3554121,0,3
6,42,2.0003042,0,3
7,31,2.9319892,0,3
8,50,1.6958954,0,3
9,2,5.265025,0,3
10,14,4.823101,0,3
11,6,4.971754,0,3
1,23,3.748591,0,4
2,33,4.33763,0,4
3,42,2.9258935,0,4
4,19,2.7740672,0,4
5,26,3.855504,0,4
6,36,2.9267406,0,4
7,28,3.1921885,0,4
8,31,3.2209306,0,4
9,35,2.993565,0,4
10,14,4.0077534,0,4
11,22,3.1415784,0,4
12,31,3.3701565,0,4
13,26,3.479454,0,4
14,27,3.8575163,0,4
15,30,3.827678,0,4
16,29,3.7584658,0,4
17,3,7.374815,0,4
1,30,3.8353708,0,5
2,27,4.10479,0,5
3,15,5.302403,0,5
4,35,3.3869402,0,5
5,36,2.5437179,0,5
6,23,4.048564,0,5
7,25,3.0082557,0,5
8,18,3.9934034,0,5
9,17,4.245755,0,5
10,18,4.18221,0,5
11,22,4.055204,0,5
12,22,3.7219002,0,5
13,50,2.3490887,0,5
14,15,4.764835,0,5
15,20,4.43789,0,5
16,25,3.6447933,0,5
17,19,4.715058,0,5
18,28,2.903314,0,5
19,10,7.412182,0,5
1,1,10.896067,0,6
2,17,5.2466793,0,6
3,14,4.6144085,0,6
4,20,2.8513563,0,6
5,16,4.1491537,0,6
6,2,9.995373,0,6
7,21,3.876826,0,6
8,25,3.918905,0,6
9,1,11.830917,0,6
10,14,4.272971,0,6
11,19,4.2125974,0,6
12,26,3.5705626,0,6
13,22,3.6068308,0,6
14,2,12.16735,0,6
15,25,3.4838657,0,6
16,30,3.3002706,0,6
17,28,3.655955,0,6
18,1,12.077369,0,6
19,16,5.5215993,0,6
20,28,3.8810496,0,6
21,28,3.0119655,0,6
22,26,2.952706,0,6
23,1,8.87477,0,6
24,22,3.297886,0,6
25,23,3.385779,0,6
1,21,4.8542542,0,7
2,19,3.6957276,0,7
3,31,3.193237,0,7
4,23,4.6747446,0,7
5,17,3.5393114,0,7
6,21,3.5077562,0,7
7,43,2.7731414,0,7
8,41,1.9506994,0,7
9,20,3.2274458,0,7
10,28,3.2349617,0,7
11,26,3.6418037,0,7
12,17,4.160087,0,7
13,18,4.06853,0,7
14,19,4.328987,0,7
15,19,4.0377264,0,7
16,6,5.2819996,0,7
1,27,3.4290657,0,8
2,21,4.242577,0,8
3,11,5.733821,0,8
4,26,3.7167468,0,8
5,23,5.7331867,0,8
6,23,4.6279063,0,8
7,33,3.454965,0,8
8,20,3.9925206,0,8
9,18,3.575589,0,8
10,51,3.703211,0,8
11,19,6.0628753,0,8
12,28,2.9929008,0,8
13,39,4.25482,0,8
14,16,4.742939,0,8
15,2,11.5255785,0,8
1,16,4.95704,0,9
2,14,3.4795117,0,9
3,25,2.9746273,0,9
4,15,3.6027086,0,9
5,19,3.5584557,0,9
6,17,3.7779603,0,9
7,17,3.9056282,0,9
8,21,3.819209,0,9
9,35,2.648931,0,9
10,28,2.7861128,0,9
11,18,3.8655307,0,9
12,21,2.677731,0,9
13,28,3.3995953,0,9
14,28,3.6935813,0,9
15,25,3.8662055,0,9
16,23,3.437192,0,9
17,18,4.5378413,0,9
18,23,3.2052464,0,9
19,24,4.2475758,0,9
20,22,4.412907,0,9
21,16,4.6756897,0,9
1,36,3.3444872,0,10
2,24,2.0681064,0,10
3,15,2.9420211,0,10
4,8,5.8905168,0,10
5,25,2.2839007,0,10
6,16,3.7246933,0,10
7,30,3.0905187,0,10
8,15,4.149401,0,10
9,14,3.9842412,0,10
10,23,3.649333,0,10
11,7,4.0097795,0,10
12,10,5.18839,0,10
13,1,9.676265,0,10
14,10,6.1886177,0,10
15,8,6.6996875,0,10
16,1,9.683258,0,10
17,6,6.3547,0,10
18,1,9.181772,0,10
19,8,8.007259,0,10
20,15,6.213606,0,10
21,31,2.6113837,0,10
22,34,1.923632,0,10
23,14,4.7536163,0,10
24,16,5.54104,0,10
25,17,4.038862,0,10
26,22,3.5837173,0,10
27,16,4.3962617,0,10
1,62,1.0225364,0,11
2,20,3.9169562,0,11
3,35,2.2893198,0,11
4,13,3.7737489,0,11
5,33,2.4661903,0,11
6,27,3.1266158,0,11
7,29,2.9060965,0,11
8,17,3.0943084,0,11
9,25,3.0289369,0,11
10,20,3.0963252,0,11
11,29,2.453362,0,11
12,18,4.1233797,0,11
13,22,3.5194452,0,11
14,21,2.18902,0,11
15,23,2.8535817,0,11
1,39,1.6485865,0,12
