num,length,response,context_length,name
1,16,2.966643,0,0
2,18,1.59865,0,0
3,16,2.7892704,0,0
4,14,2.2673476,0,0
5,20,1.9441526,0,0
6,18,2.8272526,0,0
7,13,2.4343987,0,0
8,20,1.5133888,0,0
9,27,2.6532228,0,0
10,23,1.8096024,0,0
11,20,2.6830685,0,0
12,18,2.949828,0,0
13,14,3.1061652,0,0
14,16,2.8491185,0,0
15,23,2.4515162,0,0
16,24,2.981053,0,0
17,29,2.0334394,0,0
18,26,2.4595883,0,0
19,19,2.681266,0,0
20,20,2.8320353,0,0
21,28,2.8244102,0,0
22,22,2.8323102,0,0
23,4,5.3989043,0,0
1,13,2.4360073,0,1
2,22,2.7735512,0,1
3,18,2.2949233,0,1
4,24,2.828465,0,1
5,22,2.5535758,0,1
6,26,1.8334175,0,1
7,24,1.7207903,0,1
8,15,2.4371066,0,1
9,19,2.4153605,0,1
10,17,3.3494182,0,1
11,14,3.1266403,0,1
12,17,3.6396875,0,1
13,28,2.716314,0,1
14,28,2.3717384,0,1
15,22,2.7639916,0,1
16,19,3.1045198,0,1
17,23,3.3049345,0,1
18,14,2.742191,0,1
19,23,3.4221177,0,1
20,23,2.481071,0,1
21,16,3.2154636,0,1
1,25,3.175677,0,2
2,22,2.3882928,0,2
3,29,3.2369325,0,2
4,15,2.001009,0,2
5,26,3.368723,0,2
6,26,2.728967,0,2
7,27,3.1616197,0,2
8,22,4.224854,0,2
9,33,3.040283,0,2
10,25,3.2934341,0,2
11,24,2.9102564,0,2
12,27,2.6057882,0,2
13,32,2.6372817,0,2
14,30,2.705504,0,2
15,33,3.7296147,0,2
16,33,2.3191729,0,2
17,23,2.8586242,0,2
1,52,1.0606277,0,3
2,17,3.0113695,0,3
3,29,0.8872964,0,3
4,39,1.6594945,0,3
5,55,0.65842736,0,3
6,42,1.4424112,0,3
7,31,1.9449525,0,3
8,50,1.461755,0,3
9,2,3.2839267,0,3
10,14,1.3808286,0,3
11,6,2.4845564,0,3
1,23,2.8945236,0,4
2,33,2.6276803,0,4
3,42,2.164885,0,4
4,19,1.8002319,0,4
5,26,2.258933,0,4
6,36,2.270893,0,4
7,28,2.0598161,0,4
8,31,2.6240587,0,4
9,35,2.3397508,0,4
10,14,2.8554754,0,4
11,22,2.3713055,0,4
12,31,2.2919254,0,4
13,26,2.6835904,0,4
14,27,2.7315965,0,4
15,30,2.8682287,0,4
16,29,2.747766,0,4
17,3,2.294101,0,4
1,30,2.6518664,0,5
2,27,2.9092202,0,5
3,15,3.573663,0,5
4,35,2.9006321,0,5
5,36,2.3333037,0,5
6,23,2.2988725,0,5
7,25,2.3158708,0,5
8,18,3.0763686,0,5
9,17,2.8433247,0,5
10,18,2.7633686,0,5
11,22,2.680083,0,5
12,22,2.7064126,0,5
13,50,1.8967091,0,5
14,15,2.2835064,0,5
15,20,3.3275833,0,5
16,25,2.708842,0,5
17,19,2.677556,0,5
18,28,2.4222364,0,5
19,10,5.666428,0,5
1,1,2.8996782,0,6
2,17,2.3109863,0,6
3,14,2.2855127,0,6
4,20,1.587425,0,6
5,16,2.7467062,0,6
6,2,5.838846,0,6
7,21,2.8459473,0,6
8,25,2.4260159,0,6
9,1,2.742128,0,6
10,14,2.774849,0,6
11,19,2.8751092,0,6
12,26,2.5193813,0,6
13,22,2.6808183,0,6
14,2,5.2979784,0,6
15,25,2.324751,0,6
16,30,2.1743312,0,6
17,28,2.3454971,0,6
18,1,2.705169,0,6
19,16,4.036596,0,6
20,28,2.5625541,0,6
21,28,2.4771206,0,6
22,26,1.9780531,0,6
23,1,3.1866112,0,6
24,22,2.013707,0,6
25,23,2.6014817,0,6
1,21,3.4740248,0,7
2,19,2.3173447,0,7
3,31,2.1247547,0,7
4,23,2.4984,0,7
5,17,1.9394894,0,7
6,21,2.19542,0,7
7,43,2.0410683,0,7
8,41,1.4334418,0,7
9,20,2.2410862,0,7
10,28,2.4979546,0,7
11,26,2.776167,0,7
12,17,2.9567492,0,7
13,18,2.9157035,0,7
14,19,3.0284486,0,7
15,19,2.7044225,0,7
16,6,4.0917435,0,7
1,27,1.8120867,0,8
2,21,2.309499,0,8
3,11,3.0899966,0,8
4,26,2.3713017,0,8
5,23,3.2595417,0,8
6,23,2.7597597,0,8
7,33,2.2517035,0,8
8,20,1.8690935,0,8
9,18,2.8076875,0,8
10,51,2.6044888,0,8
11,19,4.0855045,0,8
12,28,1.991346,0,8
13,39,3.360498,0,8
14,16,2.634956,0,8
15,2,11.992917,0,8
1,16,3.131319,0,9
2,14,2.8565886,0,9
3,25,2.5301023,0,9
4,15,2.5838625,0,9
5,19,2.848621,0,9
6,17,3.0398927,0,9
7,17,3.2296326,0,9
8,21,2.501643,0,9
9,35,2.0453336,0,9
10,28,1.8437495,0,9
11,18,2.842868,0,9
12,21,1.9574293,0,9
13,28,2.5551503,0,9
14,28,2.7568204,0,9
15,25,2.667919,0,9
16,23,2.7907157,0,9
17,18,3.3247812,0,9
18,23,3.1415696,0,9
19,24,3.17384,0,9
20,22,2.2600892,0,9
21,16,3.051882,0,9
1,36,2.7349691,0,10
2,24,1.3670602,0,10
3,15,2.6476936,0,10
4,8,4.003738,0,10
5,25,1.7193549,0,10
6,16,2.943417,0,10
7,30,2.370531,0,10
8,15,3.61212,0,10
9,14,2.6134799,0,10
10,23,2.5613315,0,10
11,7,2.748395,0,10
12,10,4.460736,0,10
13,1,2.0042326,0,10
14,10,3.5016024,0,10
15,8,3.7790241,0,10
16,1,2.13496,0,10
17,6,4.702398,0,10
18,1,2.6176102,0,10
19,8,3.9672759,0,10
20,15,4.3586493,0,10
21,31,2.0206478,0,10
22,34,1.9970002,0,10
23,14,3.28194,0,10
24,16,4.1609187,0,10
25,17,2.5967836,0,10
26,22,2.7971983,0,10
27,16,3.5565157,0,10
1,62,0.8628574,0,11
2,20,2.7785847,0,11
3,35,1.691405,0,11
4,13,2.544863,0,11
5,33,1.8901777,0,11
6,27,2.595604,0,11
7,29,2.3040454,0,11
8,17,2.981066,0,11
9,25,2.6250668,0,11
10,20,2.5420187,0,11
11,29,2.3825366,0,11
12,18,2.8804157,0,11
13,22,2.295047,0,11
14,21,2.05957,0,11
15,23,2.5959196,0,11
1,39,1.4172995,0,12
2,19,2.0754259,0,12
3,26,2.0335932,0,12
4,21,1.9176238,0,12
5,32,2.178655,0,12
6,30,2.6178849,0,12
7,26,1.6744248,0,12
8,32,2.0547764,0,12
9,20,2.8847408,0,12
10,22,2.7638383,0,12
11,30,2.2819252,0,12
12,30,1.996938,0,12
13,30,2.807132,0,12
14,19,2.4895222,0,12
15,25,2.2093492,0,12
16,7,4.330851,0,12
1,1,2.8996782,0,13
2,22,2.156904,0,13
3,17,3.2647557,0,13
4,16,2.4857316,0,13
5,20,3.9458358,0,13
6,1,2.742128,0,13
7,32,1.6660625,0,13
8,21,2.9012425,0,13
9,17,2.7260506,0,13
10,1,4.973137,0,13
11,18,3.4588914,0,13
12,21,3.0354164,0,13
13,17,3.3270528,0,13
14,18,3.3107688,0,13
15,20,2.1005032,0,13
16,1,2.705169,0,13
17,18,3.2108746,0,13
18,24,2.960078,0,13
19,28,2.4520168,0,13
20,29,2.4805734,0,13
21,1,7.0219607,0,13
22,18,3.338643,0,13
23,30,2.455623,0,13
24,19,3.0769217,0,13
25,1,3.5668244,0,13
26,4,3.5991716,0,13
1,24,2.392137,0,14
2,7,3.5793805,0,14
3,18,2.7702367,0,14
4,14,2.9535654,0,14
5,20,2.9506228,0,14
6,15,3.3316858,0,14
7,22,1.6570072,0,14
8,20,2.2132697,0,14
9,12,2.1838374,0,14
10,25,2.4824703,0,14
11,18,2.704767,0,14
12,13,2.4149024,0,14
13,24,2.3872523,0,14
14,18,2.8780992,0,14
15,39,2.2651432,0,14
16,10,2.226333,0,14
17,18,3.312147,0,14
18,23,3.0290158,0,14
19,43,1.5426317,0,14
20,13,3.283827,0,14
21,11,1.7523649,0,14
22,3,5.783651,0,14
1,38,2.8634589,0,15
2,31,2.1571803,0,15
3,25,2.9780552,0,15
4,14,3.1703925,0,15
5,30,2.893861,0,15
6,19,2.9839404,0,15
7,26,3.1997733,0,15
8,23,3.1019511,0,15
9,22,3.0827959,0,15
10,33,2.7839565,0,15
11,16,3.5451186,0,15
12,19,3.1119616,0,15
13,31,3.9496307,0,15
14,15,3.4694886,0,15
15,28,2.6829405,0,15
16,31,3.073445,0,15
17,20,4.2493787,0,15
1,25,2.7743485,0,16
2,18,3.421562,0,16
3,33,2.8770742,0,16
4,19,1.9434739,0,16
5,23,2.2656658,0,16
6,25,2.4444172,0,16
7,19,2.9591634,0,16
8,25,2.719421,0,16
9,22,2.9562736,0,16
10,27,2.9641511,0,16
11,18,3.44861,0,16
12,30,2.6900823,0,16
13,17,3.6882622,0,16
14,24,3.3830893,0,16
15,28,2.8196564,0,16
16,21,2.6372752,0,16
17,15,3.5571141,0,16
18,30,2.8044224,0,16
19,24,3.2780967,0,16
1,42,3.0893605,0,17
2,26,2.75476,0,17
3,20,2.529067,0,17
4,20,2.6301162,0,17
5,21,3.3872607,0,17
6,16,2.6503706,0,17
7,20,3.0640745,0,17
8,32,2.8527846,0,17
9,26,1.8282527,0,17
10,24,3.3507361,0,17
11,22,3.4620624,0,17
12,27,2.5741642,0,17
13,41,2.3168225,0,17
14,22,3.5336761,0,17
15,13,2.9852934,0,17
16,21,3.2969055,0,17
17,30,2.733472,0,17
18,3,2.03438,0,17
1,11,3.0252488,0,18
2,18,2.0317197,0,18
3,18,2.7085302,0,18
4,27,2.827623,0,18
5,15,2.198216,0,18
6,18,1.7709025,0,18
7,21,2.3981354,0,18
8,27,2.1512258,0,18
9,12,3.9663277,0,18
10,30,2.3192236,0,18
11,30,1.9218482,0,18
12,20,2.3335712,0,18
13,20,2.9483016,0,18
14,20,3.080364,0,18
15,10,2.6862955,0,18
16,22,2.4071193,0,18
17,18,4.0236583,0,18
18,33,2.0225601,0,18
19,9,4.318607,0,18
20,31,2.7186844,0,18
21,17,2.4608154,0,18
1,18,2.8023298,0,19
2,18,3.5230546,0,19
3,31,2.5624392,0,19
4,25,2.6680436,0,19
5,17,2.3149445,0,19
6,30,2.5319865,0,19
7,18,2.7071598,0,19
8,18,2.8771114,0,19
9,19,3.0050986,0,19
10,19,2.1572747,0,19
11,29,2.528894,0,19
12,16,3.1747994,0,19
13,23,2.1469798,0,19
14,25,2.8049572,0,19
15,13,3.6787148,0,19
16,12,3.3354328,0,19
17,25,2.6667001,0,19
18,10,3.6400883,0,19
19,22,2.8730595,0,19
20,18,2.3571904,0,19
21,14,2.6771874,0,19
22,34,2.5978203,0,19
23,16,3.314198,0,19
1,34,2.1112366,0,20
2,16,2.397592,0,20
3,28,2.0977004,0,20
4,31,2.6005483,0,20
5,38,2.0115654,0,20
6,17,2.8119442,0,20
7,19,3.158815,0,20
8,27,2.458517,0,20
9,35,2.507105,0,20
10,14,2.7247095,0,20
11,38,2.4891827,0,20
12,24,3.0249639,0,20
13,19,3.049836,0,20
14,16,2.5936935,0,20
15,37,2.7873063,0,20
16,18,3.3118145,0,20
17,4,8.99092,0,20
1,17,3.1893046,0,21
2,25,3.0267677,0,21
3,21,3.0200005,0,21
4,30,1.3156359,0,21
5,26,2.6681137,0,21
6,22,3.4384756,0,21
7,12,2.4814732,0,21
8,17,1.8861948,0,21
9,38,1.5384873,0,21
10,16,3.340132,0,21
11,13,3.6047473,0,21
12,52,2.3266604,0,21
13,14,3.7063298,0,21
14,29,3.5065238,0,21
15,31,2.4627674,0,21
16,18,3.266142,0,21
17,13,2.8088212,0,21
1,22,2.1437833,0,22
2,22,3.3575156,0,22
3,4,4.071913,0,22
4,31,2.3025274,0,22
5,18,2.9367092,0,22
6,18,2.890285,0,22
7,21,2.448564,0,22
8,15,3.1152668,0,22
9,20,2.5252671,0,22
10,21,2.7541673,0,22
11,29,2.3984504,0,22
12,20,2.0555148,0,22
13,18,3.2817595,0,22
14,24,2.911118,0,22
15,20,3.3782868,0,22
16,17,3.4371457,0,22
17,40,3.2193885,0,22
18,14,3.2002187,0,22
19,50,2.8071208,0,22
1,21,3.5235574,0,23
2,23,2.8675666,0,23
3,25,2.7554145,0,23
4,15,2.8738978,0,23
5,21,4.1769238,0,23
6,34,2.8171153,0,23
7,15,3.9907308,0,23
8,31,2.780819,0,23
9,22,2.9917364,0,23
10,23,3.5961916,0,23
11,26,2.4212844,0,23
12,40,2.4681294,0,23
13,23,3.1036136,0,23
14,26,2.0352993,0,23
15,25,3.5634434,0,23
16,16,2.8161573,0,23
17,36,2.1653953,0,23
18,28,2.2181878,0,23
19,4,3.7773113,0,23
1,31,2.5679934,0,24
2,16,4.3462605,0,24
3,22,2.3420916,0,24
4,15,3.7205937,0,24
5,15,3.224802,0,24
6,26,2.3448749,0,24
7,19,2.4343004,0,24
8,20,2.9357467,0,24
9,10,3.883911,0,24
10,25,2.5714316,0,24
11,22,2.6678555,0,24
12,40,2.2659154,0,24
13,14,4.0043116,0,24
14,10,2.9812248,0,24
15,19,3.1454382,0,24
16,23,3.7955472,0,24
17,18,3.576017,0,24
18,26,3.0699444,0,24
19,15,2.653118,0,24
20,19,3.352473,0,24
21,20,3.3287106,0,24
22,6,5.861283,0,24
1,1,2.8996782,0,25
2,35,2.320959,0,25
3,24,2.7596323,0,25
4,26,2.4783072,0,25
5,26,2.7562869,0,25
6,2,5.838846,0,25
7,34,3.1134546,0,25
8,19,1.8571137,0,25
9,1,2.742128,0,25
10,29,2.8962667,0,25
11,20,3.3152626,0,25
12,23,3.4485364,0,25
13,18,2.3156743,0,25
14,1,4.973137,0,25
15,25,2.7949057,0,25
16,18,3.391974,0,25
17,19,3.552578,0,25
18,23,3.3221025,0,25
19,17,3.7217433,0,25
20,1,2.705169,0,25
21,14,2.910431,0,25
22,26,2.9328825,0,25
23,23,3.1530483,0,25
24,19,2.37279,0,25
1,26,2.4124448,0,26
2,28,2.6950982,0,26
3,16,2.6526601,0,26
4,12,2.2641327,0,26
5,25,1.9075272,0,26
6,18,2.4081616,0,26
7,18,3.0112917,0,26
8,14,3.0149453,0,26
9,16,2.6451197,0,26
10,15,2.6000347,0,26
11,26,2.1537037,0,26
12,19,2.4796457,0,26
13,17,2.7582679,0,26
14,26,2.5713394,0,26
15,14,1.7957585,0,26
16,15,3.7398694,0,26
17,24,2.6242263,0,26
18,19,1.4439873,0,26
19,26,1.8656741,0,26
20,19,2.8420017,0,26
21,20,3.0104024,0,26
1,24,1.7389162,0,27
2,23,2.735736,0,27
3,19,2.4714277,0,27
4,31,2.4500694,0,27
5,15,2.0230613,0,27
6,28,2.323903,0,27
7,25,3.122869,0,27
8,20,3.000396,0,27
9,22,3.0344975,0,27
10,25,2.791774,0,27
11,17,3.6899755,0,27
12,18,2.9174576,0,27
13,14,3.7112055,0,27
14,13,4.303421,0,27
15,19,2.3342443,0,27
16,22,2.1610515,0,27
17,27,2.6254113,0,27
18,14,2.6174643,0,27
19,32,2.5664654,0,27
20,27,2.4916039,0,27
21,10,3.211705,0,27
1,37,2.5477884,0,28
2,26,3.1919436,0,28
3,18,2.2476902,0,28
4,26,2.4222052,0,28
5,28,3.0971382,0,28
6,18,3.6783764,0,28
7,23,2.5675507,0,28
8,28,2.5021853,0,28
9,17,2.7353911,0,28
10,21,3.1389935,0,28
11,26,2.824264,0,28
12,24,2.793613,0,28
13,21,3.1130865,0,28
14,33,2.4585369,0,28
15,23,4.027916,0,28
16,24,3.457407,0,28
17,25,2.2887502,0,28
18,17,2.441829,0,28
19,10,2.6225572,0,28
