num,length,response,context_length,name
1,16,3.368415,0,0
2,18,0.8927186,0,0
3,16,2.2321649,0,0
4,14,1.6592815,0,0
5,20,1.8396585,0,0
6,18,2.795839,0,0
7,13,2.245133,0,0
8,20,1.705933,0,0
9,27,2.439721,0,0
10,23,1.4264455,0,0
11,20,3.1494398,0,0
12,18,2.4833002,0,0
13,14,2.730847,0,0
14,16,2.532927,0,0
15,23,2.2348063,0,0
16,24,2.777976,0,0
17,29,1.8248295,0,0
18,26,2.5761776,0,0
19,19,2.5559177,0,0
20,20,2.9963884,0,0
21,28,2.6048274,0,0
22,22,2.711969,0,0
23,4,4.5087523,0,0
1,13,2.5736465,0,1
2,22,2.3596551,0,1
3,18,2.2443428,0,1
4,24,2.4517972,0,1
5,22,2.5596292,0,1
6,26,1.57335,0,1
7,24,1.7218558,0,1
8,15,2.13797,0,1
9,19,1.7107425,0,1
10,17,3.1752899,0,1
11,14,2.2768416,0,1
12,17,3.335244,0,1
13,28,2.050153,0,1
14,28,2.2080953,0,1
15,22,2.631004,0,1
16,19,2.5314758,0,1
17,23,2.900127,0,1
18,14,2.6663465,0,1
19,23,3.3944383,0,1
20,23,1.7421613,0,1
21,16,2.8448277,0,1
1,25,3.395583,0,2
2,22,2.5387588,0,2
3,29,3.4672768,0,2
4,15,1.6557562,0,2
5,26,3.0220952,0,2
6,26,2.3497872,0,2
7,27,2.9570172,0,2
8,22,3.64732,0,2
9,33,2.8656318,0,2
10,25,2.8201406,0,2
11,24,2.1612258,0,2
12,27,2.3778312,0,2
13,32,2.506742,0,2
14,30,2.421472,0,2
15,33,3.4255972,0,2
16,33,1.9539392,0,2
17,23,2.3146937,0,2
1,52,1.1957327,0,3
2,17,3.1521573,0,3
3,29,0.92113876,0,3
4,39,1.4448304,0,3
5,66,0.9253399,0,3
6,31,1.9510655,0,3
7,31,2.201093,0,3
8,47,1.8787891,0,3
9,3,2.9958377,0,3
10,2,2.794099,0,3
11,14,2.1381936,0,3
12,1,,0,3
13,5,4.0364857,0,3
1,23,3.5490556,0,4
2,33,2.5349631,0,4
3,42,1.9539824,0,4
4,19,1.3314176,0,4
5,26,2.3143845,0,4
6,36,1.8392913,0,4
7,28,1.9493408,0,4
8,31,2.3191748,0,4
9,35,2.1595705,0,4
10,14,2.0623214,0,4
11,22,1.8340389,0,4
12,31,2.2066066,0,4
13,26,2.1770759,0,4
14,27,2.160582,0,4
15,30,2.4214017,0,4
16,29,2.1219923,0,4
17,3,1.4743297,0,4
1,30,3.144789,0,5
2,27,2.6232216,0,5
3,15,4.1232133,0,5
4,35,3.0668793,0,5
5,36,2.350298,0,5
6,23,2.085211,0,5
7,25,2.1565795,0,5
8,18,2.5634422,0,5
9,17,2.8140867,0,5
10,18,2.4757583,0,5
11,22,2.2825232,0,5
12,22,2.4575648,0,5
13,50,1.9346309,0,5
14,15,2.1733794,0,5
15,20,2.8273556,0,5
16,25,2.3281894,0,5
