num,length,response,context_length,name
1,16,4.116889,0,0
2,20,2.4345443,0,0
3,16,4.005517,0,0
4,13,2.6914654,0,0
5,18,4.06883,0,0
6,19,3.6727176,0,0
7,21,5.0141816,0,0
8,21,3.6177719,0,0
9,26,3.0556889,0,0
10,21,3.2489305,0,0
11,27,3.4797938,0,0
12,14,3.7970903,0,0
13,26,4.018507,0,0
14,28,2.4494042,0,0
15,24,4.048192,0,0
1,13,3.5845025,0,1
2,13,4.2876067,0,1
3,23,2.852666,0,1
4,32,3.1541119,0,1
5,23,2.431892,0,1
6,19,3.8377674,0,1
7,20,3.272393,0,1
8,27,2.772373,0,1
9,25,3.7648041,0,1
10,24,3.9466157,0,1
11,23,3.184654,0,1
12,24,3.5348327,0,1
13,14,4.5738716,0,1
14,27,2.7460015,0,1
15,35,2.7546,0,1
16,22,3.889473,0,1
17,17,4.064236,0,1
18,21,3.584055,0,1
19,27,3.2630517,0,1
20,7,5.3852315,0,1
21,3,9.348818,0,1
1,29,3.6346016,0,2
2,16,3.650123,0,2
3,20,3.018833,0,2
4,30,2.9951334,0,2
5,23,4.0313215,0,2
6,23,4.3944044,0,2
7,29,3.4209943,0,2
8,33,2.596475,0,2
9,25,3.1863322,0,2
1,45,1.1478516,0,3
2,21,2.848677,0,3
3,18,1.820099,0,3
4,39,2.2807157,0,3
5,29,3.4034307,0,3
6,40,2.3736773,0,3
7,30,1.7909344,0,3
8,14,4.768589,0,3
9,30,2.7493389,0,3
10,29,3.3867528,0,3
11,35,3.3647687,0,3
12,21,4.555582,0,3
13,12,4.7885156,0,3
14,23,3.5439417,0,3
15,9,5.937537,0,3
1,23,3.5014954,0,4
2,25,4.748229,0,4
3,25,3.710334,0,4
4,28,3.0002794,0,4
5,33,2.8596106,0,4
6,26,3.6833663,0,4
7,31,3.2515345,0,4
1,19,5.027025,0,5
2,20,5.4941545,0,5
3,26,3.8038807,0,5
4,15,4.765982,0,5
5,23,3.8873768,0,5
6,32,4.0997953,0,5
7,25,3.664035,0,5
1,1,10.896067,0,6
2,17,5.4111214,0,6
3,22,3.4267483,0,6
4,18,3.9175878,0,6
5,23,4.122651,0,6
6,1,11.830917,0,6
7,20,3.6833832,0,6
8,26,3.7036877,0,6
9,18,3.4605436,0,6
10,1,11.179564,0,6
11,25,3.4881952,0,6
12,21,3.7531419,0,6
13,26,2.942696,0,6
14,1,12.077369,0,6
15,17,5.6777062,0,6
16,27,3.7243981,0,6
17,34,2.9012554,0,6
18,19,3.924909,0,6
19,19,3.9626348,0,6
20,39,2.866965,0,6
21,24,3.5787904,0,6
22,28,3.9913046,0,6
23,20,4.02237,0,6
1,29,3.4837627,0,7
2,22,3.296221,0,7
3,12,5.4023046,0,7
4,20,3.2327528,0,7
5,24,2.5641456,0,7
6,17,3.6021428,0,7
7,18,4.563808,0,7
8,30,3.9271636,0,7
1,29,2.6788404,0,8
2,17,4.660097,0,8
3,23,3.8148403,0,8
4,22,3.9197383,0,8
5,15,4.3697352,0,8
6,32,3.3457196,0,8
7,25,3.8439622,0,8
1,16,4.95704,0,9
2,23,2.9714828,0,9
3,21,2.8281891,0,9
4,45,2.5141442,0,9
5,35,2.8510594,0,9
6,35,2.9406383,0,9
7,22,3.6747453,0,9
1,26,4.119127,0,10
2,27,2.6350768,0,10
3,7,8.323676,0,10
4,11,6.5869336,0,10
5,22,3.7782059,0,10
6,20,3.7265952,0,10
7,19,2.7482562,0,10
8,77,1.9703476,0,10
9,18,4.164948,0,10
10,22,3.88365,0,10
11,22,3.1698246,0,10
12,25,2.8875098,0,10
13,25,3.461691,0,10
14,24,3.6324372,0,10
15,26,3.0801249,0,10
1,23,1.8250164,0,11
2,9,2.4499815,0,11
3,23,2.8131723,0,11
4,34,2.5695777,0,11
5,35,2.1563334,0,11
6,61,1.0910391,0,11
7,16,4.5878267,0,11
1,27,2.3001692,0,12
2,27,1.8759015,0,12
3,23,2.7021937,0,12
4,20,3.0069926,0,12
5,27,3.1284828,0,12
6,24,3.323285,0,12
7,25,2.8798625,0,12
8,18,2.9122696,0,12
9,33,3.2139046,0,12
1,1,10.896067,0,13
2,28,2.6614237,0,13
3,24,3.154599,0,13
4,16,4.1318297,0,13
5,28,2.885648,0,13
6,30,3.1538525,0,13
7,1,10.996163,0,13
8,27,3.757431,0,13
9,21,3.5779998,0,13
10,29,3.6783965,0,13
11,1,11.179564,0,13
12,18,5.1325254,0,13
13,23,3.5689387,0,13
14,19,4.353001,0,13
15,25,4.439189,0,13
16,33,3.3429341,0,13
17,1,12.077369,0,13
18,22,4.179611,0,13
19,19,4.184566,0,13
20,34,2.959092,0,13
21,15,5.4771886,0,13
1,30,2.5515287,0,14
2,17,3.3019595,0,14
3,26,2.1792953,0,14
4,20,3.0771217,0,14
5,27,3.0771935,0,14
6,35,2.6884406,0,14
7,35,2.4493043,0,14
1,38,3.051178,0,15
2,17,3.9354713,0,15
3,25,5.012847,0,15
4,36,3.0206542,0,15
5,30,3.6442013,0,15
1,18,5.240485,0,16
2,17,5.6290574,0,16
3,27,3.4223235,0,16
4,31,3.425768,0,16
5,21,4.6720147,0,16
6,24,3.0180016,0,16
7,26,3.787601,0,16
8,19,3.7634704,0,16
9,31,3.7668548,0,16
1,34,3.132077,0,17
2,28,3.5217009,0,17
3,26,3.4041169,0,17
4,18,4.289834,0,17
5,31,3.4503126,0,17
6,22,3.7268705,0,17
1,11,4.093709,0,18
2,18,3.2765188,0,18
3,17,2.6453538,0,18
4,18,4.4093704,0,18
