num,length,response,context_length,name
1,16,3.5555549,0,0
2,20,2.0219657,0,0
3,16,2.414909,0,0
4,13,2.459015,0,0
5,18,3.5676033,0,0
6,19,2.3416872,0,0
7,21,3.0214088,0,0
8,21,2.5761187,0,0
9,26,2.4268274,0,0
10,21,2.4856453,0,0
11,27,2.334367,0,0
12,14,3.2203085,0,0
13,26,2.568929,0,0
14,28,1.8944484,0,0
15,24,2.6900864,0,0
1,13,2.6841903,0,1
2,13,3.1757112,0,1
3,23,2.4810622,0,1
4,32,2.666457,0,1
5,23,2.4850879,0,1
6,19,2.9989278,0,1
7,20,2.8018126,0,1
8,27,2.2544978,0,1
9,25,3.0089207,0,1
10,24,2.9870028,0,1
11,23,3.0815337,0,1
12,24,2.7851288,0,1
13,14,3.1246185,0,1
14,27,1.9509022,0,1
15,35,2.581759,0,1
16,22,3.190208,0,1
17,17,2.9267695,0,1
18,21,2.833445,0,1
19,27,2.4470685,0,1
20,7,3.1477523,0,1
21,3,6.922678,0,1
1,29,3.1301367,0,2
2,16,2.831547,0,2
3,20,2.338667,0,2
4,30,2.5774746,0,2
5,23,3.0957007,0,2
6,23,3.3349,0,2
7,29,2.916051,0,2
8,33,2.3982432,0,2
9,25,2.6715884,0,2
1,45,0.8563916,0,3
2,21,2.059977,0,3
3,18,1.8594395,0,3
4,39,1.5306801,0,3
5,29,2.470632,0,3
6,40,2.0332963,0,3
7,30,2.1928563,0,3
8,14,3.5405319,0,3
9,30,2.445621,0,3
10,29,2.9105594,0,3
11,35,2.7833,0,3
12,21,4.018253,0,3
13,12,3.6095414,0,3
14,23,2.3673341,0,3
15,9,2.9377716,0,3
1,23,2.947208,0,4
2,25,3.6832538,0,4
3,25,2.3855815,0,4
4,28,2.401561,0,4
5,33,2.3817818,0,4
6,26,2.857103,0,4
7,31,2.4544518,0,4
1,19,4.1371098,0,5
2,20,3.4256723,0,5
3,26,3.1541996,0,5
4,15,3.591687,0,5
5,23,2.9679859,0,5
6,32,3.431994,0,5
7,25,2.6495054,0,5
1,1,7.6062317,0,6
2,17,3.0674956,0,6
3,22,2.480951,0,6
4,18,3.1714962,0,6
5,23,3.098843,0,6
6,1,6.2728276,0,6
7,20,2.7262712,0,6
8,26,3.028864,0,6
9,18,2.9422152,0,6
10,1,7.0264015,0,6
11,25,2.7899501,0,6
12,21,2.890675,0,6
13,26,2.508757,0,6
14,1,7.475412,0,6
15,17,4.1313415,0,6
16,27,2.8600295,0,6
17,34,2.613116,0,6
18,19,3.6339228,0,6
19,19,3.099806,0,6
20,39,2.1174917,0,6
21,24,2.6824985,0,6
22,28,2.932895,0,6
23,20,2.8302095,0,6
1,29,2.8899086,0,7
2,22,2.335544,0,7
3,12,3.9417849,0,7
4,20,2.451881,0,7
5,24,2.3064718,0,7
6,17,2.9036906,0,7
7,18,3.5976503,0,7
8,30,2.8615837,0,7
1,29,1.7352972,0,8
2,17,3.1463287,0,8
3,23,2.9136279,0,8
4,22,2.7692978,0,8
5,15,3.2386062,0,8
6,32,2.6946042,0,8
7,25,2.5734,0,8
1,16,2.9596405,0,9
2,23,2.1884737,0,9
3,21,2.616516,0,9
4,45,2.419117,0,9
5,35,2.3355052,0,9
6,35,1.8437179,0,9
7,22,2.5894108,0,9
1,26,3.2654994,0,10
2,27,1.9301863,0,10
3,7,6.3148775,0,10
4,11,4.9592385,0,10
5,22,3.0411742,0,10
6,20,2.6650531,0,10
7,19,2.3461792,0,10
8,77,1.9951423,0,10
9,18,3.2530644,0,10
10,22,3.3203623,0,10
11,22,2.4673462,0,10
12,25,2.3191786,0,10
13,25,2.5551107,0,10
14,24,2.8804328,0,10
15,26,2.366241,0,10
1,23,1.6179365,0,11
2,9,2.299361,0,11
3,23,2.426042,0,11
4,34,1.8092334,0,11
5,35,1.7832539,0,11
6,61,1.1711215,0,11
7,16,3.9994888,0,11
1,27,2.177811,0,12
2,27,1.7398238,0,12
3,23,2.094995,0,12
4,20,2.3070867,0,12
5,27,2.183895,0,12
6,24,2.9037642,0,12
7,25,2.9456482,0,12
8,18,2.4453068,0,12
9,33,2.3607605,0,12
1,1,7.6062317,0,13
2,28,2.454802,0,13
3,24,2.4974172,0,13
4,16,2.4884355,0,13
5,28,2.0034525,0,13
6,30,2.3096688,0,13
7,1,5.8152747,0,13
8,27,2.8851671,0,13
9,21,3.1645212,0,13
10,29,2.5040631,0,13
11,1,7.0264015,0,13
12,18,3.807382,0,13
13,23,2.8911188,0,13
14,19,2.783551,0,13
15,25,2.5370939,0,13
16,33,2.5769532,0,13
17,1,7.475412,0,13
18,22,2.924244,0,13
19,19,2.8234532,0,13
20,34,2.278175,0,13
21,15,3.5343165,0,13
1,30,2.1446369,0,14
2,17,1.8404316,0,14
3,26,1.9480534,0,14
4,20,2.3483298,0,14
5,27,2.6992595,0,14
6,35,2.3427534,0,14
7,35,1.980839,0,14
1,38,2.5574136,0,15
2,17,2.8332772,0,15
3,25,3.6880562,0,15
4,36,2.7799423,0,15
5,30,2.6315062,0,15
1,18,3.94918,0,16
2,17,4.2293553,0,16
3,27,2.8319364,0,16
4,31,2.766294,0,16
5,21,3.4604092,0,16
6,24,2.2340417,0,16
7,26,2.753364,0,16
8,19,2.522612,0,16
9,31,2.777237,0,16
1,34,3.1731553,0,17
2,28,3.024808,0,17
3,26,2.6851163,0,17
4,18,3.0289798,0,17
5,31,2.9318259,0,17
6,22,2.7540994,0,17
1,11,3.6298566,0,18
2,18,2.8773146,0,18
3,17,2.2148852,0,18
4,18,3.7524858,0,18
5,20,3.1579688,0,18
6,27,2.958938,0,18
7,34,3.0335555,0,18
1,18,2.922087,0,19
2,16,4.372158,0,19
3,26,2.6318388,0,19
4,15,4.330718,0,19
5,21,2.5824218,0,19
6,29,2.7399294,0,19
1,34,1.9830316,0,20
2,15,3.2255032,0,20
3,19,2.0828745,0,20
4,24,2.4310482,0,20
5,26,2.1908407,0,20
6,27,2.8250082,0,20
7,35,2.287026,0,20
1,17,2.9446955,0,21
2,30,2.5160534,0,21
3,19,2.6357934,0,21
4,32,3.4454713,0,21
5,14,3.3494928,0,21
6,16,3.9861948,0,21
7,27,2.8087783,0,21
8,36,2.0400276,0,21
1,21,2.406133,0,22
2,35,2.8344853,0,22
3,34,2.7330282,0,22
4,27,2.86429,0,22
5,19,3.2752655,0,22
6,33,3.0206246,0,22
7,20,3.8350718,0,22
8,15,3.230219,0,22
9,15,2.6999176,0,22
10,19,2.722729,0,22
11,11,2.8607147,0,22
12,25,3.1800675,0,22
13,15,3.6004336,0,22
14,21,3.1300936,0,22
15,22,3.0706272,0,22
16,24,2.5974326,0,22
1,24,3.5511677,0,23
2,24,3.04967,0,23
3,33,3.0767584,0,23
4,37,2.996194,0,23
5,33,2.320806,0,23
6,12,4.3444247,0,23
1,24,2.5728135,0,24
2,34,2.424916,0,24
3,30,2.8191447,0,24
4,32,2.4887278,0,24
5,34,2.381854,0,24
6,14,3.7129936,0,24
7,22,3.1113255,0,24
8,27,2.451843,0,24
9,31,2.793995,0,24
10,26,2.76296,0,24
11,33,2.6035264,0,24
1,1,7.6062317,0,25
2,28,3.1022782,0,25
3,25,3.477655,0,25
4,11,5.0891795,0,25
5,19,4.1217303,0,25
6,23,4.015295,0,25
7,30,3.1396844,0,25
8,22,2.1729493,0,25
1,29,2.234194,0,26
2,22,1.9412613,0,26
3,16,2.7832093,0,26
4,13,3.0974164,0,26
5,44,2.5574276,0,26
6,16,3.7895973,0,26
7,36,2.6177866,0,26
1,23,2.167982,0,27
2,15,2.7884717,0,27
3,25,2.5280156,0,27
4,25,3.496499,0,27
5,25,2.9681497,0,27
6,22,3.4765787,0,27
7,22,3.2787209,0,27
8,34,3.0731618,0,27
9,18,2.883813,0,27
10,25,3.2162037,0,27
11,23,3.0762153,0,27
12,28,2.3078384,0,27
1,21,2.8399138,0,28
2,29,2.985998,0,28
3,22,2.7426455,0,28
4,22,2.6427336,0,28
5,28,2.6268578,0,28
1,22,2.6847992,0,29
2,24,1.6378124,0,29
3,15,3.054864,0,29
4,32,2.3648076,0,29
5,29,2.474159,0,29
6,28,2.8841548,0,29
7,27,2.4845364,0,29
8,31,2.4328115,0,29
1,17,3.625576,0,30
2,11,4.51264,0,30
3,25,1.663397,0,30
4,22,2.8584387,0,30
5,27,2.8342297,0,30
6,35,2.025775,0,30
1,21,3.552142,0,31
2,22,2.7064056,0,31
3,23,2.581766,0,31
4,31,2.556497,0,31
5,33,1.7116377,0,31
1,19,3.1535666,0,32
2,37,2.3805013,0,32
3,21,3.998183,0,32
4,22,3.046937,0,32
5,23,3.4580672,0,32
6,29,2.5155394,0,32
1,14,5.9670434,0,33
2,22,3.0961387,0,33
3,13,2.6802728,0,33
4,21,2.8116117,0,33
5,27,2.24048,0,33
6,16,3.1873002,0,33
7,22,3.1686294,0,33
8,15,3.2278273,0,33
9,18,3.0772839,0,33
10,33,2.4874504,0,33
11,29,3.1124306,0,33
12,30,2.8850813,0,33
1,54,1.4485791,0,34
2,7,5.5444903,0,34
3,7,2.9623137,0,34
4,23,2.5694149,0,34
5,22,1.9581403,0,34
6,74,1.7969764,0,34
7,19,2.8685217,0,34
8,30,2.3753006,0,34
9,19,3.0655653,0,34
10,18,2.801072,0,34
11,16,2.8481278,0,34
12,26,2.150265,0,34
1,23,2.669389,0,35
2,26,2.1492677,0,35
3,31,2.4277587,0,35
4,20,2.2337894,0,35
5,22,2.2175176,0,35
6,27,2.8534062,0,35
7,18,3.4489646,0,35
8,25,2.647245,0,35
9,28,2.9038882,0,35
10,20,3.4542017,0,35
11,27,2.8444667,0,35
12,33,2.7678869,0,35
1,17,2.478298,0,36
2,28,1.9791893,0,36
3,23,2.8920226,0,36
4,19,3.1684873,0,36
5,20,2.80112,0,36
6,21,2.4623919,0,36
7,34,2.372508,0,36
8,31,2.88661,0,36
1,28,2.9959702,0,37
2,25,2.3566728,0,37
3,19,3.6948018,0,37
4,34,2.231674,0,37
5,36,2.1361535,0,37
1,30,2.7902822,0,38
2,21,2.652765,0,38
3,24,2.0315664,0,38
4,30,2.717144,0,38
5,27,2.6049137,0,38
6,37,2.1062808,0,38
7,23,2.5401073,0,38
1,1,7.6062317,0,39
2,27,3.0863178,0,39
3,25,2.648774,0,39
4,33,2.5134492,0,39
5,35,1.4519932,0,39
6,21,3.0663996,0,39
7,14,2.9206026,0,39
8,20,3.916746,0,39
9,27,2.3200564,0,39
10,20,4.1252346,0,39
11,12,4.345289,0,39
12,32,2.093385,0,39
13,36,2.8572087,0,39
14,7,3.7957933,0,39
15,30,3.0005834,0,39
16,21,2.9234693,0,39
17,25,3.4507544,0,39
18,26,2.3592856,0,39
1,15,3.9664435,0,40
2,30,1.7798799,0,40
3,22,3.1898086,0,40
4,23,3.5612621,0,40
5,24,3.1661716,0,40
6,32,2.7828155,0,40
7,16,3.3684304,0,40
8,12,3.8895724,0,40
9,27,2.8064,0,40
10,24,2.3231394,0,40
11,27,3.5676153,0,40
12,24,2.4916346,0,40
1,24,3.2026763,0,41
2,24,1.8171625,0,41
3,26,1.8209381,0,41
4,23,2.4102309,0,41
5,24,2.6110241,0,41
6,20,2.205528,0,41
7,27,2.2758882,0,41
8,31,2.444674,0,41
9,32,1.9894304,0,41
10,20,3.9037025,0,41
11,28,2.0879104,0,41
12,30,2.0193944,0,41
1,11,2.8083029,0,42
2,29,1.6201066,0,42
3,27,1.8287268,0,42
4,17,2.213016,0,42
5,21,2.148062,0,42
6,14,1.9742025,0,42
7,20,2.2901435,0,42
8,19,1.8784994,0,42
9,21,2.148049,0,42
10,29,1.3178712,0,42
