num,length,response,context_length,name
1,16,2.966643,0,0
2,20,2.0016844,0,0
3,16,2.3586109,0,0
4,13,2.6898186,0,0
5,18,3.4539025,0,0
6,19,2.0645514,0,0
7,21,2.6820924,0,0
8,21,2.9718306,0,0
9,26,2.5717413,0,0
10,21,2.7644367,0,0
11,27,2.5130584,0,0
12,14,3.0572402,0,0
13,26,2.681671,0,0
14,28,2.0655322,0,0
15,24,2.434288,0,0
1,13,2.4360073,0,1
2,13,3.1163614,0,1
3,23,2.4885433,0,1
4,32,2.9312148,0,1
5,23,2.7176337,0,1
6,19,2.8832219,0,1
7,20,3.1558166,0,1
8,27,2.535665,0,1
9,25,3.1640675,0,1
10,24,2.7484589,0,1
11,23,2.9670398,0,1
12,24,2.7023938,0,1
13,14,3.079943,0,1
14,27,2.206278,0,1
15,35,2.759947,0,1
16,22,3.051022,0,1
17,17,2.607422,0,1
18,21,2.7822342,0,1
19,27,2.4498017,0,1
20,7,2.4898412,0,1
21,3,6.683797,0,1
1,29,3.1742764,0,2
2,16,2.9777024,0,2
3,20,2.4125824,0,2
4,30,2.6348507,0,2
5,23,3.2394443,0,2
6,23,3.2582242,0,2
7,29,2.9963243,0,2
8,33,2.3183165,0,2
9,25,2.911169,0,2
1,45,1.2311893,0,3
2,21,2.0704463,0,3
3,18,2.1753252,0,3
4,39,1.992292,0,3
5,29,3.282197,0,3
6,40,2.1306374,0,3
7,30,2.9227524,0,3
8,14,4.1567893,0,3
9,30,2.8223057,0,3
10,29,2.6552992,0,3
11,35,2.758653,0,3
12,21,3.856602,0,3
13,12,3.782825,0,3
14,23,2.5063744,0,3
15,9,2.6830528,0,3
1,23,2.7853954,0,4
2,25,3.2765133,0,4
3,25,2.5395553,0,4
4,28,2.5125933,0,4
5,33,2.5986648,0,4
6,26,2.9074264,0,4
7,31,2.9299486,0,4
1,19,3.8225327,0,5
2,20,3.4854295,0,5
3,26,3.2165418,0,5
4,15,3.9793174,0,5
5,23,2.9870596,0,5
6,32,3.2875366,0,5
7,25,3.1351523,0,5
1,1,2.8996782,0,6
2,17,2.4621344,0,6
3,22,2.3271914,0,6
4,18,2.8650503,0,6
5,23,2.8069575,0,6
6,1,2.742128,0,6
7,20,2.4725516,0,6
8,26,2.6896286,0,6
9,18,2.8711734,0,6
10,1,4.973137,0,6
11,25,2.8463626,0,6
12,21,3.0873625,0,6
13,26,2.2900786,0,6
14,1,2.705169,0,6
15,17,4.151096,0,6
16,27,2.8245804,0,6
17,34,2.925647,0,6
18,19,3.2961307,0,6
19,19,3.4407966,0,6
20,39,2.1158538,0,6
21,24,2.490844,0,6
22,28,3.1236615,0,6
23,20,2.7104578,0,6
1,29,2.782328,0,7
2,22,2.347923,0,7
3,12,4.048584,0,7
4,20,2.642361,0,7
5,24,2.5912037,0,7
6,17,2.6655517,0,7
7,18,3.7017257,0,7
8,30,3.2475612,0,7
1,29,1.7071611,0,8
2,17,3.328381,0,8
3,23,2.7473686,0,8
