num,length,response,context_length,name
1,16,3.3684623,0,0
2,20,1.8608638,0,0
3,16,2.3844724,0,0
4,13,2.549737,0,0
5,18,2.9529686,0,0
6,19,2.0478427,0,0
7,21,2.6105757,0,0
8,21,2.8618324,0,0
9,26,2.4681654,0,0
10,21,2.4641862,0,0
11,27,1.9723605,0,0
12,14,2.7733417,0,0
13,26,2.570632,0,0
14,28,1.5405887,0,0
15,24,2.3370395,0,0
1,13,2.5736678,0,1
2,13,2.7034752,0,1
3,23,2.2355318,0,1
4,32,2.2629735,0,1
5,23,2.152801,0,1
6,19,2.4181943,0,1
7,20,2.4781015,0,1
8,27,1.9815402,0,1
9,25,2.688119,0,1
10,24,2.332743,0,1
11,23,2.331753,0,1
12,24,2.304402,0,1
13,14,3.0708902,0,1
14,27,1.4715593,0,1
15,35,2.5129323,0,1
16,22,3.040586,0,1
17,17,2.6421337,0,1
18,21,2.2104094,0,1
19,27,1.6807626,0,1
20,7,1.6761047,0,1
21,3,4.1905236,0,1
1,29,3.2160375,0,2
2,16,2.7553692,0,2
3,20,2.9163778,0,2
4,30,2.5559623,0,2
5,23,3.2917829,0,2
6,23,2.8520477,0,2
7,29,2.5579908,0,2
8,33,2.0681927,0,2
9,25,2.3157973,0,2
1,45,1.3747959,0,3
2,21,1.9335128,0,3
3,18,2.0594952,0,3
4,39,2.5072799,0,3
5,29,3.2941616,0,3
6,40,2.2510953,0,3
7,30,2.6198814,0,3
8,14,3.646277,0,3
9,30,2.4401453,0,3
10,29,1.9560639,0,3
11,35,2.555333,0,3
12,21,4.117569,0,3
13,12,3.321696,0,3
14,23,2.2123365,0,3
15,9,2.5984783,0,3
1,23,3.2916296,0,4
2,25,3.2961833,0,4
3,25,2.1170573,0,4
4,28,2.0476677,0,4
5,33,2.1803975,0,4
6,26,2.7225225,0,4
7,31,2.0882695,0,4
1,19,4.0377107,0,5
2,20,4.088039,0,5
3,26,2.8409817,0,5
4,15,2.891128,0,5
5,23,2.738156,0,5
6,32,3.2759407,0,5
7,25,2.362083,0,5
1,1,2.5857878,0,6
2,17,2.9399107,0,6
3,22,2.0211306,0,6
4,18,2.9850566,0,6
5,23,2.8927493,0,6
6,1,3.2188206,0,6
7,20,2.0734975,0,6
8,26,2.7977788,0,6
9,18,2.6447158,0,6
10,1,4.5079846,0,6
11,25,2.5145054,0,6
12,21,2.5260184,0,6
13,26,1.9975299,0,6
14,1,3.1493025,0,6
15,17,4.3035393,0,6
16,27,2.4794822,0,6
17,34,2.4757435,0,6
18,19,2.9379258,0,6
19,19,3.0511887,0,6
20,39,2.1133728,0,6
21,24,2.2686284,0,6
22,28,2.750531,0,6
23,20,2.3919373,0,6
1,29,2.9057703,0,7
2,22,2.258338,0,7
3,12,3.7766628,0,7
4,20,2.0350869,0,7
5,24,2.2988796,0,7
6,17,2.463145,0,7
7,18,3.6011007,0,7
8,30,2.238425,0,7
1,29,1.8277216,0,8
2,17,3.0455167,0,8
3,23,2.9344075,0,8
4,22,2.6343768,0,8
5,15,3.0706384,0,8
6,32,2.4812627,0,8
7,25,2.612418,0,8
1,16,3.5963647,0,9
2,23,1.9490148,0,9
3,21,2.6478717,0,9
4,45,2.445654,0,9
5,35,2.4761677,0,9
6,35,1.6632746,0,9
7,22,2.2189345,0,9
1,26,3.9685068,0,10
2,27,1.9312395,0,10
3,7,5.7370205,0,10
4,11,4.053552,0,10
5,22,3.0676064,0,10
6,20,2.6235423,0,10
7,19,1.8720912,0,10
8,77,2.1645117,0,10
9,18,3.4059517,0,10
10,22,3.2236326,0,10
11,22,1.785025,0,10
12,25,2.034285,0,10
13,25,2.6286914,0,10
14,24,3.120622,0,10
15,26,1.9631248,0,10
1,23,2.0236833,0,11
2,9,1.5575395,0,11
3,23,2.383597,0,11
4,34,2.3871899,0,11
5,35,2.166327,0,11
6,61,1.0902352,0,11
7,16,3.453821,0,11
1,27,2.560887,0,12
2,27,1.885364,0,12
3,23,2.2873073,0,12
4,20,3.0870001,0,12
5,27,3.111961,0,12
6,24,3.0263216,0,12
7,25,3.0537944,0,12
8,18,2.0115054,0,12
9,33,2.5384624,0,12
1,1,2.5857878,0,13
2,28,2.6932263,0,13
3,24,2.4639542,0,13
4,16,2.6323822,0,13
5,28,1.7496214,0,13
6,30,2.4437983,0,13
7,1,3.7476783,0,13
8,27,3.4382522,0,13
9,21,2.8736148,0,13
10,29,2.3754792,0,13
11,1,4.5079846,0,13
12,18,3.3467312,0,13
13,23,2.5619206,0,13
14,19,2.7705488,0,13
15,25,2.4615993,0,13
16,33,2.2074797,0,13
17,1,3.1493025,0,13
18,22,3.0378046,0,13
19,19,2.743993,0,13
20,34,2.373277,0,13
21,15,3.4204433,0,13
1,30,2.5507479,0,14
2,17,1.9283313,0,14
3,26,1.9590795,0,14
4,20,2.5435867,0,14
5,27,2.53404,0,14
6,35,2.3299508,0,14
7,35,1.6889385,0,14
1,38,3.0171602,0,15
2,17,3.735119,0,15
3,25,4.0080194,0,15
4,36,3.2905734,0,15
5,30,2.5405896,0,15
1,18,3.6124406,0,16
2,17,3.9943473,0,16
3,27,2.938161,0,16
4,31,2.4726167,0,16
5,21,2.9083853,0,16
6,24,1.8183603,0,16
7,26,2.402522,0,16
8,19,1.9074161,0,16
9,31,2.66627,0,16
1,34,3.458552,0,17
2,28,2.662306,0,17
3,26,2.389878,0,17
4,18,2.464291,0,17
5,31,2.6637132,0,17
6,22,1.627739,0,17
1,11,3.0764441,0,18
2,18,2.717044,0,18
3,17,2.371515,0,18
4,18,3.2943244,0,18
5,20,3.0272896,0,18
6,27,2.9660351,0,18
7,34,2.6763945,0,18
1,18,3.3834088,0,19
2,16,4.3870945,0,19
3,26,2.4034617,0,19
4,15,3.7055907,0,19
5,21,2.5972998,0,19
6,29,2.4594789,0,19
1,34,2.0957103,0,20
2,15,3.4030795,0,20
3,19,2.202454,0,20
4,24,2.6309717,0,20
