num,length,response,context_length,name
1,19,2.7897308,0,0
2,15,5.251766,0,0
3,18,4.185966,0,0
4,18,4.2468257,0,0
5,17,4.829171,0,0
6,31,3.0427313,0,0
7,29,3.4108374,0,0
8,20,4.3930063,0,0
9,15,3.5865626,0,0
10,28,3.239162,0,0
11,32,3.5456488,0,0
12,16,4.5539155,0,0
13,25,4.0391603,0,0
14,22,5.1461906,0,0
15,19,3.9726493,0,0
16,26,3.211048,0,0
17,22,4.66806,0,0
18,19,3.6114404,0,0
19,35,3.040671,0,0
20,21,4.8570576,0,0
1,15,4.201346,0,1
2,23,4.029203,0,1
3,29,4.0808735,0,1
4,16,4.563161,0,1
5,24,4.110035,0,1
6,25,3.6925447,0,1
7,13,5.322826,0,1
8,20,3.9891603,0,1
9,33,3.4999604,0,1
10,20,4.253144,0,1
11,25,4.077597,0,1
12,21,4.504884,0,1
13,13,5.426431,0,1
14,19,4.2906094,0,1
15,21,4.37687,0,1
16,16,4.449722,0,1
17,23,4.0205684,0,1
18,22,3.8575242,0,1
1,36,2.1688979,0,2
2,20,3.5249898,0,2
3,22,4.501384,0,2
4,28,4.427802,0,2
5,45,2.4777136,0,2
6,28,3.5354745,0,2
7,18,4.446916,0,2
8,29,2.9814024,0,2
9,26,4.28409,0,2
10,24,3.909767,0,2
11,17,4.334449,0,2
12,26,4.846582,0,2
13,23,4.223019,0,2
1,18,4.0657625,0,3
2,22,2.4946427,0,3
3,21,2.5831096,0,3
4,23,3.51728,0,3
5,20,3.6591504,0,3
6,23,3.9719098,0,3
7,23,3.311564,0,3
8,19,4.3556743,0,3
9,25,3.6328263,0,3
10,22,3.5405948,0,3
11,16,3.671484,0,3
12,16,4.9270267,0,3
13,18,3.098444,0,3
14,26,2.9516118,0,3
15,18,4.9732823,0,3
16,24,3.8201227,0,3
17,43,3.4899597,0,3
1,28,3.69977,0,4
2,21,4.905657,0,4
3,12,5.6577506,0,4
4,22,3.7103455,0,4
5,11,5.4418116,0,4
6,11,5.185027,0,4
7,25,3.410161,0,4
8,12,4.539181,0,4
9,11,5.9787107,0,4
10,19,4.035903,0,4
11,12,4.2229037,0,4
12,20,4.00731,0,4
13,20,3.7246094,0,4
14,14,4.665866,0,4
15,12,5.078542,0,4
16,21,3.7320142,0,4
17,10,5.692287,0,4
18,15,4.9391193,0,4
19,16,4.527346,0,4
20,28,3.640504,0,4
21,37,3.3307018,0,4
22,30,3.8426733,0,4
1,26,2.6041822,0,5
2,24,3.685573,0,5
3,20,5.68323,0,5
4,20,5.3765965,0,5
5,31,3.9231486,0,5
6,32,3.2682264,0,5
7,27,4.277479,0,5
8,24,4.874909,0,5
9,24,5.306323,0,5
10,17,4.788415,0,5
11,25,4.5628915,0,5
12,19,5.1287966,0,5
13,22,5.190745,0,5
14,24,4.7953124,0,5
15,30,3.6295896,0,5
1,18,5.190284,0,6
2,21,5.8703175,0,6
3,26,4.4159184,0,6
4,28,4.186184,0,6
5,21,4.6105013,0,6
6,32,4.081252,0,6
7,26,4.7589684,0,6
8,28,4.6329894,0,6
9,39,4.4611526,0,6
10,27,3.1498325,0,6
11,26,4.623824,0,6
12,27,4.047331,0,6
13,23,3.4251883,0,6
14,20,4.3309298,0,6
1,27,4.152743,0,7
2,25,3.9663818,0,7
3,17,5.0066996,0,7
4,18,5.12415,0,7
5,32,3.536773,0,7
6,18,5.7436647,0,7
7,25,5.62745,0,7
8,33,4.064988,0,7
9,19,4.9299026,0,7
10,21,3.8782833,0,7
11,23,4.6426654,0,7
12,33,4.683893,0,7
13,19,4.662474,0,7
14,26,4.04102,0,7
1,37,4.7583504,0,8
2,26,4.0576463,0,8
3,23,4.489723,0,8
4,22,3.7320414,0,8
5,20,4.173519,0,8
6,20,4.3317404,0,8
7,22,3.2708278,0,8
8,21,4.0693154,0,8
9,21,4.6299896,0,8
10,30,4.042096,0,8
11,30,3.2516115,0,8
12,16,3.379731,0,8
1,18,4.390548,0,9
2,14,4.9620442,0,9
3,16,4.341413,0,9
4,25,3.9110131,0,9
5,22,3.357764,0,9
6,29,4.097057,0,9
7,29,3.4755833,0,9
8,17,3.9680967,0,9
9,33,4.223745,0,9
10,36,2.946338,0,9
11,18,4.653906,0,9
12,26,3.4612312,0,9
13,20,3.5441532,0,9
14,24,3.997939,0,9
15,24,4.060336,0,9
16,27,4.0037637,0,9
1,12,5.811032,0,10
2,15,3.7686644,0,10
3,16,4.763521,0,10
4,14,4.97422,0,10
5,34,3.4296582,0,10
6,22,4.2201495,0,10
7,15,5.3860016,0,10
8,17,4.5168366,0,10
9,21,3.4696953,0,10
10,20,3.6850784,0,10
11,13,5.628035,0,10
12,17,4.286386,0,10
13,21,3.7178168,0,10
14,17,3.028419,0,10
15,13,5.5060773,0,10
16,36,3.4882855,0,10
17,21,3.9580667,0,10
1,13,4.3045616,0,11
2,22,3.699895,0,11
3,24,4.0904574,0,11
4,17,4.995883,0,11
5,25,3.8076994,0,11
6,26,3.7999918,0,11
7,30,3.759085,0,11
8,22,4.332201,0,11
9,26,4.329812,0,11
10,21,4.930422,0,11
11,29,2.8732345,0,11
12,29,4.014702,0,11
13,12,4.737805,0,11
14,17,4.089597,0,11
1,29,2.7298834,0,12
2,33,3.1721842,0,12
3,27,3.1615245,0,12
4,23,3.709616,0,12
5,33,3.355622,0,12
6,25,3.9929643,0,12
7,28,3.2856338,0,12
8,36,3.347454,0,12
9,38,3.8704588,0,12
10,30,3.8308372,0,12
11,24,4.2943087,0,12
1,18,5.1807156,0,13
2,21,3.655363,0,13
3,17,4.740141,0,13
4,29,4.4733205,0,13
5,16,4.8861885,0,13
6,23,5.210244,0,13
7,20,3.9626882,0,13
8,26,4.6016483,0,13
9,29,4.5719075,0,13
10,23,4.4380107,0,13
11,38,4.3271008,0,13
12,6,6.2647786,0,13
13,21,4.08764,0,13
14,16,4.31391,0,13
15,20,5.1828523,0,13
16,15,5.380142,0,13
17,24,4.720093,0,13
18,20,5.2743344,0,13
19,31,4.117775,0,13
20,24,4.6814218,0,13
21,18,5.0958924,0,13
1,20,4.0319295,0,14
2,28,3.2147222,0,14
3,32,3.0984883,0,14
4,20,3.3879385,0,14
5,18,4.163585,0,14
6,17,4.797601,0,14
7,16,5.726284,0,14
8,17,4.159226,0,14
9,14,3.386502,0,14
