num,length,response,context_length,name
1,19,1.4489692,0,0
2,15,4.077983,0,0
3,18,2.6405559,0,0
4,18,3.1984155,0,0
5,17,3.0865433,0,0
6,31,1.9562918,0,0
7,29,2.2307642,0,0
8,20,2.740572,0,0
9,15,2.3477242,0,0
10,28,2.4689264,0,0
11,32,2.804496,0,0
12,16,2.751986,0,0
13,25,2.803464,0,0
14,22,3.698567,0,0
15,19,2.0360725,0,0
16,26,2.22078,0,0
17,22,2.8211806,0,0
18,19,2.1622806,0,0
19,35,1.9529574,0,0
20,21,2.417543,0,0
1,15,1.8047668,0,1
2,23,3.1550627,0,1
3,29,2.991751,0,1
4,16,2.636792,0,1
5,24,2.5203378,0,1
6,25,2.196573,0,1
7,13,3.7415757,0,1
8,20,2.5522928,0,1
9,33,2.3435423,0,1
10,20,2.4520586,0,1
11,25,2.6529212,0,1
12,21,2.6590645,0,1
13,13,2.989861,0,1
14,19,2.768274,0,1
15,21,3.154217,0,1
16,16,3.8848603,0,1
17,23,2.709281,0,1
18,22,2.4873033,0,1
1,36,2.1726098,0,2
2,20,2.9381893,0,2
3,22,2.868748,0,2
4,28,2.8461611,0,2
5,45,1.8033081,0,2
6,28,2.668113,0,2
7,18,2.73757,0,2
8,29,2.3251033,0,2
9,26,2.6337948,0,2
10,24,2.856555,0,2
11,17,2.8272166,0,2
12,26,3.4581983,0,2
13,23,3.3380022,0,2
1,18,3.7971423,0,3
2,22,2.7397141,0,3
3,21,2.840944,0,3
4,23,2.2572093,0,3
5,20,2.7411387,0,3
6,23,3.5473492,0,3
7,23,1.383004,0,3
8,19,3.7997134,0,3
9,25,2.7581885,0,3
10,22,2.8122432,0,3
11,16,4.0279684,0,3
12,16,3.3866994,0,3
13,18,3.0892272,0,3
14,26,2.888833,0,3
15,18,3.3503644,0,3
16,24,3.153204,0,3
17,43,2.701011,0,3
1,28,2.3149934,0,4
2,21,2.866293,0,4
3,12,2.9238088,0,4
4,22,2.0159328,0,4
5,11,2.716463,0,4
6,11,3.0094764,0,4
7,25,1.9664943,0,4
8,12,2.3893344,0,4
9,11,3.5628524,0,4
10,19,2.1954138,0,4
11,12,1.927123,0,4
12,20,2.539453,0,4
13,20,2.2856898,0,4
14,14,2.1942978,0,4
15,12,2.6170058,0,4
16,21,2.147113,0,4
17,10,2.9976313,0,4
18,15,2.6706643,0,4
19,16,2.359337,0,4
20,28,2.0691564,0,4
21,37,1.9000205,0,4
22,30,2.4478035,0,4
1,26,1.8244029,0,5
2,24,3.3471112,0,5
3,20,3.4622345,0,5
4,20,4.676195,0,5
5,31,2.9845967,0,5
6,32,2.6758575,0,5
7,27,2.47981,0,5
8,24,3.2790234,0,5
9,24,3.9569774,0,5
10,17,3.3250544,0,5
11,25,2.919296,0,5
12,19,3.7535203,0,5
13,22,4.3495374,0,5
14,24,3.0996842,0,5
15,30,2.7161145,0,5
1,18,3.4039207,0,6
2,21,4.3280354,0,6
3,26,3.4645827,0,6
4,28,2.7412446,0,6
5,21,2.693936,0,6
6,32,2.85513,0,6
7,26,3.314895,0,6
8,28,3.1214447,0,6
9,39,2.853114,0,6
10,27,2.0163116,0,6
11,26,3.1183913,0,6
12,27,2.5609765,0,6
13,23,1.9853479,0,6
14,20,2.406809,0,6
1,27,2.8640535,0,7
2,25,2.9528453,0,7
3,17,3.746949,0,7
4,18,3.6866202,0,7
5,32,2.342588,0,7
6,18,3.499176,0,7
7,25,3.99521,0,7
8,33,2.8434741,0,7
9,19,2.9837945,0,7
10,21,2.6732435,0,7
11,23,3.5600717,0,7
12,33,3.0559494,0,7
13,19,3.0251565,0,7
14,26,2.5542555,0,7
1,37,3.9598377,0,8
2,26,2.8454204,0,8
3,23,3.5533266,0,8
4,22,2.468525,0,8
5,20,3.986575,0,8
6,20,2.7279844,0,8
7,22,2.4083338,0,8
8,21,2.9102674,0,8
9,21,3.1576555,0,8
10,30,3.0441158,0,8
11,30,3.130292,0,8
12,16,1.8218031,0,8
1,18,2.5658252,0,9
2,14,3.553047,0,9
3,16,3.496904,0,9
4,25,2.5165496,0,9
5,22,2.4669318,0,9
6,29,2.7664678,0,9
7,29,2.5081587,0,9
8,17,2.6160827,0,9
9,33,3.0419123,0,9
10,36,2.6783516,0,9
11,18,2.9307337,0,9
12,26,2.9324849,0,9
13,20,2.536752,0,9
14,24,2.7820916,0,9
15,24,2.9493012,0,9
16,27,2.7507846,0,9
1,12,3.8493907,0,10
2,15,2.040254,0,10
3,16,3.2795868,0,10
4,14,3.428497,0,10
5,34,2.3893006,0,10
6,22,3.26208,0,10
7,15,4.1507034,0,10
8,17,3.5830421,0,10
9,21,2.622699,0,10
10,20,2.2544672,0,10
11,13,2.8431168,0,10
12,17,3.3019066,0,10
13,21,2.167689,0,10
14,17,1.7758487,0,10
15,13,3.9699955,0,10
16,36,2.843986,0,10
17,21,2.5228753,0,10
1,13,3.9589264,0,11
2,22,3.281443,0,11
3,24,3.0226665,0,11
4,17,4.1667576,0,11
5,25,3.531869,0,11
6,26,3.3659997,0,11
7,30,3.3102107,0,11
8,22,3.1898208,0,11
9,26,4.2423477,0,11
10,21,3.8265429,0,11
11,29,2.9209461,0,11
12,29,3.3556154,0,11
13,12,2.9272983,0,11
14,17,3.1702065,0,11
1,29,2.333853,0,12
2,33,2.421109,0,12
3,27,2.7055407,0,12
4,23,3.8036408,0,12
5,33,3.058691,0,12
6,25,3.1721082,0,12
7,28,2.6615095,0,12
8,36,3.1768,0,12
9,38,2.4473479,0,12
10,30,3.0233555,0,12
11,24,3.121282,0,12
1,18,3.7226112,0,13
2,21,3.1522074,0,13
3,17,2.5688007,0,13
4,29,2.8145165,0,13
5,16,3.8177648,0,13
6,23,3.6732874,0,13
7,20,3.3916316,0,13
8,26,3.4613307,0,13
9,29,3.497234,0,13
10,23,2.8095624,0,13
11,38,3.215045,0,13
12,6,3.6789658,0,13
13,21,3.0263584,0,13
14,16,3.6805274,0,13
15,20,4.0842443,0,13
16,15,3.7963362,0,13
17,24,3.6365967,0,13
18,20,3.412216,0,13
19,31,3.009914,0,13
20,24,4.0808215,0,13
21,18,3.2270627,0,13
1,20,1.795155,0,14
2,28,2.1942174,0,14
3,32,2.2790914,0,14
4,20,2.5166407,0,14
5,18,2.9306037,0,14
6,17,2.6494198,0,14
7,16,3.5073516,0,14
8,17,2.0759761,0,14
9,14,2.4430995,0,14
10,36,2.190894,0,14
11,16,3.4429114,0,14
