num,length,response,context_length,name
1,19,1.7243394,0,0
2,15,4.5492167,0,0
3,18,2.662797,0,0
4,18,3.2160914,0,0
5,17,2.9667137,0,0
6,31,2.1906536,0,0
7,29,2.4145575,0,0
8,20,2.9352376,0,0
9,15,2.6367104,0,0
10,28,2.5215676,0,0
11,32,2.9213736,0,0
12,16,3.0519755,0,0
13,25,2.7897809,0,0
14,22,3.954972,0,0
15,19,2.5079136,0,0
16,26,2.6778667,0,0
17,22,3.1560102,0,0
18,19,2.5788083,0,0
19,35,2.2720923,0,0
20,21,2.963127,0,0
1,15,2.5710108,0,1
2,23,3.2798529,0,1
3,29,2.9748342,0,1
4,16,2.9490323,0,1
5,24,3.017634,0,1
6,25,2.6437597,0,1
7,13,3.9569588,0,1
8,20,2.7950885,0,1
9,33,2.7438197,0,1
10,20,2.642822,0,1
11,25,2.9126086,0,1
12,21,2.9083745,0,1
13,13,3.185112,0,1
14,19,2.9984057,0,1
15,21,3.3022785,0,1
16,16,3.828803,0,1
17,23,3.0165472,0,1
18,22,2.741519,0,1
1,36,1.9633939,0,2
2,20,2.8125196,0,2
3,22,2.9860883,0,2
4,28,3.2607021,0,2
5,45,1.8957323,0,2
6,28,2.740987,0,2
7,18,3.1859999,0,2
8,29,2.612384,0,2
9,26,3.0300198,0,2
10,24,3.3324146,0,2
11,17,3.6024413,0,2
12,26,3.9813237,0,2
13,23,3.8831546,0,2
1,18,2.9024787,0,3
2,22,2.201825,0,3
3,21,2.1659887,0,3
4,23,2.4475744,0,3
5,20,2.9387019,0,3
6,23,3.460091,0,3
7,23,2.056547,0,3
8,19,3.0802681,0,3
9,25,2.828821,0,3
10,22,2.7937183,0,3
11,16,3.311744,0,3
12,16,3.4968152,0,3
13,18,2.5906515,0,3
14,26,2.554417,0,3
15,18,3.5903518,0,3
16,24,2.8275976,0,3
17,43,2.692364,0,3
1,28,2.3089032,0,4
2,21,3.0459063,0,4
3,12,3.7997243,0,4
4,22,2.7629797,0,4
5,11,3.5855358,0,4
6,11,3.5655448,0,4
7,25,2.377902,0,4
8,12,2.773313,0,4
9,11,4.3980546,0,4
10,19,2.5547338,0,4
11,12,2.766984,0,4
12,20,3.1413662,0,4
13,20,2.9122436,0,4
14,14,3.0338056,0,4
15,12,3.5229573,0,4
16,21,2.9775543,0,4
17,10,3.8923662,0,4
18,15,3.2355196,0,4
19,16,3.1439698,0,4
20,28,2.575967,0,4
21,37,2.1855192,0,4
22,30,2.5033848,0,4
1,26,1.8536154,0,5
2,24,2.786238,0,5
3,20,3.1969976,0,5
4,20,3.902016,0,5
5,31,2.7276635,0,5
6,32,2.7160826,0,5
7,27,2.703929,0,5
8,24,3.1560576,0,5
9,24,3.8480632,0,5
10,17,3.8194456,0,5
11,25,3.2526495,0,5
12,19,3.8700294,0,5
13,22,3.7654428,0,5
14,24,3.4729931,0,5
15,30,2.4235184,0,5
1,18,3.8077033,0,6
2,21,4.6493015,0,6
3,26,3.5866055,0,6
4,28,3.015419,0,6
5,21,2.778081,0,6
6,32,3.1697786,0,6
7,26,3.7163947,0,6
8,28,3.4785073,0,6
9,39,3.4193742,0,6
10,27,2.4232075,0,6
11,26,3.6461775,0,6
12,27,2.9223258,0,6
13,23,2.675453,0,6
14,20,2.8364098,0,6
1,27,2.6781507,0,7
2,25,3.1068966,0,7
3,17,3.724468,0,7
4,18,3.6533492,0,7
5,32,2.5089211,0,7
6,18,3.3709328,0,7
7,25,4.121501,0,7
8,33,2.9552388,0,7
9,19,3.162117,0,7
10,21,2.4468226,0,7
11,23,3.4234164,0,7
12,33,3.1071427,0,7
13,19,3.1054177,0,7
14,26,2.536595,0,7
1,37,2.613112,0,8
2,26,2.9185455,0,8
3,23,2.4542015,0,8
4,22,2.2637906,0,8
5,20,2.589986,0,8
6,20,2.675583,0,8
7,22,2.5355012,0,8
8,21,2.8569047,0,8
9,21,2.7800531,0,8
10,30,2.1861045,0,8
11,30,2.3963492,0,8
12,16,2.5506015,0,8
1,18,2.6418378,0,9
2,14,3.6912057,0,9
3,16,3.711729,0,9
4,25,2.8932931,0,9
5,22,2.532482,0,9
6,29,3.0023906,0,9
7,29,2.5790513,0,9
8,17,2.9898372,0,9
9,33,2.9020324,0,9
10,36,2.593348,0,9
11,18,3.1960447,0,9
12,26,3.2444277,0,9
13,20,3.0799193,0,9
14,24,2.9478626,0,9
15,24,3.309422,0,9
16,27,2.9262197,0,9
1,12,3.9455862,0,10
2,15,2.234518,0,10
3,16,3.5427914,0,10
4,14,3.702626,0,10
5,34,2.4764366,0,10
6,22,3.205718,0,10
7,15,4.0055327,0,10
8,17,3.570024,0,10
9,21,2.5130758,0,10
10,20,2.7654476,0,10
11,13,3.4108312,0,10
12,17,3.6003401,0,10
13,21,2.5239906,0,10
14,17,2.394614,0,10
15,13,3.9265127,0,10
16,36,2.8210053,0,10
17,21,2.732131,0,10
1,13,3.7193537,0,11
2,22,2.8120198,0,11
3,24,2.7516558,0,11
4,17,4.025962,0,11
5,25,3.2052197,0,11
6,26,2.8701334,0,11
7,30,2.91043,0,11
8,22,2.7906237,0,11
9,26,3.7155137,0,11
10,21,3.652011,0,11
11,29,2.7568789,0,11
12,29,3.1620862,0,11
13,12,3.5950623,0,11
14,17,3.077838,0,11
1,29,1.981185,0,12
2,33,2.2225711,0,12
3,27,2.173713,0,12
4,23,3.1707077,0,12
5,33,2.3363008,0,12
6,25,2.787842,0,12
7,28,2.3981724,0,12
8,36,2.4909058,0,12
9,38,2.2937026,0,12
10,30,2.6498687,0,12
11,24,3.2573152,0,12
1,18,3.4270973,0,13
2,21,2.7073977,0,13
