num,length,response,context_length,name
1,19,1.9013134,0,0
2,15,4.5642333,0,0
3,18,2.5717382,0,0
4,18,3.2765326,0,0
5,17,2.918686,0,0
6,31,2.2047677,0,0
7,29,2.553947,0,0
8,20,2.9753141,0,0
9,15,2.4587612,0,0
10,28,2.3331516,0,0
11,32,2.7528844,0,0
12,16,2.6109886,0,0
13,25,2.7876518,0,0
14,22,3.651804,0,0
15,19,2.4175005,0,0
16,26,2.6393833,0,0
17,22,3.109268,0,0
18,19,2.284467,0,0
19,35,2.2368963,0,0
20,21,2.5463917,0,0
1,15,2.3420916,0,1
2,23,3.282026,0,1
3,29,3.04704,0,1
4,16,2.9663227,0,1
5,24,2.8421412,0,1
6,25,2.6270874,0,1
7,13,4.1436396,0,1
8,20,2.6009805,0,1
9,33,2.8121233,0,1
10,20,2.4309576,0,1
11,25,2.9852848,0,1
12,21,2.8108609,0,1
13,13,3.0433838,0,1
14,19,2.8724005,0,1
15,21,3.5076635,0,1
16,16,4.2969923,0,1
17,23,3.005958,0,1
18,22,2.79731,0,1
1,36,2.1478434,0,2
2,20,2.7003007,0,2
3,22,3.24914,0,2
4,28,3.1908653,0,2
5,45,2.2549815,0,2
6,28,2.8656235,0,2
7,18,3.148749,0,2
8,29,2.703295,0,2
9,26,2.9686625,0,2
10,24,3.5642407,0,2
11,17,3.0440762,0,2
12,26,3.9077265,0,2
13,23,3.7439797,0,2
1,18,3.8891335,0,3
2,22,3.2669053,0,3
3,21,2.984229,0,3
4,23,2.4439015,0,3
5,20,3.0753088,0,3
6,23,3.9078906,0,3
7,23,2.1762218,0,3
8,19,3.4407628,0,3
9,25,3.2227256,0,3
10,22,2.6987677,0,3
11,16,4.0876584,0,3
12,16,3.6781807,0,3
13,18,2.886408,0,3
14,26,2.9884026,0,3
15,18,3.547267,0,3
16,24,3.668259,0,3
17,43,2.7830555,0,3
1,28,2.5156987,0,4
2,21,2.98227,0,4
3,12,3.5891912,0,4
4,22,2.7357867,0,4
5,11,3.4524877,0,4
6,11,3.2987676,0,4
7,25,2.4271443,0,4
8,12,2.5502036,0,4
9,11,4.174911,0,4
10,19,2.377201,0,4
11,12,2.8617098,0,4
12,20,3.09736,0,4
13,20,2.9346354,0,4
14,14,2.8602598,0,4
15,12,3.492068,0,4
16,21,2.8749971,0,4
17,10,3.7348807,0,4
18,15,3.1877306,0,4
19,16,2.952513,0,4
20,28,2.7431138,0,4
21,37,2.349847,0,4
22,30,2.5109942,0,4
1,26,1.7959864,0,5
2,24,2.7575715,0,5
3,20,3.728263,0,5
4,20,3.5806072,0,5
5,31,3.1038346,0,5
6,32,2.796625,0,5
7,27,2.4465644,0,5
8,24,3.1367698,0,5
9,24,3.3190691,0,5
10,17,4.0043755,0,5
11,25,3.3174481,0,5
12,19,4.0474014,0,5
13,22,3.530162,0,5
14,24,3.3821805,0,5
15,30,2.5476825,0,5
1,18,3.3013139,0,6
2,21,4.329532,0,6
3,26,3.6236417,0,6
4,28,2.9098368,0,6
5,21,2.9189239,0,6
6,32,2.9777496,0,6
7,26,3.463109,0,6
8,28,3.4290578,0,6
9,39,3.1023884,0,6
10,27,2.429236,0,6
11,26,3.447206,0,6
12,27,2.7291927,0,6
13,23,2.2244856,0,6
14,20,2.8332593,0,6
1,27,2.8298392,0,7
2,25,2.830924,0,7
3,17,3.6488137,0,7
4,18,3.6391401,0,7
5,32,2.4918635,0,7
6,18,3.5758543,0,7
7,25,4.4127407,0,7
8,33,3.2070105,0,7
9,19,3.1358886,0,7
10,21,2.7755952,0,7
11,23,3.3656998,0,7
12,33,2.830535,0,7
13,19,2.8150237,0,7
14,26,2.6127582,0,7
1,37,2.853395,0,8
2,26,2.874197,0,8
3,23,2.5944626,0,8
4,22,2.4406786,0,8
5,20,3.0459967,0,8
6,20,2.7321193,0,8
7,22,2.809974,0,8
8,21,2.9330556,0,8
9,21,2.7217178,0,8
10,30,2.52815,0,8
11,30,2.7140498,0,8
12,16,2.5438004,0,8
1,18,2.70695,0,9
2,14,3.7537365,0,9
3,16,3.8247886,0,9
4,25,2.9447432,0,9
5,22,2.5100682,0,9
6,29,2.8047104,0,9
7,29,2.5576904,0,9
8,17,2.9355605,0,9
9,33,3.0349493,0,9
10,36,2.8497427,0,9
11,18,3.1379373,0,9
12,26,3.303154,0,9
13,20,3.0289104,0,9
14,24,3.1371667,0,9
15,24,3.2700312,0,9
16,27,2.754436,0,9
1,12,3.640057,0,10
2,15,2.2640786,0,10
3,16,3.5366166,0,10
4,14,3.38844,0,10
5,34,2.949881,0,10
6,22,3.396036,0,10
7,15,4.166586,0,10
8,17,3.425443,0,10
9,21,2.891856,0,10
10,20,2.733165,0,10
11,13,3.211697,0,10
12,17,3.9027207,0,10
13,21,2.7682488,0,10
14,17,2.274779,0,10
15,13,3.8380072,0,10
16,36,2.8020587,0,10
17,21,2.692211,0,10
1,13,3.4926739,0,11
2,22,2.8866336,0,11
3,24,2.964189,0,11
4,17,4.6824937,0,11
5,25,3.1381369,0,11
6,26,2.8895812,0,11
7,30,2.9832497,0,11
8,22,2.8679883,0,11
9,26,3.829798,0,11
10,21,3.5667558,0,11
11,29,3.023042,0,11
12,29,2.9349818,0,11
13,12,3.3766413,0,11
14,17,3.366846,0,11
1,29,2.0003812,0,12
2,33,2.4708927,0,12
3,27,2.345884,0,12
4,23,3.5154119,0,12
5,33,2.7363944,0,12
6,25,3.1735632,0,12
7,28,2.557685,0,12
8,36,2.7979252,0,12
9,38,2.2143645,0,12
10,30,3.1852484,0,12
11,24,3.1903143,0,12
1,18,3.4268172,0,13
2,21,2.8239608,0,13
3,17,2.5350335,0,13
4,29,2.5791094,0,13
5,16,3.5673552,0,13
6,23,3.6706216,0,13
7,20,3.125445,0,13
8,26,3.5986574,0,13
9,29,3.4904044,0,13
10,23,2.8855698,0,13
11,38,3.0793858,0,13
12,6,4.6913934,0,13
13,21,3.2550886,0,13
14,16,3.1383302,0,13
15,20,3.7767038,0,13
16,15,3.2191427,0,13
17,24,2.953641,0,13
18,20,3.1379786,0,13
19,31,3.1732767,0,13
20,24,3.4497786,0,13
21,18,3.4472394,0,13
1,20,1.8606687,0,14
2,28,2.3844986,0,14
3,32,2.2634633,0,14
4,20,2.7321079,0,14
5,18,2.8227413,0,14
6,17,2.8295486,0,14
7,16,3.6029186,0,14
8,17,2.1802578,0,14
9,14,2.4875543,0,14
10,36,2.4972415,0,14
11,16,3.738493,0,14
12,25,2.7011173,0,14
13,29,2.2378712,0,14
14,29,2.6841538,0,14
15,26,2.7277439,0,14
1,19,3.509838,0,15
2,26,2.6532445,0,15
3,19,3.6292107,0,15
4,18,4.036458,0,15
5,22,3.2431314,0,15
6,16,4.229661,0,15
7,17,3.2319334,0,15
8,26,3.416012,0,15
9,22,3.5085244,0,15
10,31,2.5122128,0,15
11,18,4.1118965,0,15
12,31,2.6940882,0,15
13,29,2.7249768,0,15
14,38,3.1305187,0,15
15,23,2.3767922,0,15
1,21,3.7546341,0,16
2,37,3.1404366,0,16
3,22,2.8456683,0,16
4,17,3.7314131,0,16
5,21,2.6234481,0,16
6,19,3.1812057,0,16
7,28,3.0280838,0,16
8,29,3.3344135,0,16
9,22,3.4056923,0,16
10,19,3.5868828,0,16
11,18,3.8559113,0,16
12,25,2.8819096,0,16
13,22,3.831225,0,16
14,21,3.877988,0,16
15,23,2.906503,0,16
16,23,3.309132,0,16
1,21,2.6402333,0,17
2,18,2.618296,0,17
3,24,2.317319,0,17
4,27,2.5171297,0,17
5,20,2.9705386,0,17
6,30,3.2477858,0,17
7,18,2.317258,0,17
8,28,2.1612306,0,17
9,14,3.0660112,0,17
10,34,2.2039702,0,17
11,19,2.8645136,0,17
12,34,2.287963,0,17
1,18,2.1292057,0,18
2,20,2.6776342,0,18
3,21,3.512944,0,18
4,15,3.6412113,0,18
5,15,2.9831686,0,18
6,20,3.0747893,0,18
7,22,2.858962,0,18
8,24,3.0699098,0,18
9,28,2.506028,0,18
10,35,2.798723,0,18
11,16,3.7967656,0,18
12,25,3.494003,0,18
1,15,3.7879872,0,19
2,18,3.191492,0,19
3,22,2.7754622,0,19
4,29,2.6719835,0,19
5,15,3.2692049,0,19
6,18,2.5222378,0,19
7,15,3.2109668,0,19
8,23,3.3161879,0,19
9,32,2.8454154,0,19
10,18,2.7734067,0,19
11,30,2.631389,0,19
12,12,3.5553453,0,19
13,30,2.4277277,0,19
14,26,3.2274373,0,19
1,21,2.2717497,0,20
2,16,2.6683762,0,20
3,17,2.632438,0,20
