num,length,response,context_length,name
1,16,4.116889,0,0
2,8,5.8505654,0,0
3,49,3.7279625,0,0
4,34,2.5488465,0,0
5,52,4.361701,0,0
6,61,3.1688945,0,0
7,22,4.089713,0,0
8,22,4.1035814,0,0
9,37,3.3719602,0,0
10,52,3.9834447,0,0
11,13,6.1767464,0,0
12,17,4.2855277,0,0
13,25,4.6193953,0,0
14,27,4.5917387,0,0
15,33,4.037596,0,0
16,21,5.863669,0,0
17,26,4.6454086,0,0
18,33,3.9608393,0,0
19,31,3.3821917,0,0
1,13,3.5845025,0,1
2,20,4.3497834,0,1
3,17,5.1225934,0,1
4,22,5.6879354,0,1
5,38,4.8554854,0,1
6,1,9.134302,0,1
7,8,6.5111794,0,1
8,14,5.694998,0,1
9,7,6.1813564,0,1
10,16,6.5245047,0,1
11,25,4.136198,0,1
12,3,8.1919155,0,1
13,8,4.527035,0,1
14,18,6.0451527,0,1
15,24,4.5354185,0,1
16,6,8.406621,0,1
17,12,5.8976045,0,1
18,21,4.190379,0,1
19,39,4.299657,0,1
20,29,4.9494386,0,1
21,26,5.1298933,0,1
22,30,5.1300387,0,1
23,12,5.173761,0,1
24,4,4.441183,0,1
25,18,4.734457,0,1
26,21,4.658698,0,1
27,23,4.6847124,0,1
28,12,5.2929535,0,1
29,22,5.0966973,0,1
30,6,4.878184,0,1
31,16,4.3549967,0,1
32,31,3.2170937,0,1
33,18,5.1361513,0,1
34,4,6.338166,0,1
1,35,4.1285496,0,2
2,27,5.4976864,0,2
3,18,3.8430994,0,2
4,39,5.0293393,0,2
5,85,3.7480218,0,2
6,21,5.44027,0,2
7,22,5.721084,0,2
1,77,1.1708115,0,3
2,23,2.539195,0,3
3,23,2.4827662,0,3
4,46,2.3243303,0,3
5,20,3.4970977,0,3
6,50,1.5166286,0,3
7,109,1.6140559,0,3
8,6,5.45996,0,3
9,10,6.485504,0,3
10,120,1.8229553,0,3
1,21,4.2748494,0,4
2,35,5.224953,0,4
3,75,4.3934712,0,4
4,30,6.465062,0,4
5,33,5.433309,0,4
6,49,5.816374,0,4
7,45,4.801414,0,4
8,34,5.9100733,0,4
9,17,6.17838,0,4
10,57,5.1154895,0,4
11,49,5.5038776,0,4
12,33,4.898636,0,4
13,50,4.697034,0,4
14,39,6.602708,0,4
1,33,4.411882,0,5
2,24,5.3863616,0,5
3,43,3.8009841,0,5
4,18,4.167935,0,5
5,7,6.5488,0,5
6,27,4.379333,0,5
7,32,4.9576406,0,5
8,29,5.78849,0,5
9,38,4.438724,0,5
10,36,5.1711593,0,5
11,34,4.786949,0,5
12,1,7.813957,0,5
13,17,5.4028244,0,5
14,19,5.8538356,0,5
15,13,5.719872,0,5
16,10,6.627625,0,5
17,37,5.291179,0,5
18,24,5.927146,0,5
19,2,10.012544,0,5
20,33,4.41875,0,5
21,30,4.5828223,0,5
22,30,5.4684157,0,5
23,18,5.7417846,0,5
1,1,10.896067,0,6
2,17,5.72245,0,6
3,20,5.2404056,0,6
4,1,10.378377,0,6
5,23,5.3842187,0,6
6,1,11.105539,0,6
7,39,4.394822,0,6
8,24,4.2789583,0,6
9,1,11.436114,0,6
10,21,5.0431433,0,6
11,49,3.6126373,0,6
12,84,3.1061437,0,6
13,37,3.3194087,0,6
14,25,4.60494,0,6
15,28,5.578719,0,6
16,32,4.2056556,0,6
17,1,12.307109,0,6
18,32,4.562213,0,6
19,59,4.2224655,0,6
20,49,4.271078,0,6
1,26,4.600928,0,7
2,26,5.758537,0,7
3,19,4.6346416,0,7
4,18,5.561948,0,7
5,17,5.161536,0,7
6,14,5.0634894,0,7
7,11,6.7043424,0,7
8,10,6.9745436,0,7
9,61,2.7923665,0,7
10,22,4.842022,0,7
11,40,4.190816,0,7
12,11,7.6138687,0,7
13,34,5.1378727,0,7
14,16,5.69366,0,7
15,53,3.6666236,0,7
16,63,4.340859,0,7
17,55,3.3884745,0,7
18,1,10.540744,0,7
19,11,5.4473095,0,7
20,10,5.4416265,0,7
21,11,7.857753,0,7
22,12,5.2465186,0,7
23,11,6.9361053,0,7
1,16,4.0718665,0,8
2,32,4.5501804,0,8
3,6,5.6230326,0,8
4,1,9.570816,0,8
5,1,10.074344,0,8
6,2,5.745363,0,8
7,26,4.8870697,0,8
8,35,4.373489,0,8
9,41,3.4768255,0,8
10,39,4.8617587,0,8
11,7,3.6369145,0,8
12,34,4.0088124,0,8
13,1,9.570816,0,8
14,1,10.074344,0,8
15,2,5.0774503,0,8
16,17,4.7105594,0,8
17,25,4.3618097,0,8
18,18,5.084943,0,8
19,18,4.148578,0,8
20,13,5.124964,0,8
21,38,3.981644,0,8
22,35,4.591203,0,8
23,17,4.2750506,0,8
24,7,4.972846,0,8
25,27,3.6995966,0,8
26,31,4.20152,0,8
27,3,5.0870004,0,8
1,16,4.95704,0,9
2,31,5.620239,0,9
3,24,4.596674,0,9
4,1,13.102931,0,9
5,23,4.0677485,0,9
6,12,5.6856737,0,9
7,27,4.4178567,0,9
8,10,6.4134717,0,9
9,23,4.630104,0,9
10,35,4.032953,0,9
11,16,4.644077,0,9
12,45,3.639125,0,9
13,27,5.0242963,0,9
14,36,2.9866078,0,9
15,23,4.5115223,0,9
16,23,5.252051,0,9
17,10,6.2469087,0,9
18,52,3.3300176,0,9
19,10,5.312661,0,9
20,21,4.4086146,0,9
21,16,5.073513,0,9
22,11,6.331111,0,9
23,31,5.061965,0,9
24,35,4.6804433,0,9
1,33,4.473328,0,10
2,39,4.54141,0,10
3,17,4.941236,0,10
4,18,4.9067874,0,10
5,15,3.6735055,0,10
6,5,5.2848473,0,10
7,20,3.9331493,0,10
8,18,5.0965776,0,10
9,16,4.915741,0,10
10,23,4.6282115,0,10
11,20,3.872241,0,10
12,14,5.490416,0,10
13,2,7.333482,0,10
14,22,5.6268725,0,10
15,21,5.2700114,0,10
16,17,5.0102024,0,10
17,15,6.5356026,0,10
18,18,5.1031322,0,10
19,15,6.4593563,0,10
20,20,5.2867675,0,10
21,17,6.167529,0,10
22,20,4.87892,0,10
23,14,6.2492476,0,10
24,13,5.2276196,0,10
25,16,6.4773655,0,10
26,26,4.3193226,0,10
27,12,5.7042117,0,10
28,29,4.2393627,0,10
29,10,6.322159,0,10
30,18,5.449891,0,10
31,9,6.431973,0,10
1,88,1.2577964,0,11
2,30,3.6998072,0,11
3,11,2.4762275,0,11
4,17,3.9377794,0,11
5,26,3.713979,0,11
6,14,5.5651526,0,11
7,6,5.9017253,0,11
8,66,2.9778564,0,11
9,33,2.608741,0,11
10,34,3.5674183,0,11
11,21,4.041246,0,11
12,16,5.881973,0,11
13,21,4.000516,0,11
14,11,6.2180614,0,11
15,7,5.9165196,0,11
16,1,10.130795,0,11
17,11,6.629688,0,11
1,21,2.2280996,0,12
2,34,3.8513713,0,12
3,24,4.5013433,0,12
4,16,4.9761724,0,12
5,19,4.731884,0,12
6,22,4.741821,0,12
7,16,4.7600884,0,12
8,11,5.780349,0,12
9,19,5.047693,0,12
10,20,4.329208,0,12
11,13,5.3629975,0,12
12,11,5.905816,0,12
13,7,5.915407,0,12
14,15,3.84189,0,12
15,12,5.028755,0,12
16,21,4.2403526,0,12
17,25,4.480533,0,12
18,24,4.20988,0,12
19,32,3.8244085,0,12
20,41,3.2516928,0,12
21,21,4.9405775,0,12
22,22,4.692158,0,12
23,42,3.8135493,0,12
24,11,5.194326,0,12
25,29,3.1885798,0,12
1,1,10.896067,0,13
2,37,3.553104,0,13
3,29,4.598872,0,13
4,1,10.378377,0,13
5,41,3.8752325,0,13
6,1,11.105539,0,13
7,28,4.663964,0,13
8,13,7.687972,0,13
9,44,4.222215,0,13
10,29,4.2801614,0,13
11,10,6.3360972,0,13
12,1,11.436114,0,13
13,34,3.9888384,0,13
14,30,5.604511,0,13
15,14,7.255016,0,13
16,49,3.7451935,0,13
17,18,4.9447207,0,13
18,55,3.1128974,0,13
19,23,5.0639634,0,13
20,11,5.520613,0,13
21,17,6.1618595,0,13
22,1,12.307109,0,13
23,34,4.650373,0,13
1,22,3.1008406,0,14
2,20,4.367649,0,14
3,21,3.7004728,0,14
4,15,5.494804,0,14
5,11,5.7784,0,14
6,32,3.2469246,0,14
7,12,5.0110993,0,14
8,15,4.552368,0,14
9,17,3.3688111,0,14
10,5,5.8608627,0,14
11,13,5.7927637,0,14
12,14,4.784646,0,14
13,24,4.744208,0,14
14,12,5.837153,0,14
15,19,4.192227,0,14
16,12,5.4096427,0,14
17,15,4.809925,0,14
18,16,4.5089684,0,14
19,8,6.218061,0,14
20,19,5.0310903,0,14
21,10,4.907776,0,14
22,32,4.8368073,0,14
23,15,5.489726,0,14
24,25,4.820298,0,14
25,13,5.829141,0,14
26,32,4.3550487,0,14
27,18,4.9085073,0,14
28,12,5.5892663,0,14
29,11,6.343555,0,14
30,22,5.04447,0,14
31,13,6.7475586,0,14
1,48,4.1005373,0,15
2,19,4.508264,0,15
3,28,4.8795056,0,15
4,39,4.6810055,0,15
5,28,4.997965,0,15
6,25,5.8285856,0,15
7,21,5.4876685,0,15
8,22,5.9927206,0,15
9,40,4.310596,0,15
10,1,7.043453,0,15
11,32,5.387698,0,15
12,24,6.2471213,0,15
13,44,4.4498105,0,15
14,11,6.5383625,0,15
15,17,6.7474813,0,15
16,23,3.764552,0,15
17,19,6.3761578,0,15
18,14,5.684909,0,15
19,22,5.1503425,0,15
20,34,4.9726543,0,15
1,19,5.692113,0,16
2,30,5.3507376,0,16
3,16,5.4910507,0,16
4,10,5.1415596,0,16
5,16,5.239368,0,16
6,21,5.132141,0,16
7,35,4.62919,0,16
8,25,4.660007,0,16
9,19,6.0721407,0,16
10,5,7.940641,0,16
11,24,4.87289,0,16
12,10,8.283735,0,16
13,1,7.7203193,0,16
14,1,9.134302,0,16
15,11,5.1121435,0,16
16,1,9.676265,0,16
17,15,6.6894984,0,16
18,32,5.17467,0,16
19,27,5.1570244,0,16
20,21,5.104387,0,16
21,1,9.683258,0,16
22,21,4.831153,0,16
23,30,6.507321,0,16
24,14,5.9304824,0,16
25,23,5.1464634,0,16
26,24,5.5323052,0,16
27,44,4.6472306,0,16
28,6,6.684428,0,16
1,23,5.021526,0,17
2,20,5.933887,0,17
3,20,6.0788684,0,17
4,17,4.971615,0,17
5,11,5.7944574,0,17
6,20,6.1732802,0,17
7,19,4.325932,0,17
8,18,4.774143,0,17
9,21,5.493816,0,17
10,34,5.0579185,0,17
11,23,4.3280377,0,17
12,19,4.830544,0,17
13,21,4.3080916,0,17
14,34,4.665316,0,17
15,29,4.7509766,0,17
16,30,5.0218806,0,17
17,19,5.35753,0,17
18,32,4.5144253,0,17
19,26,5.298721,0,17
20,20,6.4449883,0,17
21,52,3.8672059,0,17
1,11,4.093709,0,18
2,18,4.389267,0,18
3,21,3.79557,0,18
4,8,9.219938,0,18
5,29,6.0277815,0,18
6,20,4.2898426,0,18
7,26,4.955704,0,18
8,26,4.7686553,0,18
9,12,6.3214874,0,18
10,23,4.3859453,0,18
11,33,4.1583033,0,18
12,12,4.3886304,0,18
13,43,4.1593413,0,18
14,39,4.7139425,0,18
15,21,5.7516866,0,18
16,17,5.131261,0,18
17,25,5.811979,0,18
18,24,5.875181,0,18
19,24,4.9456067,0,18
20,26,4.2598205,0,18
21,25,5.194885,0,18
22,15,6.391458,0,18
1,16,5.2949996,0,19
