num,length,response,context_length,name
1,16,6.5002627,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,24,5.506249,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,33,3.7341216,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,12,4.990138,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,24,3.2807736,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,5.8088694,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,32,2.4450269,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,20,4.724781,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,22,4.3307366,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,10,4.7309346,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,5,5.207177,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,4.548746,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,6.562385,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,23,3.8104649,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,12,4.6001506,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,8,6.1257663,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,14,4.045245,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,17,3.8731892,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
19,33,3.364262,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
20,7,6.013847,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
21,16,4.1649847,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
22,12,4.3653326,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
23,15,4.846079,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
24,25,4.6217585,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
25,25,2.972567,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
