num,length,response,context_length,name
1,33,4.4519644,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,34,4.1393313,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,12,6.83189,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,16,4.420602,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,17,4.4947658,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,24,5.2711205,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,10,5.1345005,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,15,3.1875002,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,16,4.177661,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,24,4.042695,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,15,5.255848,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,20,4.6155024,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,34,3.0625656,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,20,3.8090754,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,4.977727,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,27,3.803791,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,24,3.450419,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,23,3.8952394,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
19,36,2.7108252,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
20,30,3.245396,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
21,25,3.8150685,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
22,20,4.907559,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
23,12,5.514234,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
24,4,7.2056146,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
25,13,4.5709357,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,1,9.299049,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
2,2,10.3307705,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
3,30,3.92865,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
4,18,4.4269753,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
5,20,4.3385468,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
6,25,3.7147048,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
7,26,3.5468614,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
8,20,4.977916,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
9,24,4.438069,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
10,12,5.0633264,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
11,22,3.1305683,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
12,31,4.430266,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
13,28,3.9838922,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
14,25,4.200898,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
15,23,4.034006,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
16,27,5.277888,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
17,23,4.7954435,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
