num,length,response,context_length,name
1,24,3.3118098,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,17,3.499721,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,22,3.506962,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,23,2.8190207,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,20,2.5410025,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,17,2.4333825,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,23,3.144056,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,20,3.0260725,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,17,3.6359684,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,24,2.7311502,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,14,2.9143534,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,27,2.3168173,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,9.553394,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
2,3,7.2859826,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
3,29,2.9877253,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
4,25,2.3800216,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
5,23,2.8085606,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
6,18,2.9980416,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
7,22,3.5950787,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
8,20,2.936987,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
9,24,2.4530818,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
10,29,2.9123645,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
1,2,3.9585214,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
2,27,2.5103679,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
3,17,2.479602,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
4,27,2.46077,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
5,17,3.5914495,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
6,20,3.2414153,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
7,11,3.7120016,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
8,33,2.295437,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
9,16,3.555755,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
10,13,3.1802366,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
11,22,3.1257212,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
1,2,9.553394,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
2,3,8.604384,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
3,2,6.2066774,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
4,6,4.119619,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
5,2,9.864889,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
6,2,10.787085,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
7,6,4.9420104,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
8,31,2.669083,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
9,28,2.962891,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
10,24,3.281522,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
11,31,3.0548437,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
12,27,3.187873,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
13,19,2.4160275,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
14,24,2.3133714,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
15,24,3.177555,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
16,16,2.897951,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
17,17,2.8237371,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
18,21,2.4624717,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
19,27,2.2875946,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
20,35,2.315473,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
21,27,2.5304933,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
22,27,3.3477643,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
23,27,2.497266,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
24,32,2.471709,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
25,25,2.343496,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
26,31,2.920937,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
27,36,2.3877888,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
28,24,2.6618938,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
29,13,3.1582594,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
30,24,2.6360753,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
31,23,4.005143,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
32,28,2.2205477,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
33,2,11.038361,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
34,1,9.693649,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
1,2,9.553394,0,403c0bf3c57f5a31191557d16ce880a531ca770c
2,3,6.8644533,0,403c0bf3c57f5a31191557d16ce880a531ca770c
3,2,6.2066774,0,403c0bf3c57f5a31191557d16ce880a531ca770c
4,6,4.01627,0,403c0bf3c57f5a31191557d16ce880a531ca770c
5,2,9.864889,0,403c0bf3c57f5a31191557d16ce880a531ca770c
6,2,10.787085,0,403c0bf3c57f5a31191557d16ce880a531ca770c
7,11,4.7955036,0,403c0bf3c57f5a31191557d16ce880a531ca770c
8,20,2.135881,0,403c0bf3c57f5a31191557d16ce880a531ca770c
9,20,3.1248362,0,403c0bf3c57f5a31191557d16ce880a531ca770c
10,22,3.6247911,0,403c0bf3c57f5a31191557d16ce880a531ca770c
11,15,3.6259496,0,403c0bf3c57f5a31191557d16ce880a531ca770c
12,22,2.3480892,0,403c0bf3c57f5a31191557d16ce880a531ca770c
13,29,2.4234905,0,403c0bf3c57f5a31191557d16ce880a531ca770c
14,22,2.6473436,0,403c0bf3c57f5a31191557d16ce880a531ca770c
15,18,2.7142408,0,403c0bf3c57f5a31191557d16ce880a531ca770c
16,19,3.5520644,0,403c0bf3c57f5a31191557d16ce880a531ca770c
17,15,3.3253295,0,403c0bf3c57f5a31191557d16ce880a531ca770c
18,19,3.9995463,0,403c0bf3c57f5a31191557d16ce880a531ca770c
19,18,2.8182244,0,403c0bf3c57f5a31191557d16ce880a531ca770c
20,12,4.735841,0,403c0bf3c57f5a31191557d16ce880a531ca770c
21,9,4.1255565,0,403c0bf3c57f5a31191557d16ce880a531ca770c
22,16,4.8407097,0,403c0bf3c57f5a31191557d16ce880a531ca770c
23,19,3.5669327,0,403c0bf3c57f5a31191557d16ce880a531ca770c
24,10,5.470007,0,403c0bf3c57f5a31191557d16ce880a531ca770c
25,11,5.246674,0,403c0bf3c57f5a31191557d16ce880a531ca770c
26,14,4.461005,0,403c0bf3c57f5a31191557d16ce880a531ca770c
27,11,5.6944056,0,403c0bf3c57f5a31191557d16ce880a531ca770c
28,12,3.4645605,0,403c0bf3c57f5a31191557d16ce880a531ca770c
29,8,3.8095913,0,403c0bf3c57f5a31191557d16ce880a531ca770c
