num,length,response,context_length,name
1,24,2.6540189,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,17,3.368366,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,22,3.3791819,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,23,2.5051491,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,20,2.453399,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,17,2.2934203,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,23,2.9122353,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,20,2.6265373,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,17,3.234192,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,24,2.7245631,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,14,2.8941448,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,27,2.465393,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,4.13354,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
2,3,3.9854126,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
3,29,2.5463283,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
4,25,2.0195055,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
5,23,2.5232615,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
6,18,3.143554,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
7,22,3.360043,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
8,20,3.0418038,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
9,24,2.3408487,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
10,29,2.6567228,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
1,2,1.3057895,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
2,27,1.9419411,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
3,17,2.1360657,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
4,27,2.368669,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
5,17,3.118994,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
6,20,2.8982465,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
7,11,2.6940212,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
8,33,2.1671321,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
9,16,2.7930896,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
10,13,2.929902,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
11,22,2.942323,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
1,2,4.13354,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
2,3,6.3549232,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
3,2,2.236357,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
4,6,2.9807835,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
5,2,3.4799054,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
6,2,4.4509697,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
7,6,4.810784,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
8,31,2.5719275,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
9,28,2.973961,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
10,24,3.214014,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
11,31,2.776401,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
12,27,3.037888,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
13,19,2.283553,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
14,24,2.268245,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
15,24,2.610908,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
16,16,2.803104,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
17,17,2.593037,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
18,21,2.4690354,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
19,27,2.4930117,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
20,35,2.4259882,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
21,27,2.3983579,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
22,27,3.3063073,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
23,27,2.696588,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
24,32,2.3934782,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
25,25,2.3700607,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
26,31,3.121362,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
27,36,2.4814715,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
28,24,2.756853,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
29,13,2.918986,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
30,24,2.684025,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
