num,length,response,context_length,name
1,24,3.6920757,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,17,3.3208985,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,22,3.3224695,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,23,3.0659807,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,20,2.4062214,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,17,2.3047328,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,23,3.141272,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,20,2.682639,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,17,3.2183068,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,24,2.2389224,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,14,2.5447385,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,27,2.140542,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,9.808019,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
2,3,5.922476,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
3,29,3.173309,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
4,25,2.3426194,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
5,23,2.4588273,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
6,18,3.2435627,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
7,22,3.0174093,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
8,20,2.6407516,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
9,24,1.9327928,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
10,29,2.3625262,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
1,2,4.9980397,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
2,27,2.5539968,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
3,17,2.2138202,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
4,27,2.4175062,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
5,17,3.1670237,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
6,20,2.7804,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
7,11,3.2189536,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
8,33,2.2907736,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
9,16,3.257183,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
10,13,2.7327838,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
11,22,2.960374,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
1,2,9.808019,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
2,3,11.2073555,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
3,2,2.4807186,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
4,6,4.065124,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
5,2,8.78534,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
6,2,10.042621,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
7,6,5.1937733,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
8,31,2.4097793,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
9,28,2.6074967,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
10,24,2.978815,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
11,31,2.5302925,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
12,27,3.0043116,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
13,19,1.8460946,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
14,24,1.8989197,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
15,24,2.7833433,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
16,16,2.4088182,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
17,17,2.2817094,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
18,21,2.2540662,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
19,27,1.5209256,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
20,35,1.9084133,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
21,27,1.7387533,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
22,27,2.8654969,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
23,27,2.1255906,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
24,32,1.9064827,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
25,25,1.8806552,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
26,31,2.5655766,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
27,36,1.8871866,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
28,24,2.2060206,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
29,13,2.8191779,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
30,24,1.9387746,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
31,23,3.602168,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
32,28,1.7394209,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
33,2,9.124457,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
34,1,6.7903996,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
1,2,9.808019,0,403c0bf3c57f5a31191557d16ce880a531ca770c
2,3,6.983423,0,403c0bf3c57f5a31191557d16ce880a531ca770c
3,2,2.4807186,0,403c0bf3c57f5a31191557d16ce880a531ca770c
4,6,3.8007922,0,403c0bf3c57f5a31191557d16ce880a531ca770c
5,2,8.78534,0,403c0bf3c57f5a31191557d16ce880a531ca770c
6,2,10.042621,0,403c0bf3c57f5a31191557d16ce880a531ca770c
7,11,3.7917042,0,403c0bf3c57f5a31191557d16ce880a531ca770c
8,20,2.0571733,0,403c0bf3c57f5a31191557d16ce880a531ca770c
9,20,3.2410233,0,403c0bf3c57f5a31191557d16ce880a531ca770c
10,22,3.0927203,0,403c0bf3c57f5a31191557d16ce880a531ca770c
11,15,3.434036,0,403c0bf3c57f5a31191557d16ce880a531ca770c
12,22,2.4555721,0,403c0bf3c57f5a31191557d16ce880a531ca770c
13,29,2.2370796,0,403c0bf3c57f5a31191557d16ce880a531ca770c
14,22,2.132318,0,403c0bf3c57f5a31191557d16ce880a531ca770c
15,18,2.295447,0,403c0bf3c57f5a31191557d16ce880a531ca770c
16,19,3.0174315,0,403c0bf3c57f5a31191557d16ce880a531ca770c
17,15,2.5437014,0,403c0bf3c57f5a31191557d16ce880a531ca770c
18,19,3.7609787,0,403c0bf3c57f5a31191557d16ce880a531ca770c
19,18,2.4548285,0,403c0bf3c57f5a31191557d16ce880a531ca770c
20,12,4.468959,0,403c0bf3c57f5a31191557d16ce880a531ca770c
21,9,2.2729335,0,403c0bf3c57f5a31191557d16ce880a531ca770c
22,16,3.80254,0,403c0bf3c57f5a31191557d16ce880a531ca770c
23,19,3.1497643,0,403c0bf3c57f5a31191557d16ce880a531ca770c
24,10,4.624486,0,403c0bf3c57f5a31191557d16ce880a531ca770c
25,11,3.000392,0,403c0bf3c57f5a31191557d16ce880a531ca770c
26,14,4.0957737,0,403c0bf3c57f5a31191557d16ce880a531ca770c
27,11,4.9377775,0,403c0bf3c57f5a31191557d16ce880a531ca770c
28,12,3.3098276,0,403c0bf3c57f5a31191557d16ce880a531ca770c
29,8,1.9262031,0,403c0bf3c57f5a31191557d16ce880a531ca770c
30,16,4.0685296,0,403c0bf3c57f5a31191557d16ce880a531ca770c
31,15,3.855563,0,403c0bf3c57f5a31191557d16ce880a531ca770c
32,13,3.4516532,0,403c0bf3c57f5a31191557d16ce880a531ca770c
33,17,2.7073681,0,403c0bf3c57f5a31191557d16ce880a531ca770c
34,26,2.3131895,0,403c0bf3c57f5a31191557d16ce880a531ca770c
35,24,2.3607287,0,403c0bf3c57f5a31191557d16ce880a531ca770c
36,28,3.824842,0,403c0bf3c57f5a31191557d16ce880a531ca770c
37,16,2.767107,0,403c0bf3c57f5a31191557d16ce880a531ca770c
38,28,1.9106134,0,403c0bf3c57f5a31191557d16ce880a531ca770c
39,14,2.078397,0,403c0bf3c57f5a31191557d16ce880a531ca770c
40,23,2.5551414,0,403c0bf3c57f5a31191557d16ce880a531ca770c
41,4,3.843705,0,403c0bf3c57f5a31191557d16ce880a531ca770c
1,17,3.6232965,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
2,25,3.0232959,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
3,25,2.921381,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
4,20,2.254426,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
5,24,2.245975,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
6,11,2.5448267,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
7,21,2.5529833,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
8,18,2.7815123,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
9,19,1.7991931,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
10,27,2.3186362,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
1,2,9.808019,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
2,4,6.807223,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
3,2,2.4807186,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
4,6,4.1616645,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
5,4,6.249363,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
6,12,3.6440933,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
7,26,2.9283483,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
8,15,2.8636749,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
9,28,2.3722045,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
10,23,2.3178947,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
