num,length,response,context_length,name
1,21,3.0055504,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,28,2.9615135,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,25,3.6150744,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,36,2.2346828,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,24,2.0524528,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,17,3.7118108,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,23,2.7881274,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,23,3.036784,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,30,2.184745,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,28,1.7490772,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,17,3.3549242,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,18,3.6753025,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,37,2.648981,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,12,4.438913,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,32,2.7366118,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,23,2.4945493,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,27,2.047774,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,30,2.658069,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,25,2.0977488,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
2,30,2.876335,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
3,15,3.3389359,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
4,25,2.8270788,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
5,14,2.427831,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
6,16,3.0545874,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
7,26,2.5373201,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
8,27,2.2332625,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
9,19,1.4277005,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
10,20,3.1996758,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
11,19,3.0326145,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
12,16,3.3107803,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
13,21,3.1113453,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
14,23,3.3714137,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
15,22,2.908978,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
16,25,2.7181492,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
17,30,2.5680847,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
18,22,2.7445517,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
19,22,2.9191575,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
20,23,3.6669235,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
1,17,2.747935,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
2,25,2.475203,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
3,24,3.077803,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
4,33,2.2055316,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
5,29,3.192549,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
