num,length,response,context_length,name
1,21,4.95996,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,28,4.4977503,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,25,5.4939857,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,36,3.5183861,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,24,4.044231,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,17,5.021732,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,23,4.376852,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,23,4.7828364,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,30,3.9057417,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,28,2.360206,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,17,5.5943346,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,18,5.1276875,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,37,4.843059,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,12,6.046831,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,32,4.2776012,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,23,3.7998247,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,27,3.8694751,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,30,4.33005,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,25,3.6305683,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
2,30,4.0024996,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
3,15,5.170993,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
4,25,3.859894,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
5,14,5.111274,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
6,16,4.834924,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
7,26,3.678195,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
8,27,3.6678803,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
9,19,4.3393292,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
10,20,5.2187953,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
11,19,4.87276,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
12,16,5.1916447,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
13,21,4.340297,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
14,23,5.401668,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
15,22,4.168979,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
16,25,3.8909037,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
17,30,4.6296096,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
18,22,4.453938,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
19,22,4.136834,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
20,23,5.2140875,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
1,17,4.451984,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
2,25,3.7764137,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
3,24,4.4771466,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
4,33,3.4540164,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
5,29,4.489025,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
6,17,5.060181,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
7,19,4.6099486,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
8,21,3.4756482,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
9,18,2.3582084,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
10,30,5.086664,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
11,31,5.0871086,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
12,20,5.0728645,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
13,16,5.95291,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
14,25,4.634104,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
15,23,3.4708414,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
16,23,5.5941944,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
17,24,4.465011,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
1,26,4.682728,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
2,28,4.7121315,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
3,19,5.0994525,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
4,21,5.536952,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
5,21,4.057986,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
6,25,5.2037325,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
7,27,3.8983757,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
8,23,4.855413,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
9,27,3.4595842,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
10,20,3.6728077,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
11,12,6.149937,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
12,20,5.652791,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
13,29,4.41908,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
14,20,4.4530582,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
15,21,3.3840563,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
16,21,4.9464564,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
17,21,4.38159,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
1,19,4.6107793,0,403c0bf3c57f5a31191557d16ce880a531ca770c
2,26,5.430955,0,403c0bf3c57f5a31191557d16ce880a531ca770c
3,17,5.9302783,0,403c0bf3c57f5a31191557d16ce880a531ca770c
4,22,5.873682,0,403c0bf3c57f5a31191557d16ce880a531ca770c
5,20,4.6005964,0,403c0bf3c57f5a31191557d16ce880a531ca770c
6,15,8.289767,0,403c0bf3c57f5a31191557d16ce880a531ca770c
7,26,5.443873,0,403c0bf3c57f5a31191557d16ce880a531ca770c
8,20,5.1159873,0,403c0bf3c57f5a31191557d16ce880a531ca770c
9,16,7.2520213,0,403c0bf3c57f5a31191557d16ce880a531ca770c
10,17,5.22771,0,403c0bf3c57f5a31191557d16ce880a531ca770c
11,21,5.102878,0,403c0bf3c57f5a31191557d16ce880a531ca770c
12,19,5.601784,0,403c0bf3c57f5a31191557d16ce880a531ca770c
13,19,5.2515697,0,403c0bf3c57f5a31191557d16ce880a531ca770c
14,17,5.775719,0,403c0bf3c57f5a31191557d16ce880a531ca770c
15,22,4.7426476,0,403c0bf3c57f5a31191557d16ce880a531ca770c
16,17,5.230417,0,403c0bf3c57f5a31191557d16ce880a531ca770c
17,23,4.161333,0,403c0bf3c57f5a31191557d16ce880a531ca770c
18,28,3.1154094,0,403c0bf3c57f5a31191557d16ce880a531ca770c
19,22,5.017608,0,403c0bf3c57f5a31191557d16ce880a531ca770c
20,29,4.4659734,0,403c0bf3c57f5a31191557d16ce880a531ca770c
1,25,4.0291047,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
2,24,3.3732824,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
3,21,5.844965,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
4,12,5.160102,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
5,22,4.805215,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
6,16,3.413842,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
7,26,4.466403,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
8,10,7.4902544,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
9,19,4.4210505,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
