num,length,response,context_length,name
1,21,2.401099,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,28,2.3403027,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,25,3.1595757,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,36,1.8063831,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,24,1.4975269,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,17,3.0825493,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,23,2.0340376,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,23,2.6941009,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,30,1.8059853,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,28,1.4623523,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,17,2.7812762,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,18,3.2479224,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,37,2.1366363,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,12,3.7960854,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,32,2.3058817,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,23,2.196849,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,27,2.0113184,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,30,2.6946657,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,25,2.1310627,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
2,30,2.6405666,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
3,15,3.1766362,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
4,25,2.548038,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
5,14,2.0613325,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
6,16,2.5690594,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
7,26,2.4396687,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
8,27,2.014521,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
9,19,1.2835228,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
10,20,3.055455,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
11,19,2.8658085,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
12,16,3.0245862,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
13,21,2.7543921,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
14,23,3.2348783,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
15,22,2.6794345,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
16,25,2.7103446,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
17,30,2.0890858,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
18,22,2.8224785,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
19,22,2.6040907,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
20,23,3.1666641,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
1,17,2.059637,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
2,25,1.8623819,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
3,24,2.2373366,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
4,33,2.077195,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
5,29,2.518254,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
6,17,2.259652,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
7,19,1.6992401,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
8,21,1.9883468,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
9,18,1.7542398,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
10,30,2.3136673,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
11,31,2.5424871,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
12,20,2.740829,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
13,16,2.9426603,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
14,25,2.8477674,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
15,23,2.0868745,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
16,23,3.2586386,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
17,24,2.5311513,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
1,26,2.680168,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
2,28,2.7821243,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
3,19,2.4520652,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
4,21,3.747795,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
5,21,2.1030228,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
6,25,3.300217,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
7,27,2.5543203,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
8,23,2.9856071,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
9,27,2.4143693,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
10,20,1.5290861,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
11,12,2.8137805,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
12,20,4.3353353,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
13,29,2.5733793,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
