num,length,response,context_length,name
1,21,3.697644,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,28,3.178736,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,25,3.812887,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,36,3.0972898,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,24,2.60419,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,17,3.6521115,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,23,3.1640863,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,23,3.4770079,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,30,3.2872252,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,28,1.9363462,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,17,3.2759204,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,18,3.117436,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,37,3.3517601,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,12,4.9496646,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,32,3.0931861,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,23,2.6212435,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,27,2.556974,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,30,2.9100604,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,25,1.9636446,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
2,30,2.9068663,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
3,15,3.2027123,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
4,25,2.4690466,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
5,14,3.188187,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
6,16,2.6242714,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
7,26,2.350256,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
8,27,2.0201619,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
9,19,1.177985,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
10,20,2.5526664,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
11,19,2.7973924,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
12,16,2.6438715,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
13,21,2.6124604,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
14,23,3.2166576,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
15,22,2.7403927,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
16,25,2.5737844,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
17,30,2.194683,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
18,22,2.3802958,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
19,22,2.8906033,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
20,23,3.1520338,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
1,17,2.6890314,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
2,25,3.0396335,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
3,24,3.108124,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
4,33,2.3474047,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
5,29,2.9186292,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
6,17,2.965749,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
7,19,2.5316699,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
8,21,2.3385952,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
9,18,1.9801626,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
10,30,3.0632093,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
11,31,2.8433523,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
12,20,3.2185574,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
13,16,3.7337527,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
14,25,3.427095,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
15,23,2.342644,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
16,23,3.9321253,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
17,24,2.8747168,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
1,26,2.7270274,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
2,28,3.0400777,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
3,19,2.3286543,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
4,21,3.4006484,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
5,21,1.8217751,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
6,25,2.8145216,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
7,27,2.2145348,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
8,23,2.7834287,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
9,27,2.297228,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
10,20,1.5140957,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
11,12,2.603865,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
12,20,3.9548078,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
13,29,1.8735024,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
14,20,2.4559395,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
15,21,1.643642,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
16,21,3.150938,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
17,21,1.9342606,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
1,19,3.3669615,0,403c0bf3c57f5a31191557d16ce880a531ca770c
2,26,2.9286466,0,403c0bf3c57f5a31191557d16ce880a531ca770c
