num,length,response,context_length,name
1,21,4.993432,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,22,4.623292,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,21,5.314629,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,12,9.212213,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,15,7.017144,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,29,5.045341,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,28,5.4049325,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,27,6.344826,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,13,7.3108234,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,10,7.644977,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,18,6.4189763,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,2,12.041739,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,16,5.270272,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,19,5.3634524,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,20,5.5779467,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,15,6.6603117,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,17,5.779785,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,26,5.0086083,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
19,17,4.7559447,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
20,29,4.542888,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
21,12,5.06341,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
22,4,8.080879,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
23,19,5.345391,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,12.849968,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
2,3,11.383836,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
3,21,5.9235353,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
4,20,5.086197,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
5,10,8.124278,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
6,20,5.9458203,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
7,19,5.4448466,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
8,13,5.912252,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
9,19,4.938199,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
10,18,5.933082,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
11,7,6.0456624,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
12,15,6.252771,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
13,9,8.710267,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
14,20,5.1332703,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
15,28,5.592724,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
16,4,8.493224,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
17,7,6.7951236,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
18,23,6.050727,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
19,27,4.293181,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
20,8,6.9849353,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
21,2,11.002464,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
22,15,6.9198184,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
23,12,7.055614,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
24,7,8.446399,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
25,17,6.9348345,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
26,8,10.304493,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
27,12,8.437479,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
28,6,8.026678,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
29,29,5.303601,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
30,17,5.3661847,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
31,19,5.848375,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
32,2,8.172206,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
33,12,7.6510215,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
34,12,6.031588,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
35,29,5.073057,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
1,2,9.989739,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
2,31,3.0058243,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
3,16,5.6857767,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
4,30,4.991967,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
5,24,3.7101927,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
6,54,4.745221,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
7,28,7.1216187,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
8,23,4.7479773,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
9,21,5.2361274,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
10,13,5.1456885,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
11,12,7.895253,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
12,17,7.0773687,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
13,29,3.1480472,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
14,30,4.2875767,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
15,16,7.162588,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
16,27,5.0016346,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
1,2,12.849968,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
2,3,11.567321,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
3,2,9.389645,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
4,6,5.4905963,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
5,2,10.586355,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
6,2,8.704883,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
7,6,4.9796185,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
8,27,5.696982,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
9,26,5.321402,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
10,24,6.7976155,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
11,23,4.2441344,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
12,14,5.5825467,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
13,46,4.6726584,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
14,25,5.4325767,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
15,31,4.6171117,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
16,17,6.549945,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
17,23,3.7242353,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
18,32,5.379685,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
19,26,5.952355,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
20,27,5.942388,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
21,18,4.8772607,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
22,30,2.3702853,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
23,17,7.751285,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
24,14,8.342235,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
25,22,6.213491,0,10bff7c36ed8fa82e170be617a1f417f3722a18c
1,2,12.849968,0,403c0bf3c57f5a31191557d16ce880a531ca770c
2,3,10.387995,0,403c0bf3c57f5a31191557d16ce880a531ca770c
3,2,9.389645,0,403c0bf3c57f5a31191557d16ce880a531ca770c
4,6,4.976217,0,403c0bf3c57f5a31191557d16ce880a531ca770c
5,2,10.586355,0,403c0bf3c57f5a31191557d16ce880a531ca770c
6,2,8.704883,0,403c0bf3c57f5a31191557d16ce880a531ca770c
7,6,4.773884,0,403c0bf3c57f5a31191557d16ce880a531ca770c
8,26,4.990062,0,403c0bf3c57f5a31191557d16ce880a531ca770c
9,26,5.254981,0,403c0bf3c57f5a31191557d16ce880a531ca770c
10,24,3.8807898,0,403c0bf3c57f5a31191557d16ce880a531ca770c
11,4,7.9768043,0,403c0bf3c57f5a31191557d16ce880a531ca770c
12,24,6.1900916,0,403c0bf3c57f5a31191557d16ce880a531ca770c
13,13,5.07929,0,403c0bf3c57f5a31191557d16ce880a531ca770c
14,14,9.016381,0,403c0bf3c57f5a31191557d16ce880a531ca770c
15,35,4.902989,0,403c0bf3c57f5a31191557d16ce880a531ca770c
16,32,4.620557,0,403c0bf3c57f5a31191557d16ce880a531ca770c
17,16,5.8071003,0,403c0bf3c57f5a31191557d16ce880a531ca770c
18,4,6.518629,0,403c0bf3c57f5a31191557d16ce880a531ca770c
19,16,8.723678,0,403c0bf3c57f5a31191557d16ce880a531ca770c
20,15,7.220525,0,403c0bf3c57f5a31191557d16ce880a531ca770c
21,12,5.759555,0,403c0bf3c57f5a31191557d16ce880a531ca770c
22,38,5.7252965,0,403c0bf3c57f5a31191557d16ce880a531ca770c
23,54,4.0097046,0,403c0bf3c57f5a31191557d16ce880a531ca770c
24,29,6.276194,0,403c0bf3c57f5a31191557d16ce880a531ca770c
25,13,6.049104,0,403c0bf3c57f5a31191557d16ce880a531ca770c
26,25,5.6662993,0,403c0bf3c57f5a31191557d16ce880a531ca770c
27,19,5.721643,0,403c0bf3c57f5a31191557d16ce880a531ca770c
28,13,6.3350544,0,403c0bf3c57f5a31191557d16ce880a531ca770c
29,10,8.459981,0,403c0bf3c57f5a31191557d16ce880a531ca770c
30,9,8.988033,0,403c0bf3c57f5a31191557d16ce880a531ca770c
31,10,9.938537,0,403c0bf3c57f5a31191557d16ce880a531ca770c
1,22,4.9028125,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
2,22,5.0801597,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
3,32,4.8988605,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
4,18,8.573648,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
5,19,4.74037,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
6,33,6.538424,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
7,17,7.4918776,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
8,8,8.074794,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
9,7,7.709069,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
10,18,5.0460668,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
11,28,4.2431235,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
12,16,5.4842377,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
13,13,7.1274776,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
14,7,10.232015,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
15,16,5.682162,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
16,14,5.258826,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
17,10,7.4551926,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
18,16,7.574643,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
19,28,6.0095234,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
20,19,5.6170564,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
21,13,7.170166,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
22,26,5.1949277,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
23,17,6.175015,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
24,15,6.3217354,0,b5e0e811403e80b538ecaf3247f1edc318bcb25f
1,2,12.849968,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
2,4,12.44732,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
3,2,9.389645,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
4,6,5.5993156,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
5,2,10.586355,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
6,2,8.704883,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
7,6,5.44593,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
8,19,4.7596607,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
9,18,6.049903,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
10,9,6.6454673,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
11,17,6.9490013,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
12,22,5.6812167,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
13,29,5.834319,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
14,20,6.00559,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
15,9,6.515558,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
16,15,5.6098804,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
17,13,5.840251,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
18,12,5.033259,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
19,3,9.885163,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
20,8,7.1566677,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
21,7,8.501919,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
22,14,6.415994,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
23,15,6.8902907,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
24,13,5.86674,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
25,12,5.714877,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
26,11,6.7235303,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
27,17,7.012685,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
28,22,6.1530538,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
29,6,10.692136,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
30,1,9.384413,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
31,16,6.468574,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
32,9,8.520545,0,19430caabaf442159b84dcdbcc3e4818fc1f2340
1,22,5.109019,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
2,25,5.6677394,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
3,36,5.3755894,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
4,13,7.8737855,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
5,2,10.935768,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
6,12,4.7154136,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
7,27,5.7448444,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
8,26,5.248759,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
9,6,5.8345423,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
10,11,7.2816997,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
11,30,5.356553,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
12,13,6.178726,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
13,2,11.871949,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
14,13,7.064522,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
15,1,10.372966,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
16,15,4.7781467,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
17,26,4.3637996,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
18,17,3.9676003,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
19,15,5.9302993,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
20,19,7.103049,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
21,15,5.716001,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
22,43,4.954021,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
23,3,8.439794,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
24,17,5.5465508,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
25,19,6.6424384,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
26,18,6.376092,0,56f89918be91cd0eba187f40a3c66716e38fb6b8
1,31,3.2059135,0,de5b01cdc5fdbb80f2331e3bce1bb3b28f804f8d
2,18,5.230357,0,de5b01cdc5fdbb80f2331e3bce1bb3b28f804f8d
3,23,4.5986285,0,de5b01cdc5fdbb80f2331e3bce1bb3b28f804f8d
4,12,3.4959025,0,de5b01cdc5fdbb80f2331e3bce1bb3b28f804f8d
