num,length,response,context_length,name
1,19,3.6175573,0,26709147
2,31,3.040747,0,26709147
3,28,3.6058803,0,26709147
4,24,4.033685,0,26709147
5,22,4.5031223,0,26709147
6,20,4.424909,0,26709147
7,18,3.946358,0,26709147
8,20,3.536584,0,26709147
9,12,4.4811435,0,26709147
10,14,4.6266737,0,26709147
11,5,8.885558,0,26709147
1,13,2.9228466,0,4508056
2,21,2.8565633,0,4508056
3,8,5.358886,0,4508056
4,21,2.7996244,0,4508056
5,13,3.8284793,0,4508056
6,13,4.2813354,0,4508056
7,14,4.3342047,0,4508056
8,13,4.329886,0,4508056
9,19,3.0832915,0,4508056
10,23,2.7473981,0,4508056
1,15,4.135216,0,50875
2,4,10.197286,0,50875
3,14,4.038586,0,50875
4,22,3.275264,0,50875
5,11,3.3178682,0,50875
6,16,3.7100792,0,50875
7,19,3.000128,0,50875
8,10,4.9229207,0,50875
9,8,5.521606,0,50875
10,13,4.51904,0,50875
11,9,4.3455834,0,50875
12,13,3.2161503,0,50875
13,11,3.8338056,0,50875
14,11,4.763996,0,50875
15,24,2.4683557,0,50875
16,7,5.521574,0,50875
17,11,4.90107,0,50875
18,6,6.953144,0,50875
19,17,2.9997754,0,50875
20,9,4.474527,0,50875
21,14,4.1293344,0,50875
22,6,6.422218,0,50875
23,1,12.01011,0,50875
1,20,3.339937,0,36670656
2,31,1.2358526,0,36670656
3,15,2.5990982,0,36670656
4,19,2.5332108,0,36670656
5,15,3.5594156,0,36670656
6,22,2.9793477,0,36670656
7,13,4.117806,0,36670656
8,11,3.8211746,0,36670656
9,19,5.0032387,0,36670656
10,17,3.9995358,0,36670656
11,12,3.625124,0,36670656
12,17,4.711383,0,36670656
13,14,3.3393464,0,36670656
14,5,5.4446893,0,36670656
1,15,5.241483,0,11907622
2,20,4.0644646,0,11907622
3,13,3.2600849,0,11907622
4,17,3.2266693,0,11907622
5,11,7.1419277,0,11907622
1,7,4.0085316,0,4352382
2,35,3.352391,0,4352382
3,7,6.0451684,0,4352382
4,13,6.023088,0,4352382
5,17,3.0731306,0,4352382
6,18,3.2427998,0,4352382
7,10,4.852342,0,4352382
8,9,4.5050154,0,4352382
9,18,3.1201572,0,4352382
10,11,4.1557693,0,4352382
11,7,5.516715,0,4352382
1,47,2.9547133,0,31533973
2,16,4.3679233,0,31533973
3,12,3.9299455,0,31533973
4,16,3.5458274,0,31533973
5,18,3.4080868,0,31533973
6,13,5.820357,0,31533973
7,7,5.4977937,0,31533973
8,9,3.3382635,0,31533973
1,16,3.129647,0,758725
2,13,3.1916087,0,758725
3,12,3.8301644,0,758725
4,15,3.436834,0,758725
5,21,3.1194978,0,758725
6,24,3.5601015,0,758725
7,10,5.1031365,0,758725
8,15,4.712678,0,758725
9,21,3.050546,0,758725
10,6,5.0321236,0,758725
1,5,5.3698354,0,39905881
2,11,4.552062,0,39905881
3,12,7.335517,0,39905881
4,12,3.2993057,0,39905881
5,1,9.719337,0,39905881
6,16,2.7514882,0,39905881
7,16,5.1505933,0,39905881
8,10,5.2128744,0,39905881
9,20,3.1755884,0,39905881
10,26,2.9670303,0,39905881
11,9,6.616422,0,39905881
12,25,4.217312,0,39905881
1,9,5.91069,0,52727235
2,10,4.8318834,0,52727235
3,19,3.2914624,0,52727235
4,13,4.2204604,0,52727235
5,6,7.0718455,0,52727235
6,19,4.6659193,0,52727235
7,14,4.8670154,0,52727235
1,14,4.011499,0,8747330
2,11,4.20347,0,8747330
3,16,4.0219126,0,8747330
4,18,3.6525385,0,8747330
5,17,3.8663447,0,8747330
6,9,6.0742826,0,8747330
7,12,3.512256,0,8747330
8,11,3.5669332,0,8747330
9,18,4.295292,0,8747330
10,17,3.0607302,0,8747330
11,20,3.3695595,0,8747330
12,24,2.729263,0,8747330
13,9,4.02234,0,8747330
1,9,4.6214395,0,44132726
2,9,2.6959586,0,44132726
3,11,3.9212296,0,44132726
4,25,2.961971,0,44132726
5,25,2.8762724,0,44132726
6,17,3.201588,0,44132726
7,16,3.597491,0,44132726
1,15,3.7341082,0,54056603
2,14,4.239316,0,54056603
3,17,3.507092,0,54056603
4,14,4.7441974,0,54056603
5,32,2.8324196,0,54056603
6,11,5.9654346,0,54056603
7,27,2.6896186,0,54056603
8,15,2.4590483,0,54056603
9,18,3.7449665,0,54056603
10,14,3.249487,0,54056603
11,17,2.3830624,0,54056603
12,18,3.3392203,0,54056603
13,10,4.3891644,0,54056603
14,25,3.8246973,0,54056603
15,15,5.1019487,0,54056603
16,6,7.7034454,0,54056603
1,22,3.363875,0,2093974
2,16,3.5952406,0,2093974
3,26,1.8846592,0,2093974
4,11,3.1289907,0,2093974
5,17,3.7980824,0,2093974
1,10,5.5353503,0,8768710
2,5,4.2643046,0,8768710
3,12,3.4143076,0,8768710
4,36,2.3004618,0,8768710
5,22,3.5536652,0,8768710
6,16,4.1278005,0,8768710
7,13,4.6526375,0,8768710
8,16,3.7826986,0,8768710
9,8,5.009094,0,8768710
10,30,2.7680585,0,8768710
11,1,13.365525,0,8768710
1,16,5.734051,0,575970
2,9,7.207022,0,575970
3,15,5.199878,0,575970
4,8,8.130356,0,575970
5,14,5.62628,0,575970
6,19,5.2669425,0,575970
7,12,5.6969104,0,575970
8,18,4.8224325,0,575970
9,12,5.4696107,0,575970
10,30,3.340843,0,575970
11,29,3.6196399,0,575970
12,15,5.5178623,0,575970
13,9,4.8774753,0,575970
14,9,8.251803,0,575970
1,9,4.9760356,0,31030281
2,10,4.8422627,0,31030281
3,6,5.531258,0,31030281
4,3,7.3016906,0,31030281
5,2,9.186916,0,31030281
6,3,9.904747,0,31030281
7,5,5.8364797,0,31030281
8,5,9.109896,0,31030281
9,29,3.8929965,0,31030281
10,20,3.7787066,0,31030281
11,10,4.811298,0,31030281
12,7,5.7915134,0,31030281
13,10,4.319342,0,31030281
14,10,2.071191,0,31030281
15,14,3.7368824,0,31030281
16,21,3.4404187,0,31030281
17,21,3.069845,0,31030281
1,23,2.8251839,0,21903487
2,14,3.911608,0,21903487
3,23,3.175352,0,21903487
4,20,3.2956154,0,21903487
5,14,4.0055566,0,21903487
6,11,4.6157036,0,21903487
7,9,3.4369614,0,21903487
1,17,3.9650362,0,1759538
2,19,2.2013142,0,1759538
3,18,3.3032496,0,1759538
4,19,2.4366744,0,1759538
5,26,4.1525903,0,1759538
6,22,3.4242322,0,1759538
7,18,3.0985954,0,1759538
1,21,5.2706175,0,4864858
2,22,2.7189114,0,4864858
3,6,5.175391,0,4864858
4,15,3.1809993,0,4864858
5,13,3.8340719,0,4864858
6,7,4.557097,0,4864858
7,12,3.1962435,0,4864858
8,18,3.5936706,0,4864858
9,24,3.2486374,0,4864858
10,15,3.505287,0,4864858
11,17,4.156664,0,4864858
12,17,2.9911933,0,4864858
13,11,4.761838,0,4864858
14,18,3.073467,0,4864858
15,17,3.6997573,0,4864858
16,14,4.681407,0,4864858
17,2,5.3907213,0,4864858
1,17,3.7583656,0,52666398
2,15,4.5023127,0,52666398
3,16,2.8087018,0,52666398
4,9,4.3897133,0,52666398
5,10,4.4840474,0,52666398
6,12,4.0541916,0,52666398
7,12,4.3268633,0,52666398
8,23,3.4473398,0,52666398
9,18,3.9276788,0,52666398
10,11,3.6224818,0,52666398
11,23,2.9977562,0,52666398
1,16,3.3734367,0,2756344
2,13,4.75593,0,2756344
3,20,3.8925502,0,2756344
4,17,3.9060016,0,2756344
5,18,3.6131825,0,2756344
6,13,4.8687453,0,2756344
7,28,2.9484372,0,2756344
8,15,5.0293922,0,2756344
1,17,3.9366875,0,1029333
2,15,5.494213,0,1029333
3,5,7.9723167,0,1029333
4,4,5.776974,0,1029333
5,4,4.9323497,0,1029333
1,17,2.4860294,0,10226407
2,21,3.2653506,0,10226407
3,17,4.543546,0,10226407
4,15,3.354069,0,10226407
5,21,4.202127,0,10226407
1,8,3.9886615,0,1694580
2,7,8.769181,0,1694580
3,20,1.8633237,0,1694580
4,6,5.3845177,0,1694580
5,14,2.8824966,0,1694580
6,25,2.733099,0,1694580
7,12,5.4404006,0,1694580
8,14,4.599282,0,1694580
9,16,2.407362,0,1694580
10,17,4.0239716,0,1694580
11,16,3.4796216,0,1694580
12,20,3.1919441,0,1694580
13,18,4.663978,0,1694580
14,10,3.9647205,0,1694580
15,17,3.5722563,0,1694580
16,15,3.5836487,0,1694580
17,26,2.6013386,0,1694580
18,4,9.592972,0,1694580
1,7,5.4095283,0,35642069
2,17,3.5555148,0,35642069
3,10,4.9780498,0,35642069
4,15,4.005485,0,35642069
5,13,5.4990854,0,35642069
6,10,3.880401,0,35642069
7,10,4.336062,0,35642069
8,7,7.675832,0,35642069
9,11,3.054989,0,35642069
10,12,4.0156274,0,35642069
11,16,3.9558227,0,35642069
12,9,4.8386617,0,35642069
13,9,6.428018,0,35642069
14,14,3.6706798,0,35642069
15,21,2.9529471,0,35642069
16,9,5.26554,0,35642069
17,11,3.5171769,0,35642069
18,13,3.673054,0,35642069
19,9,5.672149,0,35642069
1,4,8.974637,0,60723503
2,10,6.3427997,0,60723503
3,19,3.60695,0,60723503
4,47,1.7764628,0,60723503
5,6,10.063767,0,60723503
1,11,5.0325756,0,59923155
2,9,5.3622813,0,59923155
3,45,1.4810419,0,59923155
4,22,1.2454531,0,59923155
1,14,3.6046648,0,3351416
2,13,3.8080688,0,3351416
3,19,3.6383393,0,3351416
4,17,5.5066566,0,3351416
5,20,4.2514687,0,3351416
6,29,3.3079143,0,3351416
1,16,3.983331,0,1740941
2,13,5.5628366,0,1740941
3,21,2.5300727,0,1740941
4,27,2.6043036,0,1740941
5,24,2.8286207,0,1740941
6,10,3.9971166,0,1740941
7,10,6.3155065,0,1740941
1,14,4.973294,0,9191770
2,10,4.817925,0,9191770
3,12,3.5908585,0,9191770
4,11,7.2303963,0,9191770
5,12,5.384187,0,9191770
6,10,5.3077307,0,9191770
7,12,2.9805005,0,9191770
8,7,5.71267,0,9191770
1,24,4.9403296,0,25717517
2,9,5.4092264,0,25717517
3,18,3.9985383,0,25717517
4,9,4.2704377,0,25717517
5,21,3.2439137,0,25717517
6,12,3.5305235,0,25717517
7,14,5.8030663,0,25717517
8,14,5.5089397,0,25717517
9,29,3.1478565,0,25717517
10,18,3.3107438,0,25717517
11,13,3.7076957,0,25717517
1,8,7.2789845,0,52361785
2,38,2.379103,0,52361785
3,9,6.1302276,0,52361785
