num,length,response,context_length,name
1,6,5.0188093,0,26709147
2,8,5.1139426,6,26709147
3,18,3.7506382,14,26709147
4,11,5.0895767,32,26709147
5,20,2.8987722,37,26709147
6,23,2.0654914,49,26709147
7,13,1.775265,54,26709147
8,15,3.4311693,56,26709147
9,19,2.31262,51,26709147
10,15,2.3784893,47,26709147
11,20,2.2209182,49,26709147
12,18,2.5014057,54,26709147
13,18,2.7042272,53,26709147
14,21,2.1159801,56,26709147
15,29,1.8528339,57,26709147
16,16,2.7517996,68,26709147
17,19,2.222735,66,26709147
18,23,1.5448592,64,26709147
19,8,3.1587343,58,26709147
1,6,5.0188093,0,4508056
2,9,5.678546,6,4508056
3,18,3.8467002,15,4508056
4,11,4.953826,33,4508056
5,13,3.1998847,38,4508056
6,12,2.4612253,42,4508056
7,18,1.68668,36,4508056
8,27,1.9786907,43,4508056
9,18,1.9538919,57,4508056
10,27,1.7214372,63,4508056
11,28,1.4273773,72,4508056
12,7,1.6850106,73,4508056
13,18,2.0788724,62,4508056
14,17,1.7161802,53,4508056
15,20,1.9261413,42,4508056
16,19,2.3121948,55,4508056
17,15,2.1119862,56,4508056
18,14,2.1996558,54,4508056
19,16,2.3528006,48,4508056
20,19,2.7909214,45,4508056
21,14,1.9305294,49,4508056
22,17,2.3087578,49,4508056
23,8,2.4769928,50,4508056
1,6,5.0188093,0,50875
2,10,4.949494,6,50875
3,18,3.7414093,16,50875
4,11,4.994997,34,50875
5,31,2.42916,39,50875
6,16,2.4208307,60,50875
7,24,2.1219733,58,50875
8,13,2.140018,71,50875
9,18,2.824612,53,50875
10,14,2.9092839,55,50875
11,14,3.4637492,45,50875
12,18,2.2912323,46,50875
13,17,1.9481462,46,50875
14,17,2.29568,49,50875
15,11,2.877532,52,50875
16,20,1.8407494,45,50875
17,10,2.1289444,48,50875
18,21,2.0884302,41,50875
19,9,2.6135974,51,50875
20,15,2.0512779,40,50875
21,11,2.3879015,45,50875
22,10,3.187635,35,50875
23,3,5.283318,36,50875
1,6,5.0188093,0,36670656
2,10,5.4545193,6,36670656
3,18,3.7161915,16,36670656
4,11,4.995509,34,36670656
5,17,3.5623558,39,36670656
6,21,1.7190645,46,36670656
7,18,2.1015668,49,36670656
8,12,1.2485124,56,36670656
1,6,5.0188093,0,11907622
2,10,5.577388,6,11907622
3,18,3.8168335,16,11907622
4,11,4.9531026,34,11907622
5,15,2.9205701,39,11907622
6,9,4.6226363,44,11907622
7,9,2.8221772,35,11907622
8,14,2.9606857,33,11907622
9,7,3.4220958,32,11907622
1,6,5.0188093,0,4352382
2,9,5.827005,6,4352382
3,18,3.8033535,15,4352382
4,11,5.096227,33,4352382
5,16,3.5251474,38,4352382
6,23,1.5184021,45,4352382
7,22,1.9999049,50,4352382
8,21,2.1257203,61,4352382
9,11,1.132652,66,4352382
10,2,6.712311,54,4352382
1,6,5.0188093,0,31533973
2,9,5.1104217,6,31533973
3,18,3.7724297,15,31533973
4,11,4.94156,33,31533973
5,1,8.001707,38,31533973
6,47,3.4105291,30,31533973
7,15,4.2405424,59,31533973
8,16,2.0619059,63,31533973
9,17,2.448004,78,31533973
10,17,2.0355232,48,31533973
11,20,1.8412845,50,31533973
12,18,1.6584467,54,31533973
13,6,3.03631,55,31533973
14,10,3.0391853,44,31533973
15,10,2.1718833,34,31533973
16,12,1.9038963,26,31533973
17,10,3.056845,32,31533973
18,6,2.395686,32,31533973
19,7,2.1030655,28,31533973
20,26,2.30465,23,31533973
21,17,2.7840009,39,31533973
22,16,2.729237,50,31533973
23,5,2.9200413,59,31533973
1,6,5.0188093,0,758725
2,10,4.8081717,6,758725
3,18,3.7092354,16,758725
4,11,4.9061046,34,758725
5,17,2.6796412,39,758725
6,21,1.9507505,46,758725
7,13,1.833752,49,758725
8,12,2.07352,51,758725
9,14,2.399095,46,758725
10,14,2.4136393,39,758725
11,27,2.7936008,40,758725
12,27,2.3903806,55,758725
13,14,2.079591,68,758725
14,17,1.6629804,68,758725
15,31,2.357762,58,758725
16,13,1.9405105,62,758725
17,24,1.8109735,61,758725
18,25,1.8042157,68,758725
19,20,2.2756193,62,758725
1,6,5.0188093,0,39905881
2,10,5.636098,6,39905881
3,18,3.749702,16,39905881
4,11,4.930392,34,39905881
5,14,3.6274602,39,39905881
6,13,2.7175121,43,39905881
7,21,2.184617,38,39905881
8,25,1.6879232,48,39905881
9,32,2.3521054,59,39905881
10,21,1.6112595,78,39905881
11,36,1.5981251,78,39905881
12,17,3.099721,89,39905881
13,18,1.7580764,74,39905881
14,25,1.8362516,71,39905881
15,10,2.5391574,60,39905881
16,22,2.6266549,53,39905881
17,24,1.9548433,57,39905881
1,6,5.0188093,0,52727235
2,8,6.0601726,6,52727235
3,18,3.7922566,14,52727235
4,11,4.9460516,32,52727235
5,12,3.6163824,37,52727235
6,10,2.1244934,41,52727235
7,10,3.3183725,33,52727235
8,3,7.8975797,32,52727235
