num,length,response,context_length,name
1,21,3.8107517,0,26709147
2,22,3.1373794,0,26709147
3,24,3.2051072,0,26709147
4,19,4.3707013,0,26709147
5,15,4.828442,0,26709147
6,28,3.7718568,0,26709147
7,11,6.0122204,0,26709147
8,29,3.2286918,0,26709147
9,16,5.0625453,0,26709147
10,16,5.015852,0,26709147
11,23,3.294913,0,26709147
12,19,3.573044,0,26709147
13,21,3.9580293,0,26709147
14,13,4.508858,0,26709147
1,25,2.4893534,0,4508056
2,24,3.3442357,0,4508056
3,26,3.2050393,0,4508056
4,15,3.8162558,0,4508056
5,27,3.0665221,0,4508056
6,22,3.7098565,0,4508056
7,21,3.5203216,0,4508056
8,33,2.5652852,0,4508056
1,21,4.413884,0,50875
2,28,3.0416014,0,50875
3,25,2.8334286,0,50875
4,18,4.401655,0,50875
5,37,2.7302613,0,50875
6,21,3.0002372,0,50875
7,18,4.000985,0,50875
8,21,3.3528218,0,50875
1,25,2.5640023,0,36670656
2,25,3.1553607,0,36670656
3,20,2.5288076,0,36670656
4,17,2.7156847,0,36670656
5,20,2.4829977,0,36670656
6,24,4.1965685,0,36670656
7,38,2.8878279,0,36670656
8,22,4.5127,0,36670656
1,15,5.241483,0,11907622
2,19,4.7817144,0,11907622
3,23,4.2058077,0,11907622
4,27,4.762755,0,11907622
5,23,4.181949,0,11907622
6,17,4.7795835,0,11907622
7,32,4.003257,0,11907622
8,29,3.9802444,0,11907622
1,27,1.9675047,0,4352382
2,22,3.741914,0,4352382
3,27,4.203842,0,4352382
4,24,2.6367543,0,4352382
5,16,4.984513,0,4352382
6,17,4.859811,0,4352382
7,23,3.6270127,0,4352382
8,14,4.0790076,0,4352382
9,13,4.534743,0,4352382
10,17,4.333912,0,4352382
11,43,2.8974266,0,4352382
12,18,4.0654755,0,4352382
13,12,4.926543,0,4352382
14,13,6.4275317,0,4352382
15,18,3.973938,0,4352382
16,22,4.4204435,0,4352382
17,20,4.3170795,0,4352382
18,26,3.8391256,0,4352382
19,25,3.9120793,0,4352382
20,15,5.328301,0,4352382
1,23,3.2506526,0,31533973
2,15,4.014845,0,31533973
3,15,4.4085116,0,31533973
4,20,4.3772507,0,31533973
5,18,3.8454154,0,31533973
6,18,4.579778,0,31533973
7,18,4.3701725,0,31533973
8,17,4.546034,0,31533973
1,27,2.7103314,0,758725
2,16,4.229188,0,758725
3,27,3.745051,0,758725
4,20,4.8657866,0,758725
5,26,3.8174293,0,758725
6,11,5.549488,0,758725
7,20,4.36045,0,758725
8,29,3.5025756,0,758725
1,27,3.3235307,0,39905881
2,21,3.7503278,0,39905881
3,22,2.8476672,0,39905881
4,21,3.3079197,0,39905881
5,25,3.8237145,0,39905881
6,18,6.068828,0,39905881
7,23,2.766147,0,39905881
8,35,3.5043275,0,39905881
1,12,5.951032,0,52727235
2,19,4.5494533,0,52727235
3,20,2.7975736,0,52727235
4,22,5.0243573,0,52727235
5,22,3.572457,0,52727235
6,20,4.2751355,0,52727235
7,22,3.3385015,0,52727235
8,25,3.9264433,0,52727235
9,31,4.2614694,0,52727235
10,25,4.520121,0,52727235
1,28,3.695185,0,8747330
2,24,2.5285363,0,8747330
3,17,4.204085,0,8747330
4,19,2.4766104,0,8747330
5,26,3.167386,0,8747330
6,23,4.440049,0,8747330
7,21,4.0943456,0,8747330
8,21,3.590675,0,8747330
9,23,4.148361,0,8747330
10,18,5.1748967,0,8747330
11,20,3.9590688,0,8747330
1,12,5.768502,0,44132726
2,17,3.7460222,0,44132726
3,20,3.947164,0,44132726
4,21,3.0317063,0,44132726
5,21,2.7772653,0,44132726
6,18,4.1406655,0,44132726
7,24,5.281578,0,44132726
8,23,3.6101935,0,44132726
9,16,5.256907,0,44132726
10,26,3.0598783,0,44132726
1,28,3.3555415,0,19879505
2,23,4.1571064,0,19879505
3,35,4.075804,0,19879505
4,35,3.4389305,0,19879505
5,30,3.0470536,0,19879505
6,28,3.8079298,0,19879505
7,18,3.4351535,0,19879505
8,28,3.3602083,0,19879505
9,26,3.6898358,0,19879505
1,16,3.4667938,0,54056603
2,45,2.5659177,0,54056603
3,20,3.7181478,0,54056603
4,14,4.6315713,0,54056603
5,18,4.1242027,0,54056603
6,20,3.9502957,0,54056603
7,14,5.2601047,0,54056603
8,28,4.0025706,0,54056603
9,22,4.2470818,0,54056603
10,17,4.6971517,0,54056603
1,38,2.4870834,0,2093974
2,30,3.0445037,0,2093974
3,22,3.3010936,0,2093974
4,28,2.6599312,0,2093974
5,34,3.5461392,0,2093974
6,30,4.076765,0,2093974
7,26,3.4917607,0,2093974
8,33,4.019025,0,2093974
9,21,3.5754833,0,2093974
10,25,3.6062243,0,2093974
11,30,3.937918,0,2093974
1,32,2.5610776,0,25580107
2,25,3.0136554,0,25580107
