num,length,response,context_length,name
1,21,3.198584,0,26709147
2,19,3.248289,0,26709147
3,17,3.0491009,0,26709147
4,14,2.9385827,0,26709147
5,26,3.3968797,0,26709147
6,17,3.2024887,0,26709147
7,18,3.3422997,0,26709147
8,19,3.242614,0,26709147
9,24,4.8292017,0,26709147
10,24,4.1014533,0,26709147
11,19,3.9901445,0,26709147
12,20,3.3997657,0,26709147
13,21,3.5832245,0,26709147
14,23,3.678018,0,26709147
15,24,3.7495959,0,26709147
16,22,3.9585772,0,26709147
1,15,3.6246822,0,4508056
2,26,3.217999,0,4508056
3,22,3.9281023,0,4508056
4,22,3.9991028,0,4508056
5,28,3.016164,0,4508056
1,17,4.372141,0,50875
2,18,1.6905055,0,50875
3,23,2.696091,0,50875
4,30,3.4090483,0,50875
5,30,2.6915743,0,50875
6,23,3.0846133,0,50875
7,25,3.2917418,0,50875
1,24,2.6200488,0,36670656
2,19,3.249717,0,36670656
3,26,2.9378598,0,36670656
4,20,3.425916,0,36670656
5,20,4.285502,0,36670656
6,17,3.5751162,0,36670656
1,16,5.2179685,0,11907622
2,10,7.638433,0,11907622
3,13,3.683859,0,11907622
4,10,5.8492436,0,11907622
5,23,4.520964,0,11907622
6,19,2.9082236,0,11907622
7,22,4.2178364,0,11907622
1,28,1.7513456,0,4352382
2,17,3.0186605,0,4352382
3,22,3.2977338,0,4352382
4,21,3.5791113,0,4352382
5,29,2.9854794,0,4352382
6,16,3.5734239,0,4352382
7,18,3.706912,0,4352382
8,16,3.8305678,0,4352382
9,16,2.347743,0,4352382
10,23,3.6790843,0,4352382
11,21,3.926714,0,4352382
12,25,2.2502947,0,4352382
1,29,2.7164404,0,31533973
2,20,2.7545733,0,31533973
3,19,4.2069545,0,31533973
4,21,2.7060466,0,31533973
5,19,3.5834153,0,31533973
6,20,4.524576,0,31533973
7,24,3.418723,0,31533973
1,32,2.2238438,0,758725
2,36,2.1781962,0,758725
3,32,4.0257607,0,758725
4,17,3.7005994,0,758725
5,15,3.1657996,0,758725
6,23,3.6675167,0,758725
7,26,3.892953,0,758725
8,27,4.0512304,0,758725
9,25,4.302932,0,758725
10,39,3.141835,0,758725
1,18,3.1894848,0,39905881
2,30,3.2756317,0,39905881
3,25,2.7196524,0,39905881
4,33,3.351795,0,39905881
5,30,2.9992738,0,39905881
1,28,3.7682114,0,52727235
2,24,2.933856,0,52727235
3,33,3.2604291,0,52727235
4,22,3.639421,0,52727235
5,22,3.5616877,0,52727235
1,20,3.0562024,0,8747330
2,30,2.3173366,0,8747330
3,17,3.9213467,0,8747330
4,20,4.1835146,0,8747330
5,27,2.591177,0,8747330
6,22,3.4021597,0,8747330
7,24,2.697081,0,8747330
8,17,4.063627,0,8747330
9,23,4.6174116,0,8747330
10,22,3.8280265,0,8747330
11,20,3.4508195,0,8747330
12,27,3.833797,0,8747330
13,26,3.777089,0,8747330
14,14,5.079158,0,8747330
15,22,3.6566064,0,8747330
16,30,3.049967,0,8747330
1,12,4.447429,0,44132726
2,18,4.4077897,0,44132726
3,13,3.438064,0,44132726
4,19,4.0138073,0,44132726
5,22,3.4320478,0,44132726
6,22,3.9917116,0,44132726
7,27,3.8068035,0,44132726
8,11,5.053864,0,44132726
9,20,4.05193,0,44132726
1,31,2.258953,0,19879505
2,30,3.8722749,0,19879505
3,22,3.7008471,0,19879505
4,33,2.8022785,0,19879505
5,24,4.2512064,0,19879505
6,27,3.9438667,0,19879505
7,19,3.922717,0,19879505
1,26,2.5735223,0,54056603
2,32,2.357632,0,54056603
3,29,3.5233152,0,54056603
4,8,5.5063033,0,54056603
5,34,2.619977,0,54056603
6,25,3.3742752,0,54056603
7,27,4.3099747,0,54056603
8,18,4.52735,0,54056603
1,32,2.19343,0,2093974
2,24,2.9489944,0,2093974
3,27,2.7489364,0,2093974
4,22,4.0765567,0,2093974
5,25,3.2439952,0,2093974
6,18,3.867654,0,2093974
1,13,2.7021527,0,25580107
2,16,2.9766808,0,25580107
3,11,4.7177362,0,25580107
4,13,3.5220022,0,25580107
5,26,2.93751,0,25580107
6,19,3.6775963,0,25580107
7,13,5.2595916,0,25580107
8,21,5.008867,0,25580107
9,12,5.1759834,0,25580107
10,17,4.5909715,0,25580107
11,19,3.2761354,0,25580107
12,25,3.3580265,0,25580107
1,27,2.1084194,0,8768710
2,12,3.4897642,0,8768710
3,15,2.7364893,0,8768710
4,17,3.405163,0,8768710
5,23,3.9836776,0,8768710
1,18,4.0769067,0,575970
2,13,4.0068245,0,575970
3,21,3.0900238,0,575970
4,30,2.3900144,0,575970
5,23,3.4445245,0,575970
6,16,4.9048653,0,575970
7,24,3.86497,0,575970
1,13,3.3651354,0,31030281
2,12,5.24031,0,31030281
3,21,2.744842,0,31030281
4,18,4.7401123,0,31030281
5,15,5.09689,0,31030281
6,14,3.6505098,0,31030281
7,22,3.5693629,0,31030281
8,27,3.70439,0,31030281
1,28,1.9304419,0,21903487
2,19,3.9380012,0,21903487
3,16,3.6169884,0,21903487
4,40,2.8029344,0,21903487
5,27,3.140215,0,21903487
1,30,1.9911945,0,1759538
2,21,3.2999132,0,1759538
3,29,3.07563,0,1759538
4,25,3.3724852,0,1759538
5,23,4.5149546,0,1759538
6,12,3.9207013,0,1759538
1,28,2.6473675,0,4864858
2,19,2.6475775,0,4864858
3,19,3.9653218,0,4864858
4,21,2.6720295,0,4864858
5,13,4.372167,0,4864858
6,35,1.7940664,0,4864858
7,9,6.518144,0,4864858
8,15,4.6574984,0,4864858
9,11,6.157519,0,4864858
1,17,3.2089965,0,52666398
2,26,2.3183427,0,52666398
3,32,2.5627637,0,52666398
4,17,3.5548084,0,52666398
5,20,2.8441312,0,52666398
6,18,3.6815236,0,52666398
7,9,4.6436696,0,52666398
1,14,4.111692,0,10882098
2,26,3.1787393,0,10882098
3,12,4.390674,0,10882098
4,16,4.304519,0,10882098
5,25,2.570892,0,10882098
6,16,4.763133,0,10882098
7,19,5.9259553,0,10882098
1,16,3.348145,0,2756344
2,17,3.5529425,0,2756344
3,34,2.5942862,0,2756344
4,22,3.3281665,0,2756344
5,17,4.0572467,0,2756344
6,32,2.4006093,0,2756344
7,20,4.3922815,0,2756344
1,14,2.7356484,0,10226407
2,18,3.9977741,0,10226407
3,18,2.7411933,0,10226407
4,24,3.340809,0,10226407
5,21,2.7093918,0,10226407
6,21,4.0448184,0,10226407
7,19,4.1088705,0,10226407
1,8,3.9412227,0,1694580
2,8,6.674941,0,1694580
3,19,3.4181561,0,1694580
4,27,3.303147,0,1694580
5,26,3.3946917,0,1694580
6,27,3.06858,0,1694580
7,13,4.287974,0,1694580
1,26,2.8209703,0,35642069
2,16,3.7349436,0,35642069
3,20,3.35397,0,35642069
4,20,3.2363212,0,35642069
5,14,4.939106,0,35642069
6,16,4.2129345,0,35642069
7,24,3.470407,0,35642069
8,22,3.746567,0,35642069
9,18,4.37124,0,35642069
1,18,2.953637,0,60723503
2,17,4.763928,0,60723503
3,19,3.2263682,0,60723503
4,25,3.224097,0,60723503
5,23,4.2562523,0,60723503
6,27,4.28682,0,60723503
1,13,5.6662664,0,59923155
2,26,3.3768144,0,59923155
3,18,3.9423285,0,59923155
4,24,3.455144,0,59923155
5,19,4.8634295,0,59923155
1,14,3.2111733,0,3351416
2,19,4.177806,0,3351416
3,23,3.9026139,0,3351416
4,19,3.6465757,0,3351416
5,22,3.516122,0,3351416
1,15,3.7507076,0,1740941
2,17,3.3091803,0,1740941
3,33,2.6296415,0,1740941
4,19,3.9276798,0,1740941
5,21,3.4595323,0,1740941
6,13,4.7056985,0,1740941
7,14,4.943627,0,1740941
8,21,3.436353,0,1740941
1,15,3.765827,0,9191770
2,28,3.3514621,0,9191770
3,22,4.026809,0,9191770
4,22,4.117865,0,9191770
5,33,2.8649502,0,9191770
6,22,4.8572106,0,9191770
7,20,3.5720232,0,9191770
8,25,3.2460587,0,9191770
9,8,8.855463,0,9191770
1,23,4.3645,0,25717517
2,23,3.9691513,0,25717517
3,17,3.7880294,0,25717517
4,17,4.7275577,0,25717517
5,23,4.0850697,0,25717517
1,19,3.6060534,0,52361785
2,18,2.2934341,0,52361785
3,24,4.148718,0,52361785
4,27,3.318379,0,52361785
5,30,3.2627914,0,52361785
1,20,3.6212692,0,55942220
2,14,5.0083933,0,55942220
3,18,4.1602755,0,55942220
4,27,2.1280777,0,55942220
5,27,2.7546215,0,55942220
6,22,3.7078488,0,55942220
7,20,3.5701785,0,55942220
8,25,4.298184,0,55942220
1,26,2.549907,0,88515
2,12,4.6674876,0,88515
3,18,4.067267,0,88515
4,19,3.6382759,0,88515
5,19,3.6056256,0,88515
6,20,3.7621865,0,88515
1,23,2.5565126,0,35153335
2,30,2.8192096,0,35153335
1,13,3.1582694,0,66245878
2,14,3.0782726,0,66245878
3,17,4.277578,0,66245878
4,15,4.126649,0,66245878
5,21,3.155219,0,66245878
6,24,3.8522298,0,66245878
7,25,2.6304944,0,66245878
8,24,3.483824,0,66245878
1,10,5.7514033,0,32221219
2,11,5.4971676,0,32221219
3,21,3.8367317,0,32221219
4,19,3.9473858,0,32221219
5,23,3.6448789,0,32221219
6,21,4.0469384,0,32221219
1,15,3.8821461,0,3815360
2,18,4.7279983,0,3815360
3,16,4.3950734,0,3815360
4,19,4.542331,0,3815360
5,23,3.2079036,0,3815360
6,29,3.3467965,0,3815360
7,23,3.3796618,0,3815360
8,26,2.8145874,0,3815360
9,28,2.8021402,0,3815360
1,26,3.2825255,0,1256184
2,12,4.510512,0,1256184
3,24,3.8356104,0,1256184
4,24,3.524267,0,1256184
5,28,3.3394365,0,1256184
6,21,4.163637,0,1256184
1,26,2.025135,0,24098326
2,23,2.8414092,0,24098326
3,22,3.4587886,0,24098326
4,20,5.3298564,0,24098326
5,21,4.0418425,0,24098326
1,18,2.568669,0,40847712
2,24,2.90729,0,40847712
3,23,3.9777396,0,40847712
4,16,3.5854578,0,40847712
5,25,3.256857,0,40847712
6,19,4.394493,0,40847712
7,27,3.3535976,0,40847712
8,19,3.2865808,0,40847712
9,26,3.7853303,0,40847712
10,23,3.2409823,0,40847712
1,32,2.2608948,0,18008116
2,19,3.8168473,0,18008116
3,15,3.7545216,0,18008116
4,16,4.2784886,0,18008116
5,30,3.1187918,0,18008116
6,28,3.9801993,0,18008116
1,14,3.2492144,0,27988375
2,36,1.6723955,0,27988375
3,29,2.516403,0,27988375
4,20,3.1274104,0,27988375
5,22,3.766533,0,27988375
6,24,3.074855,0,27988375
1,19,2.46304,0,6017579
2,29,3.134286,0,6017579
3,17,3.241607,0,6017579
4,30,2.3015254,0,6017579
5,18,3.7696629,0,6017579
6,34,2.5431597,0,6017579
7,28,3.2562509,0,6017579
8,34,3.015982,0,6017579
1,15,2.0667403,0,20513326
2,19,3.7772198,0,20513326
3,32,2.099088,0,20513326
4,25,2.8337681,0,20513326
5,20,3.2976134,0,20513326
6,29,3.5462315,0,20513326
7,16,5.25295,0,20513326
1,17,4.3439255,0,18545784
2,30,2.5449286,0,18545784
3,28,2.8278768,0,18545784
4,28,3.9179595,0,18545784
5,23,4.5336595,0,18545784
1,17,3.2639656,0,12192850
2,14,5.1799784,0,12192850
3,15,3.7471135,0,12192850
4,23,2.2373378,0,12192850
5,23,3.8263729,0,12192850
6,27,3.5829728,0,12192850
7,18,3.814173,0,12192850
8,21,3.3150887,0,12192850
9,20,3.6330094,0,12192850
1,16,3.8472495,0,17047239
2,21,2.6682165,0,17047239
3,17,3.3612065,0,17047239
4,19,3.8092022,0,17047239
5,16,4.4461036,0,17047239
6,24,3.451178,0,17047239
1,21,3.7944632,0,5895654
2,14,3.6912355,0,5895654
3,17,5.088101,0,5895654
4,16,4.491233,0,5895654
5,18,3.0573072,0,5895654
6,28,3.5039847,0,5895654
1,31,2.5549555,0,5035612
2,31,2.9060624,0,5035612
3,22,2.9563272,0,5035612
4,24,4.3360057,0,5035612
5,32,3.1277068,0,5035612
6,14,4.27791,0,5035612
1,26,2.691906,0,5803885
1,31,2.954593,0,30216652
2,26,3.0156183,0,30216652
3,12,3.5745296,0,30216652
4,15,4.1270375,0,30216652
5,17,4.0892754,0,30216652
6,21,4.0267925,0,30216652
7,20,4.3052373,0,30216652
8,15,5.151066,0,30216652
1,16,2.957869,0,15460257
2,17,3.119176,0,15460257
3,21,2.2683814,0,15460257
4,19,3.3648384,0,15460257
5,25,3.3168335,0,15460257
6,19,3.3111148,0,15460257
7,29,2.6649916,0,15460257
8,23,2.446004,0,15460257
9,21,2.9873164,0,15460257
1,16,4.1771493,0,7292674
2,24,3.5419698,0,7292674
3,21,3.220572,0,7292674
4,14,4.454607,0,7292674
5,18,3.4659543,0,7292674
6,29,2.8370016,0,7292674
7,24,3.3128066,0,7292674
8,21,3.7037106,0,7292674
9,25,4.178752,0,7292674
10,22,3.4419634,0,7292674
11,19,4.5349617,0,7292674
12,23,3.7011445,0,7292674
13,29,3.3452108,0,7292674
14,28,3.0927389,0,7292674
15,32,3.4013507,0,7292674
16,25,3.1032012,0,7292674
17,19,5.1976905,0,7292674
18,15,6.091109,0,7292674
1,26,2.155907,0,463144
2,21,2.4091213,0,463144
3,24,3.708792,0,463144
4,33,2.6276498,0,463144
1,18,3.4461796,0,2285527
2,17,3.1295469,0,2285527
3,17,4.4687347,0,2285527
4,29,2.0530791,0,2285527
5,22,3.6249747,0,2285527
1,14,4.792699,0,107572
2,10,5.929585,0,107572
3,12,3.6571486,0,107572
4,13,3.839629,0,107572
5,11,4.2186823,0,107572
6,21,4.9651446,0,107572
7,16,4.059732,0,107572
8,13,4.9534287,0,107572
9,23,3.2997358,0,107572
10,22,3.7611604,0,107572
11,23,3.6708875,0,107572
12,19,3.750933,0,107572
13,21,4.2342534,0,107572
14,14,4.990504,0,107572
15,34,2.8755262,0,107572
1,20,2.415846,0,1745457
2,13,4.2462645,0,1745457
3,19,2.4741178,0,1745457
4,19,2.9002242,0,1745457
5,25,3.315792,0,1745457
6,12,3.9550674,0,1745457
7,19,3.27853,0,1745457
8,32,2.35898,0,1745457
9,24,3.2430909,0,1745457
1,22,3.185823,0,25862612
2,30,2.2745857,0,25862612
3,23,3.8215196,0,25862612
4,25,3.225614,0,25862612
5,29,3.0669737,0,25862612
6,18,4.777268,0,25862612
7,25,4.829472,0,25862612
8,23,3.7621315,0,25862612
9,21,3.6818254,0,25862612
10,19,5.4581895,0,25862612
11,26,3.697603,0,25862612
1,17,4.550733,0,11788773
2,26,2.8790088,0,11788773
3,26,3.7911072,0,11788773
4,18,3.5588043,0,11788773
5,25,4.0334344,0,11788773
6,24,4.0228343,0,11788773
7,37,3.109762,0,11788773
1,22,3.0372934,0,21113449
2,31,2.2183793,0,21113449
3,30,1.8972275,0,21113449
4,35,2.1746693,0,21113449
1,17,4.162638,0,2009658
2,18,3.6739368,0,2009658
3,21,3.5581956,0,2009658
4,24,3.326349,0,2009658
5,34,2.3441725,0,2009658
6,22,2.9671445,0,2009658
7,30,3.9762,0,2009658
1,17,4.387528,0,491844
2,20,3.3457992,0,491844
3,12,3.0719516,0,491844
4,17,4.304375,0,491844
5,25,2.438945,0,491844
6,21,2.8769197,0,491844
7,15,3.29405,0,491844
8,22,3.8617194,0,491844
9,23,3.36127,0,491844
