num,length,response,context_length,name
1,21,2.3829896,0,26709147
2,19,2.3054342,0,26709147
3,17,2.517137,0,26709147
4,14,2.7422574,0,26709147
5,26,3.6135712,0,26709147
6,17,2.8331933,0,26709147
7,18,3.2620745,0,26709147
8,19,2.2901154,0,26709147
9,24,3.7754104,0,26709147
10,24,3.1288638,0,26709147
11,19,2.940302,0,26709147
12,20,2.3246965,0,26709147
13,21,2.6811407,0,26709147
14,23,2.9243448,0,26709147
15,24,2.6273828,0,26709147
16,22,2.863849,0,26709147
1,15,2.7488627,0,4508056
2,26,2.0641823,0,4508056
3,22,2.7911856,0,4508056
4,22,2.650628,0,4508056
5,28,2.4291131,0,4508056
1,17,3.4483018,0,50875
2,18,1.4721682,0,50875
3,23,2.2501936,0,50875
4,30,2.162322,0,50875
5,30,2.2098358,0,50875
6,23,2.6158226,0,50875
7,25,2.7295878,0,50875
1,24,1.9542575,0,36670656
2,19,2.3450665,0,36670656
3,26,2.0477808,0,36670656
4,20,2.5060935,0,36670656
5,20,2.5939205,0,36670656
6,17,2.4280627,0,36670656
1,16,3.6381347,0,11907622
2,10,4.4201136,0,11907622
3,13,2.934503,0,11907622
4,10,4.925754,0,11907622
5,23,2.763977,0,11907622
6,19,2.141787,0,11907622
7,22,2.66998,0,11907622
1,28,1.6481662,0,4352382
2,17,2.596402,0,4352382
3,22,2.3693123,0,4352382
4,21,2.9131055,0,4352382
5,29,2.0110908,0,4352382
6,16,2.6003437,0,4352382
7,18,3.1411495,0,4352382
8,16,2.3563168,0,4352382
9,16,1.9232277,0,4352382
10,23,2.867848,0,4352382
11,21,2.6520703,0,4352382
12,25,2.1202903,0,4352382
1,29,2.4757578,0,31533973
2,20,2.0126576,0,31533973
3,19,2.6373258,0,31533973
4,21,1.8959467,0,31533973
5,19,2.5630147,0,31533973
6,20,3.1380699,0,31533973
7,24,2.3970244,0,31533973
1,32,1.5883174,0,758725
2,36,1.8647759,0,758725
3,32,2.6341712,0,758725
4,17,2.158126,0,758725
5,15,2.578895,0,758725
6,23,2.6634746,0,758725
7,26,2.9619079,0,758725
8,27,2.9605188,0,758725
9,25,3.240698,0,758725
10,39,2.207537,0,758725
1,18,2.7097514,0,39905881
2,30,2.388062,0,39905881
3,25,2.3021946,0,39905881
4,33,2.4271307,0,39905881
5,30,2.4465744,0,39905881
1,28,3.1227016,0,52727235
2,24,2.604453,0,52727235
3,33,2.9516478,0,52727235
4,22,3.13017,0,52727235
5,22,2.3516762,0,52727235
1,20,2.0257668,0,8747330
2,30,1.4713061,0,8747330
3,17,2.4085848,0,8747330
4,20,2.4273326,0,8747330
5,27,2.0801833,0,8747330
6,22,2.5250316,0,8747330
7,24,2.2789226,0,8747330
8,17,2.9656954,0,8747330
9,23,3.4123003,0,8747330
10,22,2.9988317,0,8747330
11,20,2.6544228,0,8747330
12,27,2.7406223,0,8747330
13,26,2.3665318,0,8747330
14,14,3.275007,0,8747330
15,22,2.6275668,0,8747330
16,30,2.4714048,0,8747330
1,12,2.975336,0,44132726
2,18,3.436656,0,44132726
3,13,2.5433407,0,44132726
4,19,2.4560144,0,44132726
5,22,3.170376,0,44132726
6,22,3.3311386,0,44132726
7,27,3.1544082,0,44132726
8,11,3.6947134,0,44132726
9,20,3.1243045,0,44132726
1,31,1.9539671,0,19879505
2,30,2.4439363,0,19879505
3,22,2.7326262,0,19879505
4,33,2.2620602,0,19879505
5,24,3.1573374,0,19879505
6,27,2.973719,0,19879505
7,19,3.3771403,0,19879505
1,26,2.0146441,0,54056603
2,32,1.872333,0,54056603
3,29,2.4597514,0,54056603
4,8,3.8681095,0,54056603
5,34,1.8540046,0,54056603
6,25,2.6410265,0,54056603
7,27,2.7699022,0,54056603
8,18,3.506995,0,54056603
1,32,2.1812706,0,2093974
2,24,1.721398,0,2093974
3,27,2.0646884,0,2093974
4,22,3.676161,0,2093974
5,25,2.029954,0,2093974
6,18,2.2315257,0,2093974
1,13,2.2458873,0,25580107
2,16,2.0822952,0,25580107
3,11,3.2583141,0,25580107
4,13,2.38943,0,25580107
5,26,2.1719763,0,25580107
6,19,2.5031354,0,25580107
7,13,3.1482403,0,25580107
8,21,2.7788172,0,25580107
9,12,2.9326754,0,25580107
10,17,3.566293,0,25580107
11,19,2.6709845,0,25580107
12,25,2.568729,0,25580107
1,27,1.550613,0,8768710
2,12,1.8105005,0,8768710
3,15,1.8793393,0,8768710
4,17,2.3890448,0,8768710
5,23,2.264271,0,8768710
1,18,3.149605,0,575970
2,13,2.4806478,0,575970
3,21,2.2127411,0,575970
4,30,1.8136014,0,575970
5,23,2.5424435,0,575970
6,16,3.3740833,0,575970
7,24,2.921411,0,575970
1,13,2.5055895,0,31030281
2,12,2.2088797,0,31030281
3,21,1.9855133,0,31030281
4,18,3.5925794,0,31030281
5,15,3.764536,0,31030281
6,14,2.6360362,0,31030281
7,22,2.4951732,0,31030281
8,27,2.518333,0,31030281
1,28,2.2403014,0,21903487
2,19,1.8317367,0,21903487
3,16,2.2921968,0,21903487
4,40,1.9462224,0,21903487
5,27,2.3413222,0,21903487
1,30,1.9914559,0,1759538
2,21,2.5647867,0,1759538
3,29,1.9018111,0,1759538
4,25,2.3388278,0,1759538
5,23,3.0451403,0,1759538
6,12,2.1242762,0,1759538
1,28,2.2004824,0,4864858
2,19,1.8882555,0,4864858
3,19,2.096183,0,4864858
4,21,1.9455042,0,4864858
5,13,2.6439972,0,4864858
6,35,1.7604197,0,4864858
7,9,3.6819038,0,4864858
8,15,3.3554697,0,4864858
9,11,3.4803004,0,4864858
1,17,2.1950927,0,52666398
2,26,1.925818,0,52666398
3,32,1.4666933,0,52666398
4,17,2.5129323,0,52666398
5,20,1.8982569,0,52666398
6,18,2.5290077,0,52666398
7,9,3.3709276,0,52666398
1,14,2.5661798,0,10882098
2,26,3.416791,0,10882098
3,12,3.4599075,0,10882098
4,16,2.5455356,0,10882098
5,25,2.6211498,0,10882098
6,16,2.549618,0,10882098
7,19,3.3555555,0,10882098
1,16,2.6084046,0,2756344
2,17,2.2358859,0,2756344
3,34,1.9503362,0,2756344
4,22,3.0811517,0,2756344
5,17,2.6740959,0,2756344
6,32,2.2742174,0,2756344
7,20,2.9407377,0,2756344
1,14,2.4128914,0,10226407
2,18,2.3890946,0,10226407
3,18,1.9534969,0,10226407
4,24,2.3349285,0,10226407
5,21,1.8846936,0,10226407
6,21,2.9964466,0,10226407
7,19,2.623242,0,10226407
1,8,2.3437047,0,1694580
2,8,4.7717147,0,1694580
3,19,1.8789351,0,1694580
4,27,2.1090024,0,1694580
