num,length,response,context_length,name
1,21,1.9767714,0,26709147
2,19,1.9629812,0,26709147
3,17,2.4986746,0,26709147
4,14,2.8086283,0,26709147
5,26,3.6463068,0,26709147
6,17,2.7160373,0,26709147
7,18,3.2168896,0,26709147
8,19,2.3739982,0,26709147
9,24,3.8451962,0,26709147
10,24,3.1926415,0,26709147
11,19,3.170025,0,26709147
12,20,2.5664036,0,26709147
13,21,2.3050275,0,26709147
14,23,2.8122485,0,26709147
15,24,3.0597606,0,26709147
16,22,3.129116,0,26709147
1,15,2.3120124,0,4508056
2,26,1.8056855,0,4508056
3,22,2.616222,0,4508056
4,22,2.8397121,0,4508056
5,28,2.6169167,0,4508056
1,17,3.282489,0,50875
2,18,1.2311738,0,50875
3,23,2.4148126,0,50875
4,30,2.3339734,0,50875
5,30,2.4463506,0,50875
6,23,2.9993865,0,50875
7,25,2.7628446,0,50875
1,24,1.7086062,0,36670656
2,19,2.0386353,0,36670656
3,26,1.817698,0,36670656
4,20,2.6040058,0,36670656
5,20,2.318521,0,36670656
6,17,1.9896338,0,36670656
1,16,2.6873994,0,11907622
2,10,3.628986,0,11907622
3,13,2.9910438,0,11907622
4,10,4.4578424,0,11907622
5,23,2.8982143,0,11907622
6,19,2.305384,0,11907622
7,22,2.6916606,0,11907622
1,28,1.4997333,0,4352382
2,17,2.136502,0,4352382
3,22,2.291881,0,4352382
4,21,2.5657446,0,4352382
5,29,1.5937372,0,4352382
6,16,2.370082,0,4352382
7,18,2.903535,0,4352382
8,16,1.9741685,0,4352382
9,16,1.6119124,0,4352382
10,23,2.8832545,0,4352382
11,21,2.4816916,0,4352382
12,25,2.4632356,0,4352382
1,29,2.287731,0,31533973
2,20,2.053368,0,31533973
3,19,2.357281,0,31533973
4,21,1.7343847,0,31533973
5,19,2.3396006,0,31533973
6,20,3.2760794,0,31533973
7,24,2.5233266,0,31533973
1,32,1.550599,0,758725
2,36,1.721069,0,758725
3,32,2.6352854,0,758725
4,17,2.2651885,0,758725
5,15,2.2123315,0,758725
6,23,2.4798753,0,758725
7,26,2.9626493,0,758725
8,27,2.9752991,0,758725
9,25,3.3942165,0,758725
10,39,2.363328,0,758725
1,18,2.3628445,0,39905881
2,30,2.558632,0,39905881
3,25,2.5134037,0,39905881
4,33,2.4355602,0,39905881
5,30,2.1416962,0,39905881
1,28,2.9439135,0,52727235
2,24,2.492074,0,52727235
3,33,3.0250492,0,52727235
4,22,3.0877435,0,52727235
5,22,2.523328,0,52727235
1,20,1.7432463,0,8747330
2,30,1.5534458,0,8747330
3,17,2.174298,0,8747330
4,20,2.3234546,0,8747330
5,27,1.8089262,0,8747330
6,22,2.745044,0,8747330
7,24,2.0496564,0,8747330
8,17,2.9027,0,8747330
9,23,2.7805195,0,8747330
