num,length,response,context_length,name
1,21,1.917487,0,26709147
2,19,1.9460135,0,26709147
3,17,1.9558406,0,26709147
4,14,2.964235,0,26709147
5,26,3.589229,0,26709147
6,17,3.08521,0,26709147
7,18,3.2968907,0,26709147
8,19,2.0333629,0,26709147
9,24,3.5694191,0,26709147
10,24,2.7914565,0,26709147
11,19,2.863382,0,26709147
12,20,1.7610359,0,26709147
13,21,2.2004774,0,26709147
14,23,2.314675,0,26709147
15,24,2.5365899,0,26709147
16,22,2.8744154,0,26709147
1,15,2.2879727,0,4508056
2,26,1.915765,0,4508056
3,22,2.4736378,0,4508056
4,22,2.325583,0,4508056
5,28,2.0578227,0,4508056
1,17,3.1454308,0,50875
2,18,1.2320508,0,50875
3,23,1.9953378,0,50875
4,30,1.9143095,0,50875
5,30,2.040548,0,50875
6,23,2.1970477,0,50875
7,25,2.1746154,0,50875
1,24,2.4146707,0,36670656
2,19,2.1142914,0,36670656
3,26,1.9090929,0,36670656
4,20,2.6173258,0,36670656
5,20,2.262693,0,36670656
6,17,1.8332626,0,36670656
1,16,3.007132,0,11907622
2,10,3.9098752,0,11907622
3,13,2.565457,0,11907622
4,10,4.4151917,0,11907622
5,23,2.6156774,0,11907622
6,19,1.7550987,0,11907622
7,22,2.015957,0,11907622
1,28,1.7926235,0,4352382
2,17,1.840682,0,4352382
3,22,1.9933828,0,4352382
4,21,2.733565,0,4352382
5,29,1.5902096,0,4352382
6,16,2.6437535,0,4352382
7,18,2.5884533,0,4352382
8,16,1.844106,0,4352382
9,16,1.7065123,0,4352382
10,23,2.9232197,0,4352382
11,21,1.8732923,0,4352382
12,25,2.7598588,0,4352382
1,29,2.798906,0,31533973
2,20,1.6740067,0,31533973
3,19,1.8655617,0,31533973
4,21,1.605812,0,31533973
5,19,1.8258748,0,31533973
6,20,2.5208435,0,31533973
7,24,1.7035855,0,31533973
1,32,1.4904473,0,758725
2,36,1.6674072,0,758725
3,32,2.3481975,0,758725
4,17,1.7681562,0,758725
5,15,2.209453,0,758725
6,23,2.3121495,0,758725
7,26,2.5828352,0,758725
8,27,2.6525402,0,758725
9,25,2.6144557,0,758725
10,39,1.8979862,0,758725
1,18,2.306307,0,39905881
2,30,1.8974681,0,39905881
3,25,1.9065531,0,39905881
4,33,2.0532603,0,39905881
5,30,2.068752,0,39905881
1,28,2.5745726,0,52727235
2,24,2.364166,0,52727235
3,33,2.6743662,0,52727235
4,22,2.8515773,0,52727235
5,22,1.7249628,0,52727235
1,20,2.5491245,0,8747330
2,30,1.4253143,0,8747330
3,17,2.2557852,0,8747330
4,20,2.2502687,0,8747330
5,27,1.5880657,0,8747330
6,22,1.9981252,0,8747330
7,24,2.0215812,0,8747330
8,17,2.2405407,0,8747330
9,23,2.5775664,0,8747330
10,22,2.5872936,0,8747330
11,20,2.0617735,0,8747330
12,27,2.9474552,0,8747330
13,26,2.0101097,0,8747330
14,14,3.3581886,0,8747330
15,22,2.1747465,0,8747330
16,30,2.0602827,0,8747330
1,12,2.476522,0,44132726
2,18,3.6435826,0,44132726
3,13,2.2531316,0,44132726
4,19,2.3882806,0,44132726
5,22,2.452724,0,44132726
6,22,3.222272,0,44132726
7,27,2.8797948,0,44132726
8,11,3.2053344,0,44132726
9,20,2.760784,0,44132726
1,31,1.8293604,0,19879505
2,30,2.3582041,0,19879505
3,22,2.3865967,0,19879505
4,33,2.010944,0,19879505
5,24,2.6555948,0,19879505
6,27,2.468574,0,19879505
7,19,2.443079,0,19879505
1,26,1.8801335,0,54056603
2,32,1.954224,0,54056603
3,29,2.0633156,0,54056603
4,8,3.3374364,0,54056603
5,34,1.7985501,0,54056603
6,25,2.1414301,0,54056603
7,27,2.4218946,0,54056603
8,18,2.973786,0,54056603
1,32,2.0648992,0,2093974
2,24,1.5634801,0,2093974
3,27,1.677716,0,2093974
4,22,3.1480374,0,2093974
5,25,1.7074504,0,2093974
6,18,2.0747232,0,2093974
1,13,2.2730796,0,25580107
2,16,1.7984675,0,25580107
3,11,3.178744,0,25580107
4,13,2.3186324,0,25580107
5,26,1.7707901,0,25580107
6,19,1.7910686,0,25580107
7,13,2.2484014,0,25580107
8,21,2.48455,0,25580107
9,12,2.605874,0,25580107
10,17,2.6449683,0,25580107
11,19,1.88768,0,25580107
12,25,2.1571653,0,25580107
1,27,1.5963458,0,8768710
2,12,1.283754,0,8768710
3,15,1.5806824,0,8768710
4,17,1.8284466,0,8768710
5,23,1.7282752,0,8768710
1,18,3.101593,0,575970
2,13,1.8911558,0,575970
3,21,2.0966702,0,575970
4,30,1.4616648,0,575970
5,23,2.2067692,0,575970
6,16,2.534719,0,575970
7,24,2.7840774,0,575970
1,13,3.4211178,0,31030281
2,12,1.8455781,0,31030281
3,21,1.6389495,0,31030281
4,18,2.7131863,0,31030281
5,15,3.300168,0,31030281
6,14,2.7048588,0,31030281
7,22,1.9929713,0,31030281
8,27,2.586254,0,31030281
1,28,1.6323158,0,21903487
2,19,1.4483569,0,21903487
3,16,2.145839,0,21903487
4,40,1.616789,0,21903487
5,27,1.9490476,0,21903487
1,30,2.0108783,0,1759538
2,21,2.2499664,0,1759538
3,29,1.9203141,0,1759538
4,25,2.3368726,0,1759538
5,23,2.4680142,0,1759538
6,12,1.7515423,0,1759538
1,28,2.8491755,0,4864858
2,19,1.4430068,0,4864858
3,19,1.7594808,0,4864858
4,21,1.5502961,0,4864858
5,13,2.0344753,0,4864858
6,35,1.5082115,0,4864858
7,9,3.962974,0,4864858
8,15,3.1144502,0,4864858
9,11,2.8145425,0,4864858
1,17,2.5023053,0,52666398
2,26,1.5386893,0,52666398
3,32,1.3443869,0,52666398
4,17,1.9819717,0,52666398
5,20,1.4246887,0,52666398
6,18,1.8467958,0,52666398
7,9,2.7402136,0,52666398
1,14,2.2171159,0,10882098
2,26,2.5422788,0,10882098
3,12,2.9073787,0,10882098
4,16,2.0119414,0,10882098
5,25,2.68125,0,10882098
6,16,2.2961795,0,10882098
7,19,3.0133486,0,10882098
1,16,2.4782443,0,2756344
2,17,1.8906614,0,2756344
3,34,1.8634287,0,2756344
4,22,2.4604595,0,2756344
5,17,2.236071,0,2756344
6,32,2.087962,0,2756344
7,20,2.62125,0,2756344
1,14,2.1585424,0,10226407
2,18,1.9864727,0,10226407
3,18,1.7786894,0,10226407
4,24,2.3078234,0,10226407
5,21,1.5787829,0,10226407
6,21,2.506348,0,10226407
7,19,2.3363557,0,10226407
1,8,3.124633,0,1694580
2,8,3.739244,0,1694580
3,19,1.6975367,0,1694580
4,27,2.2352715,0,1694580
5,26,1.8572514,0,1694580
6,27,2.2307363,0,1694580
7,13,2.023126,0,1694580
1,26,2.279076,0,35642069
2,16,1.7749367,0,35642069
3,20,1.5522609,0,35642069
4,20,1.7041188,0,35642069
5,14,2.648864,0,35642069
6,16,2.6368973,0,35642069
7,24,1.5765507,0,35642069
8,22,1.7644755,0,35642069
9,18,1.9667865,0,35642069
1,18,2.1253824,0,60723503
2,17,2.893815,0,60723503
3,19,2.0690565,0,60723503
4,25,2.0433507,0,60723503
5,23,1.9566005,0,60723503
6,27,1.5497894,0,60723503
1,13,3.3252888,0,59923155
2,26,1.7967011,0,59923155
3,18,2.2323527,0,59923155
4,24,2.6893694,0,59923155
5,19,2.1780674,0,59923155
1,14,1.9990427,0,3351416
2,19,2.3059993,0,3351416
3,23,2.0344248,0,3351416
4,19,2.0835195,0,3351416
5,22,1.7964523,0,3351416
1,15,2.1947966,0,1740941
2,17,1.3042504,0,1740941
3,33,1.8817126,0,1740941
4,19,2.107544,0,1740941
5,21,2.2976468,0,1740941
6,13,2.8137248,0,1740941
7,14,2.554604,0,1740941
8,21,2.2081983,0,1740941
1,15,3.0896535,0,9191770
2,28,1.5540239,0,9191770
3,22,2.893153,0,9191770
4,22,1.8775225,0,9191770
5,33,1.5358639,0,9191770
6,22,2.790461,0,9191770
7,20,1.649632,0,9191770
8,25,1.5591848,0,9191770
9,8,5.933686,0,9191770
1,23,2.5596783,0,25717517
2,23,2.289957,0,25717517
3,17,2.631108,0,25717517
4,17,2.1450715,0,25717517
5,23,2.2058332,0,25717517
1,19,2.5258994,0,52361785
2,18,1.0751733,0,52361785
3,24,2.2057667,0,52361785
4,27,2.2011414,0,52361785
5,30,2.1610548,0,52361785
1,20,3.0195565,0,55942220
2,14,1.5226253,0,55942220
3,18,2.1038768,0,55942220
4,27,1.5701698,0,55942220
5,27,1.6922143,0,55942220
6,22,2.3682714,0,55942220
7,20,2.2645094,0,55942220
8,25,1.7241082,0,55942220
1,26,2.6251252,0,88515
2,12,3.0713758,0,88515
3,18,1.7630916,0,88515
4,19,1.9659132,0,88515
5,19,1.9891561,0,88515
6,20,2.086967,0,88515
1,23,2.298674,0,35153335
2,30,2.294525,0,35153335
1,13,2.7680995,0,66245878
2,14,1.4678026,0,66245878
