num,length,response,context_length,name
1,12,4.8720317,0,26709147
2,19,3.8771112,0,26709147
3,9,7.2993484,0,26709147
4,26,2.6115322,0,26709147
5,16,3.5258324,0,26709147
6,14,4.815823,0,26709147
7,15,4.582644,0,26709147
8,9,4.7293396,0,26709147
9,18,5.272762,0,26709147
10,12,4.55359,0,26709147
11,16,4.09948,0,26709147
1,18,3.8114429,0,4508056
2,16,4.6501584,0,4508056
3,24,3.4875631,0,4508056
4,19,3.207503,0,4508056
5,17,4.9266324,0,4508056
6,12,3.6834197,0,4508056
7,29,4.405981,0,4508056
8,20,5.0406094,0,4508056
9,17,4.792479,0,4508056
1,21,5.3046575,0,50875
2,16,3.2384412,0,50875
3,28,3.6825197,0,50875
4,13,3.9955745,0,50875
5,7,5.9231224,0,50875
6,13,4.1359315,0,50875
7,22,2.7504084,0,50875
8,21,4.323531,0,50875
9,27,4.0216885,0,50875
10,16,3.9294155,0,50875
11,17,5.0215287,0,50875
12,12,2.852646,0,50875
13,1,10.507529,0,50875
1,16,2.9363701,0,36670656
2,23,3.4219959,0,36670656
3,15,4.7982817,0,36670656
4,20,3.064047,0,36670656
5,19,4.2237325,0,36670656
6,20,4.186818,0,36670656
7,18,2.8223383,0,36670656
8,11,4.144444,0,36670656
9,18,4.3906527,0,36670656
10,9,3.6827366,0,36670656
1,15,5.241483,0,11907622
2,22,3.7579033,0,11907622
3,37,3.2940483,0,11907622
4,23,4.5949597,0,11907622
5,14,6.5725226,0,11907622
6,25,4.892657,0,11907622
7,18,4.401771,0,11907622
8,20,5.364705,0,11907622
9,16,4.3257375,0,11907622
10,19,4.786142,0,11907622
11,12,7.054272,0,11907622
1,33,3.1105955,0,4352382
2,22,3.535483,0,4352382
3,18,3.3810344,0,4352382
4,18,4.532863,0,4352382
5,16,4.196899,0,4352382
6,13,5.450589,0,4352382
7,20,2.7285743,0,4352382
8,17,4.6257977,0,4352382
9,24,3.7197115,0,4352382
10,28,2.8097973,0,4352382
1,20,3.8483722,0,31533973
2,19,3.8957913,0,31533973
3,17,4.2309294,0,31533973
4,16,4.692715,0,31533973
5,15,2.9066885,0,31533973
6,12,5.3262353,0,31533973
7,16,4.271296,0,31533973
8,14,5.126071,0,31533973
9,21,4.033802,0,31533973
10,20,4.7380223,0,31533973
11,12,4.9742427,0,31533973
12,23,2.5114954,0,31533973
13,9,5.230644,0,31533973
1,30,3.644413,0,758725
2,10,6.329489,0,758725
3,8,5.676549,0,758725
4,22,3.683463,0,758725
5,14,5.7947073,0,758725
6,24,3.6998456,0,758725
7,18,5.5325274,0,758725
8,20,4.0819464,0,758725
9,32,4.3574347,0,758725
10,11,6.288499,0,758725
11,24,5.2148333,0,758725
12,13,4.939431,0,758725
