num,length,response,context_length,name
1,12,2.2639928,0,26709147
2,19,2.2559497,0,26709147
3,9,3.7655964,0,26709147
4,26,1.6607916,0,26709147
5,16,2.458913,0,26709147
6,14,2.0215442,0,26709147
7,15,3.351296,0,26709147
8,9,2.4468167,0,26709147
9,18,1.9429489,0,26709147
10,12,2.5109446,0,26709147
11,16,2.1094828,0,26709147
1,18,2.2136936,0,4508056
2,16,2.8019342,0,4508056
3,24,2.6579628,0,4508056
4,19,1.9468251,0,4508056
5,17,3.228347,0,4508056
6,12,2.4626603,0,4508056
7,29,3.3593242,0,4508056
8,20,3.1299903,0,4508056
9,17,2.5333652,0,4508056
1,21,3.3539789,0,50875
2,16,2.1835685,0,50875
3,28,2.148332,0,50875
4,13,1.8496742,0,50875
5,7,3.483779,0,50875
6,13,2.4538505,0,50875
7,22,1.4995278,0,50875
8,21,1.7708687,0,50875
9,27,2.1171324,0,50875
10,16,1.3685223,0,50875
11,17,2.9191852,0,50875
12,12,1.9639696,0,50875
13,1,nan,0,50875
1,16,1.773605,0,36670656
2,23,1.4731083,0,36670656
3,15,1.503283,0,36670656
4,20,1.5923293,0,36670656
5,19,1.771711,0,36670656
6,20,2.0095155,0,36670656
7,18,1.6562806,0,36670656
8,11,1.8590088,0,36670656
9,18,2.2222779,0,36670656
10,9,2.3496497,0,36670656
1,15,2.2610326,0,11907622
2,22,1.8224117,0,11907622
3,37,1.4956033,0,11907622
4,23,2.840018,0,11907622
5,14,2.636591,0,11907622
6,25,2.4936466,0,11907622
7,18,2.907229,0,11907622
8,20,3.5196373,0,11907622
9,16,2.257956,0,11907622
10,19,2.3638558,0,11907622
11,12,3.01931,0,11907622
1,33,1.402785,0,4352382
2,22,1.6948036,0,4352382
3,18,2.040068,0,4352382
4,18,2.1451972,0,4352382
5,16,2.2393775,0,4352382
6,13,2.7911217,0,4352382
7,20,2.4951456,0,4352382
8,17,2.5602295,0,4352382
9,24,2.2295191,0,4352382
10,28,1.6816293,0,4352382
1,20,2.3671606,0,31533973
2,19,1.9322357,0,31533973
3,17,2.2374353,0,31533973
4,16,1.7630913,0,31533973
5,15,1.271908,0,31533973
6,12,2.636329,0,31533973
7,16,1.9525325,0,31533973
8,14,2.831273,0,31533973
9,21,1.9651372,0,31533973
10,20,2.2957528,0,31533973
11,12,2.2926254,0,31533973
12,23,1.6034147,0,31533973
13,9,3.228339,0,31533973
1,30,1.8141685,0,758725
2,10,2.65858,0,758725
3,8,3.4174314,0,758725
4,22,2.279074,0,758725
5,14,2.6444263,0,758725
6,24,1.6045884,0,758725
7,18,2.9103155,0,758725
8,20,1.9848821,0,758725
9,32,3.1401875,0,758725
10,11,2.7803824,0,758725
11,24,3.1155066,0,758725
12,13,3.2452319,0,758725
1,15,2.5115955,0,39905881
2,14,2.0464268,0,39905881
3,14,1.7691354,0,39905881
4,18,2.6196308,0,39905881
5,18,2.8788478,0,39905881
6,21,1.9765605,0,39905881
7,7,2.7485533,0,39905881
8,1,4.8956127,0,39905881
9,9,3.411097,0,39905881
10,24,3.0976996,0,39905881
11,25,2.437617,0,39905881
1,11,3.0190654,0,52727235
2,8,3.2607894,0,52727235
3,8,5.074953,0,52727235
4,14,2.1377196,0,52727235
5,13,2.4288805,0,52727235
6,18,2.9301207,0,52727235
7,16,2.4365783,0,52727235
8,9,2.6644633,0,52727235
9,17,3.4835105,0,52727235
10,17,2.9278946,0,52727235
1,23,1.8833319,0,8747330
2,8,3.2488084,0,8747330
3,15,2.7812939,0,8747330
4,20,1.9847172,0,8747330
5,18,2.7276583,0,8747330
6,18,2.2383106,0,8747330
7,22,2.1797853,0,8747330
8,20,2.4467523,0,8747330
9,16,2.0177712,0,8747330
10,9,3.2492425,0,8747330
1,14,1.5829984,0,44132726
2,13,2.3543265,0,44132726
3,15,2.1459587,0,44132726
4,18,2.3833246,0,44132726
5,16,2.87243,0,44132726
6,24,2.2967184,0,44132726
7,23,2.5464375,0,44132726
8,21,1.7904729,0,44132726
9,19,1.4524218,0,44132726
10,12,1.7568092,0,44132726
11,7,2.6981876,0,44132726
12,28,2.36424,0,44132726
13,12,2.6606336,0,44132726
1,21,2.1169472,0,19879505
2,13,2.407571,0,19879505
3,31,2.3623955,0,19879505
4,22,2.801518,0,19879505
5,17,2.781313,0,19879505
6,22,2.7328455,0,19879505
7,10,3.0167043,0,19879505
8,16,3.1910498,0,19879505
9,18,3.9229174,0,19879505
10,7,3.3431444,0,19879505
11,22,2.768747,0,19879505
12,22,2.6683445,0,19879505
13,20,3.2899225,0,19879505
14,25,2.7749264,0,19879505
1,16,1.6474987,0,54056603
2,21,2.0502574,0,54056603
3,21,1.7523972,0,54056603
4,14,3.2110348,0,54056603
5,16,2.2997496,0,54056603
6,20,3.0392294,0,54056603
7,15,2.9405944,0,54056603
8,9,2.7290595,0,54056603
9,15,3.6851945,0,54056603
10,22,2.368584,0,54056603
11,14,1.922061,0,54056603
12,31,1.4414085,0,54056603
13,7,3.7401912,0,54056603
14,2,2.1842623,0,54056603
1,34,1.4976379,0,2093974
2,8,2.7540858,0,2093974
3,15,1.6822165,0,2093974
4,13,1.9436423,0,2093974
5,22,2.1462379,0,2093974
6,25,2.3821769,0,2093974
7,12,1.9213562,0,2093974
8,27,1.888645,0,2093974
9,28,2.2912726,0,2093974
10,9,2.3376503,0,2093974
11,16,2.4605799,0,2093974
12,7,2.5484765,0,2093974
1,13,2.158695,0,25580107
2,22,1.6254102,0,25580107
3,8,1.982655,0,25580107
4,20,2.2001421,0,25580107
5,21,1.7317798,0,25580107
6,17,1.950137,0,25580107
7,12,3.1533625,0,25580107
8,23,1.7780422,0,25580107
9,19,1.3763683,0,25580107
10,15,2.6643794,0,25580107
11,19,2.0613918,0,25580107
1,12,1.9316874,0,8768710
2,10,2.2496736,0,8768710
3,11,1.8356436,0,8768710
4,16,1.7741481,0,8768710
5,11,2.5699785,0,8768710
6,25,2.103195,0,8768710
7,42,1.9172975,0,8768710
8,21,1.5263528,0,8768710
9,37,1.9341314,0,8768710
10,17,1.6126661,0,8768710
11,12,2.5846543,0,8768710
1,14,2.540003,0,575970
2,9,2.1785166,0,575970
3,23,2.4507394,0,575970
4,13,2.4175594,0,575970
5,15,2.4886134,0,575970
6,20,2.4965281,0,575970
7,18,1.8475841,0,575970
8,10,3.4229677,0,575970
9,14,3.027896,0,575970
10,9,4.2897806,0,575970
11,21,2.0617313,0,575970
12,27,1.4902971,0,575970
13,14,3.0917332,0,575970
14,10,2.2343628,0,575970
1,10,1.916116,0,31030281
2,20,1.7617835,0,31030281
3,22,2.5706007,0,31030281
4,24,1.7062294,0,31030281
5,16,2.263944,0,31030281
6,9,3.2488806,0,31030281
7,19,1.6896743,0,31030281
8,20,1.7617835,0,31030281
9,14,2.6744463,0,31030281
10,18,2.5491612,0,31030281
11,26,1.796129,0,31030281
12,15,3.7400572,0,31030281
1,19,1.5269203,0,21903487
2,31,1.375234,0,21903487
3,10,1.951312,0,21903487
4,18,1.7358315,0,21903487
5,30,2.0819266,0,21903487
6,11,4.041533,0,21903487
7,22,2.2067962,0,21903487
8,7,2.6266725,0,21903487
9,18,2.3908916,0,21903487
10,26,1.5762917,0,21903487
1,16,1.3954479,0,1759538
2,19,1.5697844,0,1759538
3,12,2.0673835,0,1759538
4,7,2.9432113,0,1759538
5,14,2.3399606,0,1759538
6,15,2.3107998,0,1759538
7,15,1.8711665,0,1759538
8,13,1.8095745,0,1759538
9,10,2.634111,0,1759538
10,9,2.707761,0,1759538
11,23,1.312233,0,1759538
12,18,2.3342772,0,1759538
13,8,3.0944045,0,1759538
14,11,2.0203025,0,1759538
15,13,2.573122,0,1759538
1,33,1.7525728,0,4864858
2,11,3.122237,0,4864858
3,27,2.4176023,0,4864858
