num,length,response,context_length,name
1,12,2.7861342,0,26709147
2,19,2.5014024,0,26709147
3,9,4.962148,0,26709147
4,26,1.7400011,0,26709147
5,16,2.556825,0,26709147
6,14,2.3589363,0,26709147
7,15,3.676151,0,26709147
8,9,2.9604042,0,26709147
9,18,2.4311574,0,26709147
10,12,2.7116783,0,26709147
11,16,2.04057,0,26709147
1,18,2.6962752,0,4508056
2,16,3.0197587,0,4508056
3,24,2.6787286,0,4508056
4,19,1.8740623,0,4508056
5,17,3.656855,0,4508056
6,12,2.6477184,0,4508056
7,29,3.2783718,0,4508056
8,20,3.3754053,0,4508056
9,17,2.7599738,0,4508056
1,21,3.5120313,0,50875
2,16,2.4927669,0,50875
3,28,2.328847,0,50875
4,13,2.4383986,0,50875
5,7,4.131432,0,50875
6,13,2.4384582,0,50875
7,22,1.777051,0,50875
8,21,2.125701,0,50875
9,27,2.257206,0,50875
10,16,1.9838117,0,50875
11,17,2.7309732,0,50875
12,12,2.3244102,0,50875
13,1,7.270113,0,50875
1,16,2.0894792,0,36670656
2,23,1.7219543,0,36670656
3,15,2.106102,0,36670656
4,20,1.9586517,0,36670656
5,19,2.0453124,0,36670656
6,20,2.4472024,0,36670656
7,18,2.051224,0,36670656
8,11,2.7023785,0,36670656
9,18,2.702729,0,36670656
10,9,2.9537997,0,36670656
1,15,3.38979,0,11907622
2,22,2.7222235,0,11907622
3,37,1.6088908,0,11907622
4,23,3.0332947,0,11907622
5,14,2.9714959,0,11907622
6,25,2.356988,0,11907622
7,18,3.5367198,0,11907622
8,20,3.483432,0,11907622
9,16,2.5808563,0,11907622
10,19,2.6247497,0,11907622
11,12,3.841874,0,11907622
1,33,1.5458299,0,4352382
2,22,1.856459,0,4352382
3,18,2.1076713,0,4352382
4,18,2.661929,0,4352382
5,16,2.8927746,0,4352382
6,13,3.2238357,0,4352382
7,20,2.8735044,0,4352382
8,17,2.468858,0,4352382
9,24,2.553943,0,4352382
10,28,2.0736158,0,4352382
1,20,2.557681,0,31533973
2,19,2.1345263,0,31533973
3,17,2.4774485,0,31533973
4,16,2.3077536,0,31533973
5,15,1.6669729,0,31533973
6,12,2.5784438,0,31533973
7,16,2.338824,0,31533973
8,14,3.1542313,0,31533973
9,21,2.3606117,0,31533973
10,20,2.704752,0,31533973
11,12,3.1095133,0,31533973
12,23,1.8999783,0,31533973
13,9,3.9953458,0,31533973
1,30,2.2832282,0,758725
2,10,3.221408,0,758725
3,8,3.254295,0,758725
4,22,2.3715575,0,758725
5,14,3.394495,0,758725
6,24,1.9875628,0,758725
7,18,3.1695063,0,758725
8,20,2.2362778,0,758725
9,32,3.0736651,0,758725
10,11,3.2443006,0,758725
11,24,3.378495,0,758725
12,13,3.393814,0,758725
1,15,2.6980221,0,39905881
2,14,2.469765,0,39905881
3,14,2.1613934,0,39905881
4,18,2.5344062,0,39905881
5,18,3.496332,0,39905881
6,21,2.221286,0,39905881
7,7,3.9952686,0,39905881
8,1,8.377905,0,39905881
9,9,4.0215197,0,39905881
10,24,3.4615405,0,39905881
11,25,2.7107627,0,39905881
1,11,2.8650334,0,52727235
2,8,3.6327906,0,52727235
3,8,4.3263845,0,52727235
4,14,2.517252,0,52727235
5,13,2.9240441,0,52727235
6,18,3.2131,0,52727235
7,16,2.7095373,0,52727235
8,9,2.9974601,0,52727235
9,17,3.9074473,0,52727235
10,17,3.5983331,0,52727235
1,23,2.0237603,0,8747330
2,8,3.9195337,0,8747330
3,15,2.5327854,0,8747330
4,20,2.426367,0,8747330
5,18,2.4639392,0,8747330
6,18,2.7656841,0,8747330
7,22,2.36139,0,8747330
8,20,2.766937,0,8747330
9,16,2.1130693,0,8747330
10,9,3.295924,0,8747330
1,14,2.1976826,0,44132726
2,13,2.5773635,0,44132726
3,15,2.3120956,0,44132726
4,18,2.5415218,0,44132726
5,16,3.1940734,0,44132726
6,24,2.5352151,0,44132726
7,23,2.9970527,0,44132726
8,21,1.8772771,0,44132726
9,19,2.310738,0,44132726
10,12,2.2649615,0,44132726
11,7,4.1774154,0,44132726
12,28,2.4668436,0,44132726
13,12,3.2281137,0,44132726
1,21,2.389214,0,19879505
2,13,2.676603,0,19879505
3,31,2.5510206,0,19879505
4,22,3.0174189,0,19879505
5,17,3.0283175,0,19879505
6,22,2.8718033,0,19879505
7,10,3.8038836,0,19879505
8,16,3.3188186,0,19879505
9,18,4.1381025,0,19879505
10,7,3.8892314,0,19879505
11,22,2.950548,0,19879505
12,22,2.847796,0,19879505
13,20,3.4195216,0,19879505
14,25,2.688869,0,19879505
1,16,2.0775487,0,54056603
2,21,2.3587325,0,54056603
3,21,2.0287251,0,54056603
4,14,3.5700438,0,54056603
5,16,2.9685524,0,54056603
6,20,3.4135199,0,54056603
7,15,3.368725,0,54056603
8,9,3.2558525,0,54056603
9,15,4.3043413,0,54056603
10,22,2.7400181,0,54056603
11,14,2.2379715,0,54056603
12,31,1.9441892,0,54056603
13,7,4.4087224,0,54056603
14,2,3.7339272,0,54056603
1,34,1.9985324,0,2093974
2,8,3.2941897,0,2093974
3,15,2.0787482,0,2093974
4,13,2.3893247,0,2093974
5,22,2.3675146,0,2093974
