num,length,response,context_length,name
1,12,2.1429183,0,26709147
2,19,2.1441224,0,26709147
3,9,3.8765872,0,26709147
4,26,1.6598899,0,26709147
5,16,2.7087202,0,26709147
6,14,2.046422,0,26709147
7,15,3.3127391,0,26709147
8,9,2.584092,0,26709147
9,18,2.3628268,0,26709147
10,12,2.493556,0,26709147
11,16,2.2104163,0,26709147
1,18,2.3526561,0,4508056
2,16,3.0546696,0,4508056
3,24,2.9725351,0,4508056
4,19,1.9281952,0,4508056
5,17,3.4416394,0,4508056
6,12,2.5795088,0,4508056
7,29,3.23103,0,4508056
8,20,3.3892074,0,4508056
9,17,2.8589714,0,4508056
1,21,3.2931552,0,50875
2,16,2.1885402,0,50875
3,28,1.9927012,0,50875
4,13,1.9945607,0,50875
5,7,3.4779477,0,50875
6,13,2.3897917,0,50875
7,22,1.6389282,0,50875
8,21,1.4688232,0,50875
9,27,2.5788407,0,50875
10,16,1.4760176,0,50875
11,17,2.2265048,0,50875
12,12,2.1269815,0,50875
13,1,nan,0,50875
1,16,2.647629,0,36670656
2,23,1.7059929,0,36670656
3,15,1.5140158,0,36670656
4,20,1.5544859,0,36670656
5,19,1.7416357,0,36670656
6,20,2.4498954,0,36670656
7,18,1.9508035,0,36670656
8,11,2.0626695,0,36670656
9,18,2.5631955,0,36670656
10,9,2.8460395,0,36670656
1,15,2.6013997,0,11907622
2,22,2.056662,0,11907622
3,37,1.5751703,0,11907622
4,23,2.913431,0,11907622
5,14,2.10386,0,11907622
6,25,2.4292524,0,11907622
7,18,3.572563,0,11907622
8,20,3.2404938,0,11907622
9,16,2.20669,0,11907622
10,19,2.1885347,0,11907622
11,12,3.432072,0,11907622
1,33,1.6509619,0,4352382
2,22,1.8607944,0,4352382
3,18,2.287905,0,4352382
4,18,2.8440306,0,4352382
5,16,2.8277755,0,4352382
6,13,3.0119414,0,4352382
7,20,2.4615927,0,4352382
8,17,2.6755998,0,4352382
9,24,2.32092,0,4352382
10,28,1.9749256,0,4352382
1,20,2.979597,0,31533973
2,19,1.6860856,0,31533973
