num,length,response,context_length,name
1,38,3.6721587,0,26709147
2,20,4.2689962,0,26709147
3,13,4.2020273,0,26709147
4,34,4.135321,0,26709147
5,37,5.877324,0,26709147
6,23,5.6253633,0,26709147
7,14,6.5348,0,26709147
8,23,5.1330724,0,26709147
9,14,4.5370526,0,26709147
10,18,5.9161983,0,26709147
11,21,4.122912,0,26709147
1,14,4.83519,0,4508056
2,16,4.620116,0,4508056
3,26,4.244673,0,4508056
4,29,4.600763,0,4508056
5,28,5.269884,0,4508056
6,21,5.1619015,0,4508056
7,27,4.9192057,0,4508056
8,22,4.3289447,0,4508056
1,41,4.0895357,0,50875
2,54,4.071704,0,50875
3,25,5.099173,0,50875
4,25,5.1585393,0,50875
5,16,5.4082327,0,50875
6,24,6.228256,0,50875
7,9,9.289555,0,50875
1,19,3.1382058,0,36670656
2,40,3.5293415,0,36670656
3,24,4.3324504,0,36670656
4,29,4.5318065,0,36670656
5,45,5.0295167,0,36670656
6,18,5.916797,0,36670656
7,17,4.7823553,0,36670656
1,15,5.241483,0,11907622
2,25,4.7850914,0,11907622
3,19,5.6909785,0,11907622
4,30,3.7085025,0,11907622
5,14,7.3898854,0,11907622
6,15,6.6857166,0,11907622
7,38,6.063043,0,11907622
1,19,3.1888769,0,4352382
2,16,5.7493806,0,4352382
3,19,3.756573,0,4352382
4,18,3.67732,0,4352382
5,17,5.588324,0,4352382
6,14,6.412988,0,4352382
7,18,5.0373654,0,4352382
8,21,4.191065,0,4352382
9,12,4.720384,0,4352382
10,33,4.8099713,0,4352382
11,11,7.5126023,0,4352382
12,16,3.7786748,0,4352382
13,31,4.6650057,0,4352382
14,5,6.3309913,0,4352382
1,20,3.5598018,0,31533973
2,5,7.210054,0,31533973
3,22,4.3450603,0,31533973
4,8,8.795645,0,31533973
5,15,5.3303595,0,31533973
6,24,4.1772647,0,31533973
7,23,5.2310247,0,31533973
8,30,5.4293013,0,31533973
1,16,3.331058,0,758725
2,12,5.037712,0,758725
3,42,4.9664707,0,758725
4,15,5.5841913,0,758725
5,22,4.4005313,0,758725
6,14,6.2769814,0,758725
7,13,6.5413637,0,758725
8,25,4.033422,0,758725
1,13,5.9300113,0,39905881
2,10,4.886186,0,39905881
3,24,4.6024666,0,39905881
4,22,4.9622107,0,39905881
5,31,4.358455,0,39905881
6,47,3.7162132,0,39905881
7,22,5.027218,0,39905881
8,22,5.6923704,0,39905881
1,20,5.941198,0,52727235
2,79,2.3295994,0,52727235
3,133,1.6598116,0,52727235
1,19,4.042595,0,8747330
2,30,6.166517,0,8747330
3,26,4.3276176,0,8747330
4,12,5.2462735,0,8747330
5,17,3.8433826,0,8747330
6,20,4.903482,0,8747330
7,24,3.7866752,0,8747330
8,32,4.912237,0,8747330
9,26,3.7720742,0,8747330
10,30,5.0047464,0,8747330
1,11,6.2741723,0,44132726
2,16,6.3611197,0,44132726
3,13,5.1872697,0,44132726
4,12,8.298681,0,44132726
5,14,8.5423565,0,44132726
6,27,5.0085573,0,44132726
7,13,4.982387,0,44132726
8,39,5.3255014,0,44132726
9,20,5.722236,0,44132726
10,29,3.4759295,0,44132726
1,39,3.5595338,0,19879505
2,23,5.2160153,0,19879505
3,22,5.5338306,0,19879505
4,1,13.173956,0,19879505
5,15,5.8079,0,19879505
6,17,5.93272,0,19879505
7,30,5.3056235,0,19879505
8,23,5.041274,0,19879505
9,20,5.284459,0,19879505
10,21,5.2140894,0,19879505
1,13,3.9090836,0,54056603
2,7,6.1411886,0,54056603
3,11,8.250324,0,54056603
4,30,4.7855234,0,54056603
5,23,4.106888,0,54056603
6,22,3.7779582,0,54056603
7,25,5.512981,0,54056603
8,15,4.6837835,0,54056603
9,28,4.2064915,0,54056603
10,38,4.7941747,0,54056603
1,19,3.2968183,0,2093974
2,16,6.061989,0,2093974
3,11,5.7328076,0,2093974
4,9,8.190234,0,2093974
5,25,5.1109776,0,2093974
6,13,4.459213,0,2093974
7,11,5.86229,0,2093974
8,16,5.8745656,0,2093974
9,22,3.3842733,0,2093974
10,25,5.1132994,0,2093974
11,33,3.2447615,0,2093974
12,24,4.0812674,0,2093974
13,37,4.428905,0,2093974
1,14,3.4969282,0,25580107
2,19,4.08922,0,25580107
3,19,5.0635943,0,25580107
4,14,6.0997715,0,25580107
5,25,3.9852917,0,25580107
6,12,4.971261,0,25580107
7,20,6.1962376,0,25580107
8,10,6.12879,0,25580107
9,30,3.8406227,0,25580107
10,10,6.26035,0,25580107
11,22,5.247282,0,25580107
12,10,5.8306937,0,25580107
13,30,5.33213,0,25580107
14,8,6.0979447,0,25580107
15,2,10.997295,0,25580107
16,24,5.279918,0,25580107
1,24,3.240257,0,8768710
2,31,4.004122,0,8768710
3,34,4.4669867,0,8768710
4,18,4.92293,0,8768710
5,31,5.4235773,0,8768710
6,26,2.4714494,0,8768710
7,34,5.6903596,0,8768710
1,21,5.085707,0,575970
2,10,6.749475,0,575970
3,16,5.2155943,0,575970
4,9,3.2046099,0,575970
5,9,7.119553,0,575970
6,14,6.6335673,0,575970
7,12,6.862246,0,575970
8,51,3.914173,0,575970
9,22,3.822175,0,575970
10,50,3.244494,0,575970
11,23,5.1692777,0,575970
12,11,5.136729,0,575970
13,11,4.9836693,0,575970
14,10,5.052039,0,575970
15,15,6.474278,0,575970
1,15,4.4251537,0,31030281
2,35,4.861604,0,31030281
3,29,3.9331439,0,31030281
4,37,3.667153,0,31030281
5,18,4.4370885,0,31030281
6,8,8.954598,0,31030281
7,23,4.679064,0,31030281
8,2,10.520246,0,31030281
1,28,3.3479667,0,21903487
2,17,5.3032136,0,21903487
3,20,5.2291527,0,21903487
4,18,6.1800256,0,21903487
5,34,4.335168,0,21903487
6,19,6.032059,0,21903487
7,23,5.0658474,0,21903487
1,28,2.415777,0,1759538
2,20,4.778724,0,1759538
3,18,4.57026,0,1759538
4,18,3.96669,0,1759538
5,22,5.4303865,0,1759538
6,10,5.4073153,0,1759538
7,11,7.386784,0,1759538
8,32,5.2934837,0,1759538
9,11,7.55494,0,1759538
10,35,3.2397764,0,1759538
1,21,3.7821605,0,4864858
2,20,4.7699547,0,4864858
3,27,3.9390094,0,4864858
4,12,5.979321,0,4864858
5,11,3.984906,0,4864858
6,16,4.690975,0,4864858
7,12,5.328005,0,4864858
8,9,7.9253,0,4864858
9,19,5.181553,0,4864858
10,33,4.411427,0,4864858
1,16,3.4513106,0,52666398
2,35,4.1231422,0,52666398
3,19,4.460832,0,52666398
4,17,3.9112957,0,52666398
