num,length,response,context_length,name
1,38,1.6433386,0,26709147
2,20,1.9765819,0,26709147
3,13,2.0908885,0,26709147
4,34,2.2088742,0,26709147
5,37,3.2737732,0,26709147
6,23,2.8202274,0,26709147
7,14,2.7103918,0,26709147
8,23,3.1633248,0,26709147
9,14,3.1838148,0,26709147
10,18,2.952606,0,26709147
11,21,2.160135,0,26709147
1,14,2.500527,0,4508056
2,16,2.3113472,0,4508056
3,26,2.1240747,0,4508056
4,29,2.0363207,0,4508056
5,28,3.0199249,0,4508056
6,21,3.1830616,0,4508056
7,27,3.0889995,0,4508056
8,22,2.6225991,0,4508056
1,41,2.1708028,0,50875
2,54,2.5669794,0,50875
3,25,2.5060549,0,50875
4,25,2.0630844,0,50875
5,16,1.8986545,0,50875
6,24,3.0511725,0,50875
7,9,3.7628527,0,50875
