num,length,response,context_length,name
1,38,3.4413023,0,26709147
2,20,3.4211173,0,26709147
3,13,3.5548956,0,26709147
4,34,3.6785889,0,26709147
5,37,4.570855,0,26709147
6,23,5.0282927,0,26709147
7,14,4.6844587,0,26709147
8,23,4.896798,0,26709147
9,14,3.6883566,0,26709147
10,18,4.370661,0,26709147
11,21,4.5709243,0,26709147
1,14,3.4628186,0,4508056
2,16,3.6963277,0,4508056
3,26,3.5066118,0,4508056
4,29,3.0490701,0,4508056
5,28,4.4814773,0,4508056
6,21,3.6883593,0,4508056
7,27,3.7232265,0,4508056
8,22,3.9506688,0,4508056
1,41,3.533124,0,50875
2,54,3.2034092,0,50875
3,25,3.922009,0,50875
4,25,3.251209,0,50875
5,16,3.4266162,0,50875
6,24,4.604949,0,50875
7,9,4.915487,0,50875
1,19,3.3158436,0,36670656
2,40,3.1396084,0,36670656
3,24,3.1016784,0,36670656
4,29,3.3402905,0,36670656
5,45,4.4920607,0,36670656
6,18,3.7816641,0,36670656
7,17,4.1498413,0,36670656
1,15,4.512203,0,11907622
2,25,4.1692576,0,11907622
3,19,4.6969385,0,11907622
4,30,4.4276724,0,11907622
5,14,4.459657,0,11907622
6,15,4.660701,0,11907622
7,38,4.320067,0,11907622
1,19,3.5297813,0,4352382
2,16,3.2413738,0,4352382
3,19,2.3631713,0,4352382
4,18,3.388967,0,4352382
5,17,4.963167,0,4352382
6,14,3.3974063,0,4352382
7,18,5.0546293,0,4352382
8,21,2.4888055,0,4352382
9,12,3.3393672,0,4352382
10,33,3.3954613,0,4352382
11,11,4.460684,0,4352382
12,16,3.3529189,0,4352382
13,31,4.221131,0,4352382
14,5,5.444111,0,4352382
1,20,4.552268,0,31533973
2,5,3.597713,0,31533973
3,22,2.7496083,0,31533973
4,8,4.6920977,0,31533973
5,15,4.992493,0,31533973
6,24,3.35176,0,31533973
7,23,3.7226875,0,31533973
8,30,4.2471538,0,31533973
1,16,3.3720071,0,758725
2,12,3.1865962,0,758725
3,42,3.970987,0,758725
4,15,4.834084,0,758725
5,22,3.9850392,0,758725
6,14,4.2812214,0,758725
7,13,5.4862285,0,758725
8,25,3.183951,0,758725
1,13,4.6724534,0,39905881
2,10,3.1617484,0,39905881
3,24,4.3974977,0,39905881
4,22,3.8911562,0,39905881
5,31,3.292052,0,39905881
6,47,2.5986772,0,39905881
7,22,3.0030203,0,39905881
8,22,4.2991433,0,39905881
1,20,5.032171,0,52727235
2,79,2.414046,0,52727235
3,127,1.8500712,0,52727235
4,6,6.989459,0,52727235
1,19,4.353677,0,8747330
2,30,5.289323,0,8747330
3,26,4.250038,0,8747330
4,12,3.4124982,0,8747330
5,17,3.6893668,0,8747330
6,20,3.8471544,0,8747330
7,24,4.013071,0,8747330
8,32,3.7712798,0,8747330
9,26,3.0812094,0,8747330
10,30,4.1017694,0,8747330
1,11,3.4605272,0,44132726
2,16,4.421321,0,44132726
3,13,3.9309485,0,44132726
4,12,5.049456,0,44132726
5,14,6.0715294,0,44132726
6,27,3.9543703,0,44132726
7,13,3.9964535,0,44132726
8,39,4.185456,0,44132726
9,20,5.096038,0,44132726
10,29,2.583903,0,44132726
1,39,3.3400369,0,19879505
2,23,4.4165206,0,19879505
3,22,4.082601,0,19879505
4,1,,0,19879505
5,15,4.4571724,0,19879505
6,17,4.6357303,0,19879505
7,30,3.794423,0,19879505
8,23,4.3600307,0,19879505
9,20,4.0938816,0,19879505
