num,length,response,context_length,name
1,38,3.441304,0,26709147
2,20,2.4279041,38,26709147
3,13,2.3598385,58,26709147
4,34,3.4945722,71,26709147
5,37,4.3366513,67,26709147
6,23,4.5909767,84,26709147
7,14,3.258248,94,26709147
8,23,4.6078286,74,26709147
9,14,3.4896019,60,26709147
10,18,3.3302174,51,26709147
11,21,3.8386633,55,26709147
1,14,3.4628158,0,4508056
2,16,3.4856162,14,4508056
3,26,2.6446755,30,4508056
4,29,2.3371465,56,4508056
5,28,3.665327,71,4508056
6,21,2.7845063,83,4508056
7,27,3.060058,78,4508056
8,22,2.9163523,76,4508056
1,41,3.5331256,0,50875
2,54,3.1966622,41,50875
3,25,3.4840882,95,50875
4,25,3.1419559,120,50875
5,16,2.3218439,104,50875
6,24,4.2889895,66,50875
7,9,4.939258,65,50875
1,19,3.3158398,0,36670656
2,40,2.9439921,19,36670656
3,24,3.0329294,59,36670656
4,29,3.1575065,83,36670656
5,45,4.0170946,93,36670656
6,18,3.1222441,98,36670656
7,17,3.3012793,92,36670656
1,15,4.5122037,0,11907622
2,25,3.7713964,15,11907622
3,19,4.187653,40,11907622
4,30,4.227523,59,11907622
5,14,3.8249538,74,11907622
6,15,3.7175224,63,11907622
7,38,4.0627766,59,11907622
1,19,3.529782,0,4352382
2,16,1.9906254,19,4352382
3,19,1.9274297,35,4352382
4,18,3.3266706,54,4352382
5,17,4.1525283,53,4352382
6,14,2.0727296,54,4352382
7,18,3.587483,49,4352382
8,21,2.2910862,49,4352382
9,12,3.5357594,53,4352382
10,33,3.0554028,51,4352382
11,11,3.9040518,66,4352382
12,16,2.865074,56,4352382
13,31,3.4936843,60,4352382
14,5,4.419302,58,4352382
1,20,4.5522666,0,31533973
2,5,2.165256,20,31533973
3,22,2.5278633,25,31533973
4,8,3.5930455,47,31533973
5,15,4.026771,35,31533973
6,24,2.7901013,45,31533973
7,23,3.213284,47,31533973
8,30,3.1502585,62,31533973
1,16,3.3720057,0,758725
2,12,2.9228094,16,758725
3,42,3.6078563,28,758725
4,15,3.5364783,70,758725
5,22,3.4924295,69,758725
6,14,3.8907254,79,758725
7,13,4.218967,51,758725
8,25,2.9622245,49,758725
1,13,4.672457,0,39905881
2,10,2.657257,13,39905881
3,24,3.990884,23,39905881
4,22,3.6064072,47,39905881
5,31,3.1417232,56,39905881
6,47,2.5453022,77,39905881
7,22,2.6676445,100,39905881
8,22,4.138163,100,39905881
1,20,5.032164,0,52727235
2,79,1.980196,20,52727235
3,127,1.2777127,99,52727235
4,6,1.1787871,226,52727235
